step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,67.2,system,
10000,6.382,0.89,0.547,19.475,process_tree,8.34,process_tree,683.16
20000,10.566,0.888,0.546,19.6625,process_tree,8.61,process_tree,705.44
30000,14.697,0.944,0.565,19.65,process_tree,8.9,process_tree,728.69
40000,18.903,0.869,0.543,19.4875,process_tree,9.15,process_tree,749.25
50000,23.124,0.928,0.576,19.75,process_tree,9.42,process_tree,771.36
60000,27.27,0.916,0.54,19.75,process_tree,9.68,process_tree,793.3
70000,31.511,0.894,0.556,19.95,process_tree,9.94,process_tree,813.91
80000,35.647,0.911,0.534,19.55,process_tree,10.22,process_tree,837.34
90000,39.802,0.935,0.554,6.675,process_tree,10.47,process_tree,857.89
100000,44.16,0.891,0.54,19.1625,process_tree,10.72,process_tree,878.53
110000,48.312,0.924,0.552,19.45,process_tree,11.04,process_tree,904.55
120000,52.486,0.878,0.531,6.5375,process_tree,11.27,process_tree,923.55
130000,56.929,0.914,0.561,18.2625,process_tree,11.57,process_tree,947.84
140000,61.08,0.922,0.628,19.8375,process_tree,11.88,process_tree,972.94
150000,65.212,0.905,0.52,19.4875,process_tree,12.1,process_tree,991.55
160000,69.726,0.939,0.563,19.575,process_tree,12.41,process_tree,1016.23
170000,73.829,0.953,0.595,19.5875,process_tree,12.63,process_tree,1034.78
180000,77.974,0.888,0.567,21.3,process_tree,12.82,process_tree,1050.16
190000,82.146,0.889,0.558,19.1875,process_tree,12.75,process_tree,1044.47
200000,86.306,0.973,0.6,19.275,process_tree,12.38,process_tree,1014.5
210000,90.863,0.912,0.588,19.7625,process_tree,13.01,process_tree,1065.86
220000,95.018,0.878,0.515,19.6125,process_tree,12.48,process_tree,1022.44
230000,99.168,0.916,0.556,19.0,process_tree,12.28,process_tree,1006.16
240000,103.333,0.876,0.545,19.15,process_tree,12.03,process_tree,985.67
250000,107.473,0.945,0.572,19.8375,process_tree,12.52,process_tree,1025.27
260000,112.091,0.907,0.556,19.85,process_tree,12.76,process_tree,1045.55
270000,116.214,0.908,0.555,20.45,process_tree,12.98,process_tree,1063.66
280000,120.366,0.964,0.609,19.55,process_tree,13.23,process_tree,1083.52
290000,124.518,0.917,0.564,20.0875,process_tree,13.34,process_tree,1092.55
300000,128.613,0.954,0.659,19.6625,process_tree,13.31,process_tree,1090.28
310000,132.89,0.935,0.565,19.2875,process_tree,13.32,process_tree,1091.53
320000,137.124,0.93,0.535,19.9,process_tree,13.47,process_tree,1103.75
330000,141.772,0.96,0.602,19.4875,process_tree,14.03,process_tree,1149.25
340000,145.956,0.867,0.583,19.325,process_tree,14.27,process_tree,1169.12
350000,150.111,0.94,0.577,19.725,process_tree,14.48,process_tree,1186.14
360000,154.261,0.867,0.545,19.375,process_tree,14.71,process_tree,1204.89
370000,158.412,0.934,0.573,19.8625,process_tree,14.94,process_tree,1224.22
380000,162.563,0.846,0.503,19.2625,process_tree,15.18,process_tree,1243.27
390000,166.708,0.92,0.536,19.825,process_tree,15.4,process_tree,1261.36
400000,230.013,0.984,0.622,18.275,process_tree,9.43,process_tree,772.59
410000,234.204,1.098,0.695,19.45,process_tree,9.43,process_tree,772.11
420000,238.378,1.027,0.647,19.7,process_tree,9.41,process_tree,770.8
430000,242.468,1.073,0.675,19.6375,process_tree,9.41,process_tree,771.16
440000,246.607,1.061,0.665,19.3625,process_tree,9.41,process_tree,771.19
450000,250.902,1.004,0.594,19.2125,process_tree,9.43,process_tree,772.52
460000,255.306,1.051,0.682,16.3875,process_tree,9.44,process_tree,773.09
470000,259.475,1.009,0.565,19.625,process_tree,9.59,process_tree,785.58
480000,263.704,1.056,0.66,19.4125,process_tree,9.78,process_tree,801.48
490000,267.839,1.033,0.652,19.8625,process_tree,9.97,process_tree,816.95
500000,271.95,1.065,0.705,14.4,process_tree,9.47,process_tree,776.16
500000,276.65,0.7,0.0,13.237499999999999,process_tree,5.94,process_tree,486.86
