step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,68.9,system,
10000,8.154,1.074,0.658,16.919999999999998,process_tree,3.78,process_tree,619.53
20000,14.768,1.38,0.807,16.48,process_tree,3.83,process_tree,627.19
30000,20.419,1.84,1.25,15.559999999999999,process_tree,3.84,process_tree,629.17
40000,26.511,2.675,1.966,16.7,process_tree,3.85,process_tree,631.56
50000,32.062,4.446,4.003,16.8,process_tree,3.86,process_tree,632.03
60000,38.546,10.115,10.303,17.509999999999998,process_tree,3.87,process_tree,633.89
70000,43.543,21.053,18.825,16.97,process_tree,3.87,process_tree,634.34
80000,48.523,44.571,34.801,8.94,process_tree,3.87,process_tree,634.7
90000,53.83,53.873,36.942,17.56,process_tree,3.88,process_tree,634.98
100000,58.735,78.04,37.365,18.44,process_tree,3.88,process_tree,635.14
110000,64.202,54.95,33.752,17.19,process_tree,3.88,process_tree,635.36
120000,68.928,74.533,37.592,17.55,process_tree,3.88,process_tree,635.47
130000,74.624,99.86,0.42,16.77,process_tree,3.88,process_tree,635.56
140000,79.327,98.609,4.398,14.0,process_tree,3.88,process_tree,635.95
150000,84.564,80.317,34.8,18.59,process_tree,3.88,process_tree,636.02
160000,89.2,51.537,43.52,18.52,process_tree,3.88,process_tree,636.12
170000,94.491,46.777,35.125,11.3,process_tree,3.88,process_tree,636.19
180000,99.847,85.517,27.837,17.75,process_tree,3.88,process_tree,636.34
190000,104.713,75.118,34.321,5.619999999999999,process_tree,3.88,process_tree,636.36
200000,109.746,100.0,0.0,17.71,process_tree,3.88,process_tree,636.36
210000,114.855,96.755,10.263,5.630000000000001,process_tree,3.88,process_tree,636.36
220000,120.159,65.756,36.194,17.32,process_tree,3.88,process_tree,636.48
230000,124.852,45.87,27.84,16.32,process_tree,3.88,process_tree,636.52
240000,130.565,61.077,33.676,19.91,process_tree,3.88,process_tree,636.52
250000,136.003,84.3,28.082,17.089999999999996,process_tree,3.89,process_tree,636.67
260000,142.23,100.0,0.0,17.48,process_tree,3.89,process_tree,636.91
270000,147.615,100.0,0.0,17.35,process_tree,3.89,process_tree,637.27
280000,152.872,100.0,0.0,10.33,process_tree,3.89,process_tree,637.27
290000,158.867,100.0,0.0,18.36,process_tree,3.89,process_tree,637.28
300000,164.044,86.4,27.62,17.54,process_tree,3.89,process_tree,637.38
310000,170.117,73.207,36.274,16.9,process_tree,3.89,process_tree,637.38
320000,175.868,89.81,29.648,5.65,process_tree,3.89,process_tree,637.39
330000,181.85,100.0,0.0,16.47,process_tree,3.89,process_tree,637.39
340000,187.067,69.122,39.368,17.330000000000002,process_tree,3.89,process_tree,637.64
350000,193.051,46.389,31.411,17.0,process_tree,3.89,process_tree,637.77
360000,199.118,78.733,31.98,16.73,process_tree,3.89,process_tree,637.84
370000,205.115,100.0,0.0,16.95,process_tree,3.89,process_tree,637.86
380000,210.729,91.145,28.001,17.35,process_tree,3.89,process_tree,637.86
390000,217.312,61.506,48.256,10.309999999999999,process_tree,3.89,process_tree,637.92
400000,224.37,73.881,40.533,20.28,process_tree,3.89,process_tree,638.0
410000,231.202,87.47,25.371,10.49,process_tree,3.9,process_tree,638.17
420000,237.56,100.0,0.0,16.6,process_tree,3.9,process_tree,638.19
430000,242.57,100.0,0.0,11.059999999999999,process_tree,3.9,process_tree,638.2
440000,248.022,91.045,28.317,17.369999999999997,process_tree,3.9,process_tree,638.22
450000,253.0,91.758,27.335,12.319999999999999,process_tree,3.9,process_tree,638.22
460000,259.164,100.0,0.0,18.29,process_tree,3.9,process_tree,638.59
470000,264.14,96.818,10.062,5.880000000000001,process_tree,3.9,process_tree,638.59
480000,269.639,100.0,0.0,16.84,process_tree,3.9,process_tree,638.61
490000,274.447,7.232,21.151,9.379999999999999,process_tree,3.9,process_tree,639.0
500000,280.109,4.972,15.415,19.17,process_tree,3.93,process_tree,643.8
510000,285.396,5.467,15.406,7.3100000000000005,process_tree,3.93,process_tree,644.66
520000,290.983,10.854,27.021,18.55,process_tree,3.94,process_tree,644.77
530000,297.106,48.833,47.946,8.65,process_tree,3.94,process_tree,644.78
540000,303.032,33.467,45.047,16.9,process_tree,3.94,process_tree,644.84
550000,308.026,47.558,49.502,16.46,process_tree,3.94,process_tree,644.89
560000,313.701,85.786,34.818,20.02,process_tree,3.94,process_tree,644.84
570000,322.021,77.062,41.88,16.07,process_tree,3.75,process_tree,614.03
580000,327.443,90.04,29.88,17.369999999999997,process_tree,3.73,process_tree,610.73
590000,333.256,100.0,0.0,16.259999999999998,process_tree,3.74,process_tree,612.44
600000,339.044,91.064,28.259,17.28,process_tree,3.74,process_tree,612.5
610000,343.868,100.0,0.0,17.18,process_tree,3.74,process_tree,612.53
620000,349.509,100.0,0.0,17.79,process_tree,3.74,process_tree,612.53
630000,354.37,90.3,29.1,15.52,process_tree,3.75,process_tree,614.61
640000,359.583,100.0,0.0,17.89,process_tree,3.75,process_tree,614.61
650000,365.143,82.073,38.03,20.160000000000004,process_tree,3.75,process_tree,614.62
660000,371.052,89.509,28.353,17.55,process_tree,3.75,process_tree,614.67
670000,376.227,100.0,0.0,18.32,process_tree,3.75,process_tree,615.16
680000,381.53,100.0,0.0,11.27,process_tree,3.76,process_tree,615.25
690000,386.908,100.0,0.0,16.4,process_tree,3.76,process_tree,615.25
700000,391.732,90.2,29.4,16.630000000000003,process_tree,3.76,process_tree,615.28
710000,397.908,100.0,0.0,15.580000000000002,process_tree,3.76,process_tree,615.28
720000,403.593,100.0,0.0,5.91,process_tree,3.76,process_tree,615.28
730000,408.884,91.75,27.362,17.28,process_tree,3.76,process_tree,615.31
740000,414.137,99.342,2.183,7.110000000000001,process_tree,3.76,process_tree,615.69
750000,419.547,98.425,4.167,16.869999999999997,process_tree,3.76,process_tree,615.66
760000,424.309,100.0,0.0,17.080000000000002,process_tree,3.76,process_tree,615.7
770000,430.012,90.52,28.44,17.39,process_tree,3.76,process_tree,615.75
780000,434.927,82.064,38.049,8.93,process_tree,3.76,process_tree,615.73
790000,440.329,91.758,27.335,17.2,process_tree,3.76,process_tree,615.88
800000,445.667,100.0,0.0,6.660000000000001,process_tree,3.76,process_tree,615.89
810000,450.996,100.0,0.0,14.74,process_tree,3.76,process_tree,615.94
820000,456.095,100.0,0.0,17.3,process_tree,3.76,process_tree,616.33
830000,461.825,100.0,0.0,15.89,process_tree,3.76,process_tree,616.45
840000,467.669,100.0,0.0,13.27,process_tree,3.76,process_tree,616.45
