step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,61.5,system,
10000,4.585,1.159,0.691,17.380000000000003,process_tree,3.95,process_tree,646.95
20000,7.723,1.117,0.67,17.990000000000002,process_tree,4.1,process_tree,672.33
30000,10.8,1.115,0.718,15.190000000000001,process_tree,4.23,process_tree,692.84
40000,13.878,1.09,0.643,17.36,process_tree,4.36,process_tree,714.81
50000,16.935,1.083,0.631,17.72,process_tree,4.5,process_tree,737.22
60000,19.938,1.177,0.692,17.52,process_tree,4.63,process_tree,758.69
70000,22.935,1.12,0.659,15.770000000000001,process_tree,4.76,process_tree,780.0
80000,25.952,1.094,0.617,18.07,process_tree,4.92,process_tree,805.98
90000,28.893,1.124,0.616,17.3,process_tree,5.05,process_tree,827.89
100000,31.982,1.117,0.666,17.580000000000002,process_tree,5.2,process_tree,852.78
110000,34.935,1.135,0.653,17.64,process_tree,5.33,process_tree,872.94
120000,37.891,1.067,0.642,17.720000000000002,process_tree,5.47,process_tree,896.16
130000,40.954,1.137,0.647,17.91,process_tree,5.58,process_tree,914.8
140000,43.907,1.105,0.643,17.7,process_tree,5.73,process_tree,938.7
150000,46.836,1.128,0.67,17.71,process_tree,5.84,process_tree,957.45
160000,49.891,1.159,0.701,17.580000000000002,process_tree,6.02,process_tree,986.67
170000,52.876,1.089,0.626,17.610000000000003,process_tree,6.16,process_tree,1009.88
180000,55.823,1.145,0.673,17.31,process_tree,6.28,process_tree,1028.42
190000,58.809,1.086,0.676,17.9,process_tree,6.39,process_tree,1046.83
200000,61.765,1.112,0.649,17.68,process_tree,6.57,process_tree,1075.97
210000,64.887,1.108,0.631,18.11,process_tree,6.68,process_tree,1095.02
220000,67.798,1.15,0.702,17.72,process_tree,6.84,process_tree,1120.27
230000,70.757,1.097,0.632,17.77,process_tree,6.95,process_tree,1138.88
240000,73.76,1.148,0.667,18.05,process_tree,7.07,process_tree,1157.58
250000,76.693,1.12,0.67,17.740000000000002,process_tree,7.2,process_tree,1179.88
260000,79.858,1.055,0.615,18.14,process_tree,7.31,process_tree,1198.34
270000,82.808,1.151,0.73,16.05,process_tree,7.43,process_tree,1216.91
280000,85.805,1.098,0.63,17.830000000000002,process_tree,7.54,process_tree,1235.39
290000,88.759,1.074,0.625,18.080000000000002,process_tree,7.65,process_tree,1253.94
300000,91.694,1.091,0.6,17.660000000000004,process_tree,7.77,process_tree,1272.41
310000,94.721,1.138,0.628,17.94,process_tree,7.88,process_tree,1291.38
320000,97.648,1.16,0.648,17.839999999999996,process_tree,8.0,process_tree,1310.5
330000,100.835,1.107,0.679,17.32,process_tree,8.26,process_tree,1352.58
340000,103.929,1.153,0.706,17.68,process_tree,8.37,process_tree,1371.62
350000,141.15,1.068,0.644,17.47,process_tree,6.39,process_tree,1046.98
360000,144.1,1.113,0.666,18.01,process_tree,6.31,process_tree,1034.27
370000,147.063,1.004,0.587,16.91,process_tree,6.31,process_tree,1034.44
380000,150.004,1.054,0.635,17.73,process_tree,6.31,process_tree,1034.3
390000,152.977,1.06,0.675,17.97,process_tree,6.32,process_tree,1035.19
400000,155.924,1.037,0.612,16.77,process_tree,6.32,process_tree,1035.91
410000,159.027,1.052,0.623,17.71,process_tree,6.32,process_tree,1036.27
420000,161.966,1.069,0.593,17.380000000000003,process_tree,6.32,process_tree,1036.28
430000,165.03,1.059,0.71,17.490000000000002,process_tree,6.32,process_tree,1036.28
440000,167.991,1.059,0.646,17.689999999999998,process_tree,6.32,process_tree,1036.28
450000,171.042,1.051,0.649,17.7,process_tree,6.32,process_tree,1036.28
460000,173.998,1.024,0.636,17.24,process_tree,6.36,process_tree,1041.48
470000,176.965,1.02,0.569,18.560000000000002,process_tree,6.45,process_tree,1057.0
