step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,67.7,system,
10000,7.671,1.126,0.675,16.369999999999997,process_tree,3.91,process_tree,641.3
20000,13.882,1.387,0.798,16.25,process_tree,3.94,process_tree,645.59
30000,20.112,1.525,0.922,16.59,process_tree,3.94,process_tree,645.92
40000,25.368,1.701,1.01,15.969999999999999,process_tree,3.94,process_tree,646.17
50000,30.656,2.011,1.164,17.28,process_tree,3.94,process_tree,646.27
60000,36.047,2.311,1.505,16.2,process_tree,3.95,process_tree,646.39
70000,41.329,2.68,1.664,17.24,process_tree,3.95,process_tree,646.47
80000,46.511,3.1,2.25,16.880000000000003,process_tree,3.95,process_tree,646.61
90000,51.73,3.224,2.532,11.870000000000001,process_tree,3.95,process_tree,646.67
100000,57.013,3.068,2.689,8.51,process_tree,3.95,process_tree,646.69
110000,62.32,4.021,3.241,6.15,process_tree,3.78,process_tree,619.17
120000,68.119,4.515,3.992,7.779999999999999,process_tree,3.38,process_tree,553.84
130000,73.457,4.544,4.73,10.63,process_tree,3.38,process_tree,554.03
140000,78.64,4.752,4.226,16.9,process_tree,3.38,process_tree,554.06
150000,83.692,5.792,5.657,21.32,process_tree,3.38,process_tree,554.17
160000,88.975,5.592,4.757,16.1,process_tree,3.38,process_tree,554.27
170000,93.986,6.133,6.573,16.65,process_tree,3.38,process_tree,554.33
180000,99.056,6.344,7.009,16.61,process_tree,3.38,process_tree,554.33
190000,104.758,7.203,7.224,16.23,process_tree,3.38,process_tree,554.41
200000,109.858,7.598,8.19,17.119999999999997,process_tree,3.38,process_tree,554.44
210000,115.365,6.733,7.644,16.31,process_tree,3.38,process_tree,554.48
220000,120.357,7.939,7.826,17.93,process_tree,3.39,process_tree,555.91
230000,125.389,8.471,7.647,17.09,process_tree,3.4,process_tree,556.3
240000,130.496,9.261,9.454,15.27,process_tree,3.4,process_tree,556.84
250000,135.407,9.382,10.16,17.19,process_tree,3.4,process_tree,556.95
260000,140.321,10.161,9.984,17.619999999999997,process_tree,3.4,process_tree,557.0
270000,145.13,13.352,12.347,17.15,process_tree,3.4,process_tree,557.05
280000,149.893,10.396,10.632,17.54,process_tree,3.4,process_tree,557.19
290000,154.843,18.669,17.389,17.38,process_tree,3.4,process_tree,557.23
300000,159.789,13.483,15.227,17.55,process_tree,3.4,process_tree,557.25
310000,164.788,16.953,16.691,16.79,process_tree,3.4,process_tree,557.28
320000,169.631,21.319,20.517,17.81,process_tree,3.4,process_tree,557.3
330000,174.778,32.255,30.489,16.93,process_tree,3.4,process_tree,557.3
340000,179.974,24.987,25.785,17.55,process_tree,3.4,process_tree,557.59
350000,184.54,24.382,27.822,16.75,process_tree,3.4,process_tree,557.66
360000,189.383,46.356,40.511,15.680000000000001,process_tree,3.4,process_tree,557.67
370000,194.401,47.518,38.238,16.73,process_tree,3.4,process_tree,557.75
380000,199.292,33.507,27.055,16.57,process_tree,3.4,process_tree,557.81
390000,204.464,39.123,33.367,9.18,process_tree,3.41,process_tree,557.89
400000,209.314,15.949,17.586,17.58,process_tree,3.41,process_tree,557.89
410000,214.185,13.083,11.315,16.96,process_tree,3.41,process_tree,557.91
420000,219.122,18.673,14.502,11.790000000000001,process_tree,3.41,process_tree,557.94
430000,223.956,41.577,25.181,17.839999999999996,process_tree,3.41,process_tree,557.94
440000,229.288,51.919,35.072,11.06,process_tree,3.41,process_tree,557.95
450000,234.41,49.1,35.716,10.629999999999999,process_tree,3.41,process_tree,557.95
460000,239.808,35.217,29.241,10.33,process_tree,3.41,process_tree,558.08
470000,244.841,33.296,19.743,8.42,process_tree,3.41,process_tree,558.09
480000,249.786,29.424,25.803,16.830000000000002,process_tree,3.41,process_tree,558.25
490000,254.792,39.152,33.729,17.669999999999998,process_tree,3.41,process_tree,558.25
500000,259.768,51.978,32.612,17.65,process_tree,3.44,process_tree,564.12
510000,264.759,33.307,29.061,16.59,process_tree,3.45,process_tree,564.75
520000,269.727,90.4,19.217,11.0,process_tree,3.45,process_tree,564.8
530000,274.525,33.67,29.169,17.39,process_tree,3.45,process_tree,564.8
