step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,69.9,system,
10000,8.428,1.713,1.179,17.78,process_tree,3.92,process_tree,642.0
20000,17.905,5.077,4.287,11.419999999999998,process_tree,3.95,process_tree,647.05
30000,25.328,29.731,26.503,18.68,process_tree,3.97,process_tree,650.59
40000,30.732,44.893,41.255,11.91,process_tree,3.97,process_tree,651.23
50000,36.273,44.943,41.976,5.74,process_tree,3.98,process_tree,651.27
60000,41.55,74.65,37.644,5.73,process_tree,3.98,process_tree,651.27
70000,46.51,63.443,41.905,17.22,process_tree,3.98,process_tree,651.55
80000,51.636,49.25,44.183,21.28,process_tree,3.98,process_tree,651.73
90000,56.657,100.0,0.0,17.759999999999998,process_tree,3.98,process_tree,651.73
100000,61.924,91.78,24.66,15.290000000000001,process_tree,3.98,process_tree,651.75
110000,66.984,95.525,9.039,11.51,process_tree,3.98,process_tree,652.03
120000,72.484,58.063,43.353,8.77,process_tree,3.98,process_tree,652.22
130000,77.637,86.029,34.224,8.27,process_tree,3.98,process_tree,652.22
140000,82.713,87.262,24.312,14.09,process_tree,3.98,process_tree,652.22
150000,87.838,68.5,38.854,20.54,process_tree,3.98,process_tree,652.66
160000,92.661,83.982,29.096,22.93,process_tree,3.98,process_tree,652.66
170000,98.091,82.308,35.747,23.630000000000003,process_tree,3.98,process_tree,652.7
180000,103.29,57.764,48.774,17.669999999999998,process_tree,3.98,process_tree,652.72
190000,108.564,46.459,48.882,17.95,process_tree,3.98,process_tree,652.73
200000,113.738,63.369,43.768,16.4,process_tree,3.99,process_tree,652.92
210000,118.572,68.143,42.338,11.010000000000002,process_tree,3.99,process_tree,652.94
220000,123.817,53.491,46.501,10.709999999999999,process_tree,3.99,process_tree,652.94
230000,128.863,100.0,0.0,10.64,process_tree,3.99,process_tree,652.98
240000,134.193,72.2,36.286,14.760000000000002,process_tree,3.99,process_tree,653.0
250000,139.353,86.9,25.128,19.6,process_tree,3.99,process_tree,653.0
260000,144.546,94.75,10.706,8.25,process_tree,3.99,process_tree,653.0
270000,149.664,63.982,45.435,10.280000000000001,process_tree,3.99,process_tree,653.19
280000,154.741,56.191,48.018,6.970000000000001,process_tree,3.99,process_tree,653.19
290000,159.963,92.05,26.367,14.180000000000001,process_tree,3.99,process_tree,653.19
300000,164.927,78.167,40.847,8.780000000000001,process_tree,3.99,process_tree,653.2
310000,170.116,78.911,39.483,17.35,process_tree,3.99,process_tree,653.2
320000,175.648,69.244,45.62,10.36,process_tree,3.99,process_tree,653.2
330000,180.923,73.988,40.615,23.95,process_tree,3.99,process_tree,653.2
340000,186.564,87.808,28.574,22.869999999999997,process_tree,3.99,process_tree,653.22
350000,191.952,78.077,40.12,9.34,process_tree,3.99,process_tree,653.23
360000,196.751,58.057,48.436,25.85,process_tree,3.99,process_tree,653.25
370000,201.848,89.291,22.798,10.45,process_tree,3.99,process_tree,653.27
380000,207.248,85.267,33.14,15.4,process_tree,3.99,process_tree,653.3
390000,212.276,84.215,34.941,20.29,process_tree,3.99,process_tree,653.3
400000,217.743,100.0,0.0,22.330000000000002,process_tree,3.99,process_tree,653.3
410000,222.778,89.092,20.815,7.959999999999999,process_tree,3.99,process_tree,653.3
420000,227.537,56.92,33.588,16.509999999999998,process_tree,3.99,process_tree,653.3
430000,232.75,63.329,34.303,18.27,process_tree,3.99,process_tree,653.33
440000,238.218,84.869,35.485,12.580000000000002,process_tree,3.99,process_tree,653.33
450000,243.391,75.783,41.956,8.77,process_tree,3.99,process_tree,653.33
460000,248.537,82.682,36.764,17.669999999999998,process_tree,3.99,process_tree,653.33
470000,253.847,85.223,34.658,15.569999999999999,process_tree,3.99,process_tree,653.42
480000,258.906,90.43,28.71,18.4,process_tree,3.99,process_tree,653.42
490000,263.661,93.8,19.606,11.290000000000001,process_tree,3.99,process_tree,653.42
500000,269.229,100.0,0.0,15.13,process_tree,4.02,process_tree,658.38
510000,274.32,70.777,36.004,7.090000000000001,process_tree,4.02,process_tree,658.88
520000,279.71,94.05,17.85,7.05,process_tree,4.02,process_tree,658.92
530000,284.972,100.0,0.0,11.75,process_tree,4.02,process_tree,658.92
540000,289.903,84.592,26.19,15.98,process_tree,4.02,process_tree,658.95
550000,295.098,94.336,11.368,12.51,process_tree,4.02,process_tree,658.95
560000,300.305,43.56,32.975,10.25,process_tree,4.02,process_tree,658.97
570000,305.539,90.942,27.277,17.439999999999998,process_tree,4.02,process_tree,659.02
580000,311.008,86.02,26.405,10.83,process_tree,4.02,process_tree,659.02
590000,316.132,69.286,35.626,22.67,process_tree,4.02,process_tree,659.05
600000,321.344,95.538,11.323,14.65,process_tree,4.02,process_tree,659.06
610000,326.534,100.0,0.0,5.1,process_tree,4.02,process_tree,659.06
620000,335.094,91.027,28.374,14.25,process_tree,4.02,process_tree,659.19
630000,343.684,94.3,18.905,14.62,process_tree,4.03,process_tree,659.62
640000,349.56,100.0,0.0,14.959999999999999,process_tree,4.03,process_tree,659.64
650000,355.107,100.0,0.0,20.81,process_tree,4.03,process_tree,659.66
660000,360.363,100.0,0.0,17.330000000000002,process_tree,4.03,process_tree,659.67
670000,365.598,78.914,40.377,11.23,process_tree,4.03,process_tree,659.67
680000,371.102,91.009,28.432,13.13,process_tree,4.03,process_tree,659.67
690000,376.116,73.753,43.525,8.14,process_tree,4.03,process_tree,659.67
700000,381.095,91.742,27.39,19.71,process_tree,4.03,process_tree,659.69
710000,386.529,100.0,0.0,12.58,process_tree,4.03,process_tree,659.69
720000,391.681,87.725,32.477,22.47,process_tree,4.03,process_tree,659.69
730000,396.829,91.908,26.837,21.93,process_tree,4.03,process_tree,659.7
740000,402.456,100.0,0.0,20.62,process_tree,4.03,process_tree,659.7
750000,407.629,100.0,0.0,19.950000000000003,process_tree,4.03,process_tree,659.7
760000,412.611,100.0,0.0,26.21,process_tree,4.03,process_tree,659.73
770000,417.909,100.0,0.0,27.01,process_tree,4.03,process_tree,659.73
780000,423.127,100.0,0.0,10.91,process_tree,4.03,process_tree,659.77
