step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,62.8,system,
10000,10.263,1.037,0.671,17.43,process_tree,3.97,process_tree,649.77
20000,18.604,1.126,0.685,18.43,process_tree,4.12,process_tree,674.62
30000,26.894,1.065,0.727,19.009999999999998,process_tree,4.25,process_tree,695.83
40000,34.698,1.127,0.657,19.089999999999996,process_tree,4.41,process_tree,722.34
50000,42.421,1.093,0.736,19.21,process_tree,4.57,process_tree,748.08
60000,51.171,1.085,0.636,19.139999999999997,process_tree,4.7,process_tree,770.47
70000,58.767,1.071,0.675,22.28,process_tree,4.84,process_tree,793.67
80000,66.836,1.102,0.653,18.810000000000002,process_tree,4.98,process_tree,816.42
90000,74.529,1.027,0.619,18.07,process_tree,5.12,process_tree,838.2
100000,83.191,1.114,0.731,17.61,process_tree,5.25,process_tree,860.72
110000,91.015,1.05,0.68,19.330000000000002,process_tree,5.37,process_tree,879.59
120000,98.709,1.095,0.695,19.07,process_tree,5.51,process_tree,901.97
130000,106.798,1.108,0.729,19.65,process_tree,5.64,process_tree,924.59
140000,114.481,1.067,0.631,19.57,process_tree,5.76,process_tree,943.47
150000,122.326,1.031,0.666,19.12,process_tree,5.91,process_tree,967.78
160000,130.604,1.122,0.724,18.91,process_tree,6.04,process_tree,990.34
170000,138.46,1.072,0.621,19.71,process_tree,6.16,process_tree,1009.11
180000,146.367,1.083,0.708,17.7,process_tree,6.31,process_tree,1034.62
190000,154.171,1.05,0.659,19.2,process_tree,6.43,process_tree,1053.47
200000,162.002,1.141,0.683,11.139999999999999,process_tree,6.54,process_tree,1072.27
210000,170.067,1.108,0.691,18.830000000000002,process_tree,6.68,process_tree,1094.2
220000,177.769,1.094,0.673,19.18,process_tree,6.79,process_tree,1112.89
230000,186.403,1.091,0.68,17.02,process_tree,6.97,process_tree,1141.94
240000,195.55,1.124,0.715,18.84,process_tree,7.09,process_tree,1160.83
250000,203.298,1.067,0.65,19.05,process_tree,7.2,process_tree,1179.8
260000,267.834,1.118,0.668,17.71,process_tree,5.9,process_tree,967.02
270000,276.075,1.37,0.891,19.1,process_tree,5.84,process_tree,956.08
280000,283.718,1.332,0.922,18.869999999999997,process_tree,5.8,process_tree,950.16
290000,291.315,1.282,0.815,19.18,process_tree,5.8,process_tree,950.2
300000,299.104,1.267,0.82,17.910000000000004,process_tree,5.81,process_tree,951.95
310000,306.862,1.272,0.806,18.95,process_tree,5.81,process_tree,951.23
320000,314.766,1.331,0.861,18.38,process_tree,5.81,process_tree,951.33
330000,322.78,1.3,0.916,19.04,process_tree,5.81,process_tree,951.39
340000,330.651,1.263,0.837,17.119999999999997,process_tree,5.81,process_tree,951.47
350000,338.625,1.187,0.725,19.46,process_tree,5.81,process_tree,951.55
360000,346.229,1.341,0.976,18.41,process_tree,5.88,process_tree,963.88
370000,354.154,1.205,0.803,19.240000000000002,process_tree,5.98,process_tree,979.23
380000,362.201,1.233,0.867,19.93,process_tree,6.07,process_tree,994.95
390000,370.088,1.249,0.85,19.29,process_tree,6.17,process_tree,1010.45
400000,378.016,1.322,0.849,18.74,process_tree,6.26,process_tree,1025.7
410000,385.656,1.346,0.97,19.07,process_tree,6.36,process_tree,1042.16
420000,393.43,1.407,1.034,18.89,process_tree,6.46,process_tree,1057.81
430000,401.31,1.25,0.828,18.889999999999997,process_tree,6.55,process_tree,1073.62
440000,409.251,1.317,0.905,19.009999999999998,process_tree,6.66,process_tree,1090.81
450000,416.93,1.299,0.867,18.869999999999997,process_tree,6.77,process_tree,1109.05
460000,424.548,1.262,0.912,19.009999999999998,process_tree,6.88,process_tree,1127.28
470000,432.433,1.215,0.797,19.34,process_tree,6.99,process_tree,1145.5
480000,440.874,1.333,0.947,17.31,process_tree,7.1,process_tree,1163.7
490000,448.473,1.32,0.836,19.110000000000003,process_tree,7.26,process_tree,1188.92
500000,456.05,1.354,0.932,20.15,process_tree,7.4,process_tree,1213.08
510000,469.81,1.31,0.866,19.080000000000002,process_tree,3.99,process_tree,654.34
520000,478.32800000000003,1.268,0.877,17.22,process_tree,4.13,process_tree,676.92
530000,489.483,1.255,0.867,18.919999999999998,process_tree,4.27,process_tree,700.33
540000,497.228,1.276,0.841,18.75,process_tree,4.41,process_tree,722.8
550000,505.136,1.227,0.836,19.630000000000003,process_tree,4.55,process_tree,745.08
560000,515.214,1.291,0.879,18.130000000000003,process_tree,4.68,process_tree,767.11
570000,523.118,1.223,0.881,19.09,process_tree,4.82,process_tree,790.47
580000,530.691,1.298,0.907,18.79,process_tree,4.96,process_tree,812.08
590000,538.5260000000001,1.298,0.859,18.56,process_tree,5.09,process_tree,834.36
600000,546.849,1.216,0.8,19.02,process_tree,5.23,process_tree,856.33
610000,554.694,1.223,0.802,18.19,process_tree,5.34,process_tree,874.94
620000,562.253,1.299,0.899,19.080000000000002,process_tree,5.51,process_tree,903.56
630000,570.283,1.375,0.879,18.759999999999998,process_tree,5.67,process_tree,929.52
640000,577.981,1.323,0.897,19.22,process_tree,5.79,process_tree,948.38
650000,585.993,1.328,0.95,19.02,process_tree,5.92,process_tree,969.16
660000,593.904,1.34,0.964,18.880000000000003,process_tree,6.07,process_tree,995.17
670000,601.558,1.257,0.847,18.99,process_tree,6.19,process_tree,1014.0
680000,609.154,1.29,0.859,19.69,process_tree,6.34,process_tree,1038.22
690000,617.284,1.308,0.95,18.96,process_tree,6.45,process_tree,1056.91
700000,625.315,1.284,0.847,18.580000000000002,process_tree,6.57,process_tree,1075.67
710000,633.033,1.284,0.824,19.55,process_tree,6.71,process_tree,1099.03
720000,640.615,1.286,0.898,18.97,process_tree,6.82,process_tree,1117.62
730000,648.326,1.212,0.792,19.439999999999998,process_tree,6.99,process_tree,1145.08
740000,656.386,1.328,0.914,18.919999999999998,process_tree,7.1,process_tree,1163.75
750000,664.3,1.278,0.944,19.01,process_tree,7.22,process_tree,1182.56
760000,728.1980000000001,1.417,0.983,18.15,process_tree,6.0,process_tree,982.31
770000,736.3969999999999,2.056,1.367,18.61,process_tree,5.88,process_tree,962.8
780000,743.829,2.375,1.857,19.02,process_tree,5.86,process_tree,960.53
790000,751.717,2.146,1.656,19.3,process_tree,5.87,process_tree,961.27
800000,759.0350000000001,2.314,1.826,18.95,process_tree,5.87,process_tree,962.41
810000,766.578,2.227,1.658,19.07,process_tree,5.87,process_tree,961.42
820000,774.219,2.199,1.816,15.540000000000001,process_tree,5.87,process_tree,961.42
830000,781.8340000000001,2.25,1.68,19.22,process_tree,5.87,process_tree,961.42
840000,789.432,2.127,1.569,18.66,process_tree,5.87,process_tree,961.42
850000,797.309,2.054,1.531,19.470000000000002,process_tree,5.87,process_tree,961.42
860000,804.944,2.163,1.54,18.68,process_tree,5.9,process_tree,966.38
870000,812.5,2.02,1.476,18.32,process_tree,6.01,process_tree,985.05
880000,820.355,1.991,1.462,18.9,process_tree,6.11,process_tree,1000.36
890000,828.127,1.998,1.599,18.34,process_tree,6.22,process_tree,1019.69
900000,835.8330000000001,2.074,1.692,19.2,process_tree,6.32,process_tree,1035.02
910000,843.55,2.154,1.608,18.59,process_tree,6.42,process_tree,1051.45
920000,850.9770000000001,2.053,1.636,19.919999999999998,process_tree,6.53,process_tree,1070.28
930000,858.495,2.039,1.544,18.91,process_tree,6.64,process_tree,1088.58
940000,866.144,2.036,1.475,17.060000000000002,process_tree,6.75,process_tree,1106.7
950000,874.619,2.001,1.634,19.57,process_tree,6.87,process_tree,1125.08
960000,882.1610000000001,2.132,1.657,18.53,process_tree,7.01,process_tree,1149.25
970000,889.78,2.135,1.627,19.169999999999998,process_tree,7.13,process_tree,1167.72
980000,897.451,2.202,1.624,19.52,process_tree,7.28,process_tree,1193.02
990000,905.3040000000001,2.245,1.672,18.93,process_tree,7.39,process_tree,1211.5
1000000,912.851,2.055,1.666,20.259999999999998,process_tree,7.51,process_tree,1229.97
1010000,920.781,2.065,1.68,19.46,process_tree,7.62,process_tree,1249.25
1020000,985.4639999999999,2.682,2.199,16.59,process_tree,6.28,process_tree,1028.33
1030000,993.319,5.406,5.076,18.860000000000003,process_tree,6.22,process_tree,1019.34
1040000,1000.8810000000001,4.69,4.099,20.669999999999998,process_tree,6.17,process_tree,1011.48
1050000,1008.3689999999999,5.273,4.235,18.35,process_tree,6.12,process_tree,1003.02
1060000,1015.7950000000001,4.7,4.691,19.26,process_tree,6.12,process_tree,1003.08
1070000,1023.306,5.001,4.628,19.21,process_tree,6.12,process_tree,1003.08
