step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,68.8,system,
10000,8.25,1.533,1.034,14.66,process_tree,3.97,process_tree,650.12
20000,14.927,3.627,2.885,15.59,process_tree,4.0,process_tree,655.94
30000,21.471,9.704,9.942,5.3,process_tree,4.0,process_tree,656.09
40000,27.778,26.814,19.464,5.4799999999999995,process_tree,4.03,process_tree,659.91
50000,34.223,20.753,19.232,8.799999999999999,process_tree,4.04,process_tree,661.34
60000,40.705,21.192,21.235,13.74,process_tree,4.04,process_tree,661.34
70000,46.968,15.275,13.105,17.009999999999998,process_tree,4.04,process_tree,661.61
80000,53.124,36.067,27.378,14.760000000000002,process_tree,4.04,process_tree,662.0
90000,59.336,28.743,25.04,6.5,process_tree,4.04,process_tree,662.0
100000,65.706,28.123,30.823,5.53,process_tree,4.04,process_tree,662.41
110000,71.936,80.727,33.449,7.279999999999999,process_tree,4.04,process_tree,662.44
120000,78.115,100.0,0.0,19.419999999999998,process_tree,4.04,process_tree,662.44
130000,84.201,28.674,27.651,18.2,process_tree,4.05,process_tree,663.03
140000,90.441,37.917,25.74,10.01,process_tree,4.05,process_tree,663.06
150000,96.683,85.071,34.274,5.8100000000000005,process_tree,4.05,process_tree,663.06
160000,103.163,91.744,23.35,6.910000000000001,process_tree,4.05,process_tree,663.08
170000,109.514,100.0,0.0,10.59,process_tree,4.05,process_tree,663.08
180000,115.98,57.789,43.305,14.940000000000001,process_tree,4.05,process_tree,663.14
190000,122.2,34.184,36.188,16.76,process_tree,4.05,process_tree,663.14
200000,128.298,62.006,36.826,6.340000000000001,process_tree,4.05,process_tree,663.14
210000,134.809,100.0,0.0,5.380000000000001,process_tree,4.05,process_tree,663.55
220000,141.18,92.092,26.229,8.120000000000001,process_tree,4.05,process_tree,663.58
230000,147.426,56.345,36.095,13.15,process_tree,4.05,process_tree,663.59
240000,153.851,50.889,40.864,14.99,process_tree,4.05,process_tree,663.59
250000,159.779,69.445,30.406,12.819999999999999,process_tree,4.05,process_tree,663.59
260000,166.172,90.964,28.575,5.87,process_tree,4.05,process_tree,663.59
270000,172.513,80.6,29.589,5.8500000000000005,process_tree,4.05,process_tree,663.59
280000,178.941,91.75,27.362,10.23,process_tree,4.05,process_tree,663.62
290000,185.238,96.791,10.148,9.2,process_tree,4.05,process_tree,663.75
300000,191.239,48.517,38.922,17.78,process_tree,4.05,process_tree,663.77
310000,197.562,100.0,0.0,12.02,process_tree,4.05,process_tree,663.77
320000,203.908,68.683,44.557,7.4,process_tree,4.05,process_tree,663.77
330000,210.203,100.0,0.0,11.06,process_tree,4.05,process_tree,664.08
340000,216.644,94.227,17.601,15.15,process_tree,4.05,process_tree,664.08
