step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.6,system,
10000,8.313,1.601,1.057,9.989999999999998,process_tree,3.98,process_tree,652.36
20000,14.341,3.499,2.488,9.22,process_tree,4.0,process_tree,654.81
30000,20.035,7.44,7.448,9.52,process_tree,4.0,process_tree,655.06
40000,25.347,12.085,12.522,20.28,process_tree,4.0,process_tree,655.41
50000,30.726,14.91,20.772,8.68,process_tree,4.0,process_tree,655.52
60000,36.462,14.508,15.438,11.76,process_tree,4.01,process_tree,656.58
70000,42.062,24.638,20.159,11.169999999999998,process_tree,4.01,process_tree,656.95
80000,47.161,20.131,26.283,10.929999999999998,process_tree,4.01,process_tree,657.55
90000,55.63,17.145,20.123,10.250000000000002,process_tree,4.02,process_tree,659.3
100000,61.329,20.158,22.619,10.879999999999999,process_tree,4.03,process_tree,660.14
110000,67.286,21.119,25.345,9.61,process_tree,4.03,process_tree,660.17
120000,73.186,20.023,24.193,11.3,process_tree,4.03,process_tree,660.22
130000,78.164,57.65,41.841,10.070000000000002,process_tree,4.03,process_tree,660.28
140000,83.784,28.374,36.484,11.309999999999999,process_tree,4.03,process_tree,660.36
150000,89.639,39.113,32.035,11.1,process_tree,4.03,process_tree,660.41
160000,95.185,56.545,37.989,18.619999999999997,process_tree,4.03,process_tree,660.44
170000,100.199,94.275,13.112,9.68,process_tree,4.03,process_tree,660.48
180000,105.957,45.583,37.245,9.86,process_tree,4.03,process_tree,660.48
190000,111.558,25.985,20.188,13.419999999999998,process_tree,4.03,process_tree,660.48
200000,116.586,23.998,19.837,18.4,process_tree,4.03,process_tree,660.52
210000,122.545,16.22,21.251,22.41,process_tree,4.03,process_tree,660.52
220000,128.228,78.05,38.09,21.86,process_tree,4.03,process_tree,660.53
230000,133.409,100.0,0.0,19.1,process_tree,4.03,process_tree,660.53
240000,138.882,61.894,43.371,20.4,process_tree,4.04,process_tree,661.23
250000,144.573,34.057,39.783,20.23,process_tree,4.04,process_tree,661.23
260000,150.24,20.862,12.899,20.619999999999997,process_tree,4.04,process_tree,661.25
270000,155.485,66.262,35.038,13.919999999999998,process_tree,4.04,process_tree,661.3
280000,161.06,77.745,35.516,17.96,process_tree,4.04,process_tree,661.3
290000,166.721,80.077,37.325,8.52,process_tree,4.04,process_tree,661.3
300000,172.382,100.0,0.0,11.91,process_tree,4.04,process_tree,661.3
310000,177.424,82.069,27.615,12.330000000000002,process_tree,4.04,process_tree,661.33
320000,183.123,39.817,35.762,9.959999999999999,process_tree,4.04,process_tree,661.38
330000,188.865,100.0,0.0,10.41,process_tree,4.04,process_tree,661.39
340000,194.213,70.821,41.853,18.130000000000003,process_tree,4.04,process_tree,661.39
350000,199.56,76.767,39.048,11.309999999999999,process_tree,4.04,process_tree,661.41
360000,205.154,46.848,41.369,12.09,process_tree,4.04,process_tree,661.41
370000,210.859,15.606,15.446,10.38,process_tree,4.04,process_tree,661.41
380000,215.917,46.447,36.177,20.22,process_tree,4.04,process_tree,661.41
390000,221.566,50.775,43.456,14.05,process_tree,4.04,process_tree,661.44
400000,227.15,57.356,34.005,19.98,process_tree,4.04,process_tree,662.0
410000,232.608,61.142,40.909,26.110000000000003,process_tree,4.04,process_tree,662.0
420000,237.763,29.093,26.514,26.369999999999997,process_tree,4.04,process_tree,662.0
430000,243.459,98.558,4.781,19.57,process_tree,4.04,process_tree,662.08
440000,249.103,83.577,35.503,21.09,process_tree,4.04,process_tree,662.08
450000,254.376,81.307,32.787,25.75,process_tree,4.04,process_tree,662.09
460000,259.824,96.6,10.2,17.19,process_tree,4.04,process_tree,662.09
470000,265.447,51.783,32.202,14.220000000000002,process_tree,4.04,process_tree,662.09
480000,270.964,55.627,41.786,6.050000000000001,process_tree,4.04,process_tree,662.09
490000,276.251,12.112,15.423,17.130000000000003,process_tree,4.04,process_tree,662.17
500000,281.774,100.0,0.0,11.55,process_tree,4.07,process_tree,667.5
510000,287.468,68.992,28.214,7.99,process_tree,4.08,process_tree,667.77
520000,293.365,59.569,37.9,9.27,process_tree,4.08,process_tree,667.86
530000,298.418,48.461,29.805,9.72,process_tree,4.08,process_tree,667.88
540000,304.173,48.914,36.328,11.139999999999999,process_tree,4.08,process_tree,668.02
550000,309.817,75.9,40.386,10.34,process_tree,4.08,process_tree,668.02
560000,315.1,87.8,27.218,18.27,process_tree,4.08,process_tree,668.02
570000,320.646,40.776,38.946,10.430000000000001,process_tree,4.08,process_tree,668.03
580000,326.286,20.839,20.997,9.8,process_tree,4.08,process_tree,668.03
590000,331.941,69.733,43.742,12.690000000000001,process_tree,4.08,process_tree,668.03
600000,337.131,82.725,36.354,18.619999999999997,process_tree,4.08,process_tree,668.05
610000,342.668,71.706,42.953,10.02,process_tree,4.08,process_tree,668.05
620000,348.367,28.379,33.445,10.81,process_tree,4.08,process_tree,668.06
630000,353.834,12.29,8.004,19.369999999999997,process_tree,4.08,process_tree,668.08
640000,359.009,38.192,39.755,9.879999999999999,process_tree,4.08,process_tree,668.08
650000,364.688,56.871,38.913,13.489999999999998,process_tree,4.08,process_tree,668.16
660000,370.297,57.395,44.472,13.75,process_tree,4.08,process_tree,668.16
670000,378.337,78.118,35.254,22.79,process_tree,4.08,process_tree,668.66
680000,383.86,49.474,43.766,26.43,process_tree,4.08,process_tree,668.72
690000,389.66,69.413,40.604,18.71,process_tree,4.08,process_tree,668.73
700000,395.592,91.636,26.448,17.69,process_tree,4.08,process_tree,668.84
710000,401.36,16.618,35.023,19.33,process_tree,4.08,process_tree,668.89
720000,406.528,33.648,46.919,9.150000000000002,process_tree,4.08,process_tree,668.89
730000,412.662,37.6,43.069,8.82,process_tree,4.08,process_tree,668.89
740000,418.338,62.325,42.872,9.709999999999999,process_tree,4.08,process_tree,668.91
750000,424.063,78.657,40.868,10.4,process_tree,4.08,process_tree,668.94
760000,429.191,21.663,22.613,17.75,process_tree,4.08,process_tree,668.95
770000,434.727,30.87,30.835,9.1,process_tree,4.08,process_tree,668.95
780000,440.522,45.206,32.107,13.930000000000001,process_tree,4.08,process_tree,668.95
790000,446.174,18.873,6.627,16.21,process_tree,4.08,process_tree,668.95
800000,451.312,26.536,9.912,21.419999999999998,process_tree,4.08,process_tree,668.95
810000,456.877,100.0,0.0,19.91,process_tree,4.08,process_tree,668.97
820000,462.488,89.49,23.534,15.919999999999998,process_tree,4.08,process_tree,668.97
830000,467.736,100.0,0.0,15.0,process_tree,4.08,process_tree,668.97
840000,473.263,31.249,36.678,19.610000000000003,process_tree,4.08,process_tree,668.97
850000,478.901,71.682,43.878,15.680000000000001,process_tree,4.08,process_tree,668.97
860000,484.5,70.9,44.469,13.040000000000001,process_tree,4.08,process_tree,668.98
870000,489.627,13.935,20.999,13.51,process_tree,4.08,process_tree,669.0
880000,495.183,24.488,20.825,10.36,process_tree,4.08,process_tree,669.02
890000,501.108,1.82,1.69,18.74,process_tree,4.08,process_tree,669.02
900000,506.699,5.585,3.184,17.080000000000002,process_tree,4.08,process_tree,669.02
910000,511.845,48.645,37.805,10.52,process_tree,4.08,process_tree,669.02
920000,517.582,11.789,15.03,9.9,process_tree,4.08,process_tree,669.02
930000,523.217,57.0,43.2,9.459999999999999,process_tree,4.08,process_tree,669.02
940000,528.432,90.06,29.82,10.879999999999999,process_tree,4.08,process_tree,669.02
950000,533.896,31.103,28.376,13.73,process_tree,4.08,process_tree,669.02
960000,539.463,88.438,27.12,22.299999999999997,process_tree,4.08,process_tree,669.02
