step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,69.0,system,
10000,6.714,1.411,0.886,18.68,process_tree,3.98,process_tree,652.09
20000,12.073,3.048,2.387,16.490000000000002,process_tree,4.02,process_tree,659.08
30000,17.629,8.619,8.609,7.32,process_tree,4.03,process_tree,660.77
40000,22.566,100.0,0.0,22.5,process_tree,4.03,process_tree,660.94
50000,27.645,91.275,15.645,17.589999999999996,process_tree,4.04,process_tree,661.59
60000,32.485,100.0,0.0,14.37,process_tree,4.04,process_tree,662.31
70000,37.171,86.931,30.025,23.27,process_tree,4.04,process_tree,662.44
80000,41.957,91.12,21.476,11.93,process_tree,4.04,process_tree,662.44
90000,46.969,93.271,16.743,18.56,process_tree,4.04,process_tree,662.67
100000,51.925,89.633,29.321,10.450000000000001,process_tree,4.05,process_tree,662.77
110000,56.529,100.0,0.0,17.669999999999998,process_tree,4.05,process_tree,662.78
120000,61.262,100.0,0.0,19.61,process_tree,4.05,process_tree,663.3
130000,66.171,83.254,35.614,22.419999999999998,process_tree,4.05,process_tree,663.36
140000,71.071,100.0,0.0,17.589999999999996,process_tree,4.05,process_tree,663.42
150000,76.02,91.708,27.5,17.259999999999998,process_tree,4.05,process_tree,663.48
160000,80.754,100.0,0.0,19.4,process_tree,4.05,process_tree,663.55
170000,85.314,65.227,44.416,14.87,process_tree,4.05,process_tree,663.58
180000,90.178,81.955,38.28,22.330000000000002,process_tree,4.05,process_tree,663.64
190000,95.229,69.331,46.004,14.229999999999999,process_tree,4.05,process_tree,663.88
200000,99.878,100.0,0.0,11.39,process_tree,4.05,process_tree,663.91
210000,104.643,100.0,0.0,23.75,process_tree,4.05,process_tree,663.94
220000,109.32,76.1,37.567,8.33,process_tree,4.05,process_tree,663.95
230000,114.323,80.12,39.76,17.29,process_tree,4.06,process_tree,664.89
240000,119.204,100.0,0.0,8.74,process_tree,4.06,process_tree,664.95
250000,124.06,91.742,27.39,14.12,process_tree,4.06,process_tree,665.02
260000,128.329,67.282,45.207,18.79,process_tree,4.06,process_tree,665.02
270000,133.477,91.758,27.335,20.419999999999998,process_tree,4.06,process_tree,665.05
280000,141.217,91.775,27.279,19.7,process_tree,4.07,process_tree,666.7
290000,149.337,66.327,40.962,6.11,process_tree,4.07,process_tree,667.16
300000,155.886,81.973,38.243,16.360000000000003,process_tree,4.07,process_tree,667.2
310000,160.343,100.0,0.0,7.119999999999999,process_tree,4.07,process_tree,667.2
320000,165.435,92.423,26.247,15.9,process_tree,4.07,process_tree,667.2
330000,170.304,83.675,36.505,9.0,process_tree,4.07,process_tree,667.2
340000,175.34,91.742,27.39,17.18,process_tree,4.07,process_tree,667.2
350000,179.799,88.922,31.333,22.82,process_tree,4.07,process_tree,667.27
360000,184.527,80.12,39.76,22.57,process_tree,4.07,process_tree,667.28
370000,189.552,100.0,0.0,16.79,process_tree,4.07,process_tree,667.36
380000,194.297,92.991,22.165,20.369999999999997,process_tree,4.07,process_tree,667.41
390000,199.294,91.842,27.058,16.27,process_tree,4.07,process_tree,667.41
400000,203.581,100.0,0.0,8.52,process_tree,4.07,process_tree,667.41
410000,208.662,100.0,0.0,17.59,process_tree,4.08,process_tree,667.83
420000,213.574,100.0,0.0,8.629999999999999,process_tree,4.08,process_tree,667.88
430000,218.45,100.0,0.0,18.479999999999997,process_tree,4.08,process_tree,667.94
440000,223.016,100.0,0.0,20.65,process_tree,4.08,process_tree,667.94
