step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,62.5,system,
10000,8.539,1.231,0.743,24.7,process_tree,3.9,process_tree,639.09
20000,13.657,1.743,0.954,13.739999999999998,process_tree,3.92,process_tree,641.81
30000,19.233,2.025,1.156,17.28,process_tree,3.92,process_tree,642.16
40000,24.347,2.222,1.664,17.0,process_tree,3.92,process_tree,642.38
50000,29.118,2.663,1.807,10.830000000000002,process_tree,3.93,process_tree,643.25
60000,34.415,2.93,2.255,11.18,process_tree,3.93,process_tree,643.36
70000,39.251,3.226,2.378,22.419999999999998,process_tree,3.93,process_tree,643.39
80000,44.068,3.373,2.622,14.4,process_tree,3.93,process_tree,643.47
90000,49.384,3.917,3.243,12.790000000000001,process_tree,3.93,process_tree,643.64
100000,54.04,3.933,2.979,22.21,process_tree,3.93,process_tree,643.7
110000,59.073,5.458,5.39,17.02,process_tree,3.93,process_tree,643.88
120000,63.972,6.257,5.523,21.959999999999997,process_tree,3.93,process_tree,644.0
130000,68.529,7.741,7.337,16.380000000000003,process_tree,3.93,process_tree,644.23
140000,73.54,8.39,8.582,11.7,process_tree,3.93,process_tree,644.33
150000,78.583,6.648,6.009,12.979999999999999,process_tree,3.93,process_tree,644.36
