step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,64.2,system,
10000,6.683,1.209,0.722,16.919999999999998,process_tree,3.92,process_tree,641.5
20000,15.626,1.976,1.426,16.5,process_tree,3.95,process_tree,646.72
30000,20.933,3.383,2.582,5.66,process_tree,3.95,process_tree,647.25
40000,26.371,7.277,6.794,16.839999999999996,process_tree,3.96,process_tree,648.2
50000,31.472,22.444,22.625,10.879999999999999,process_tree,3.96,process_tree,648.36
60000,36.768,85.7,30.993,17.95,process_tree,3.96,process_tree,648.73
70000,41.729,100.0,0.0,5.46,process_tree,3.96,process_tree,649.02
80000,46.857,100.0,0.0,17.4,process_tree,3.96,process_tree,649.06
90000,51.754,89.129,27.978,16.05,process_tree,3.96,process_tree,649.14
100000,56.702,100.0,0.0,16.97,process_tree,3.96,process_tree,649.2
110000,61.768,100.0,0.0,18.94,process_tree,3.96,process_tree,649.27
120000,66.749,100.0,0.0,11.61,process_tree,3.96,process_tree,649.27
130000,71.956,100.0,0.0,17.46,process_tree,3.96,process_tree,649.31
140000,76.709,100.0,0.0,11.379999999999999,process_tree,3.96,process_tree,649.34
150000,82.018,100.0,0.0,17.56,process_tree,3.96,process_tree,649.36
160000,86.918,100.0,0.0,5.49,process_tree,3.96,process_tree,649.42
170000,91.92,96.17,11.49,17.6,process_tree,3.96,process_tree,649.5
180000,96.845,100.0,0.0,16.85,process_tree,3.96,process_tree,649.52
190000,101.719,100.0,0.0,12.120000000000001,process_tree,3.96,process_tree,649.53
200000,106.83,100.0,0.0,16.35,process_tree,3.97,process_tree,649.7
210000,111.761,92.454,26.141,11.219999999999999,process_tree,3.97,process_tree,649.73
220000,116.889,100.0,0.0,17.87,process_tree,3.97,process_tree,649.78
230000,121.582,100.0,0.0,13.4,process_tree,3.97,process_tree,649.8
240000,126.856,100.0,0.0,17.630000000000003,process_tree,3.97,process_tree,650.02
250000,131.647,90.03,29.91,6.859999999999999,process_tree,3.97,process_tree,650.03
260000,136.769,100.0,0.0,18.509999999999998,process_tree,3.97,process_tree,650.09
270000,141.648,80.06,39.88,16.44,process_tree,3.97,process_tree,650.09
280000,146.473,89.0,31.113,5.1899999999999995,process_tree,3.97,process_tree,650.09
290000,151.6,100.0,0.0,17.56,process_tree,3.97,process_tree,650.12
300000,156.46,81.891,38.415,5.36,process_tree,3.97,process_tree,650.14
310000,161.763,100.0,0.0,17.57,process_tree,3.97,process_tree,650.14
320000,166.495,100.0,0.0,12.06,process_tree,3.97,process_tree,650.25
330000,171.659,100.0,0.0,18.580000000000002,process_tree,3.97,process_tree,650.27
340000,176.512,100.0,0.0,7.019999999999999,process_tree,3.97,process_tree,650.34
350000,181.337,80.408,36.882,16.93,process_tree,3.97,process_tree,650.39
360000,186.597,100.0,0.0,17.26,process_tree,3.97,process_tree,650.39
370000,191.475,100.0,0.0,11.01,process_tree,3.97,process_tree,650.39
380000,196.563,87.015,31.022,16.07,process_tree,3.97,process_tree,650.44
390000,201.404,100.0,0.0,5.35,process_tree,3.97,process_tree,650.59
400000,206.712,100.0,0.0,17.8,process_tree,3.97,process_tree,650.61
410000,211.392,100.0,0.0,10.55,process_tree,3.97,process_tree,650.61
420000,216.585,90.0,30.0,17.009999999999998,process_tree,3.97,process_tree,650.66
430000,221.468,91.0,28.461,15.809999999999999,process_tree,3.97,process_tree,650.67
440000,226.256,75.156,43.031,10.66,process_tree,3.97,process_tree,650.73
450000,231.335,98.118,5.951,22.589999999999996,process_tree,3.97,process_tree,650.75
460000,236.183,100.0,0.0,5.07,process_tree,3.97,process_tree,650.77
470000,241.443,100.0,0.0,17.3,process_tree,3.97,process_tree,650.8
480000,246.182,100.0,0.0,12.7,process_tree,3.97,process_tree,650.8
490000,251.469,100.0,0.0,18.369999999999997,process_tree,3.97,process_tree,650.81
