step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,62.3,system,
10000,13.046,1.209,0.762,16.41,process_tree,3.95,process_tree,647.47
20000,22.638,1.147,0.707,16.580000000000002,process_tree,4.11,process_tree,673.77
30000,32.084,1.097,0.68,17.740000000000002,process_tree,4.27,process_tree,699.31
40000,41.374,1.118,0.648,18.369999999999997,process_tree,4.41,process_tree,721.92
50000,50.571,1.145,0.649,18.160000000000004,process_tree,4.55,process_tree,745.34
60000,59.898,1.222,0.741,18.39,process_tree,4.68,process_tree,766.41
70000,69.295,1.147,0.752,18.06,process_tree,4.83,process_tree,791.72
80000,78.552,1.171,0.686,17.419999999999998,process_tree,4.96,process_tree,812.47
90000,88.16,1.201,0.766,15.41,process_tree,5.1,process_tree,835.52
100000,98.599,1.097,0.701,17.419999999999998,process_tree,5.23,process_tree,856.78
110000,108.352,1.135,0.757,16.66,process_tree,5.36,process_tree,878.11
120000,118.147,1.148,0.692,16.47,process_tree,5.48,process_tree,897.12
130000,128.21,1.125,0.655,16.759999999999998,process_tree,5.61,process_tree,918.94
140000,137.643,1.116,0.719,17.130000000000003,process_tree,5.76,process_tree,944.33
150000,146.775,1.18,0.709,17.119999999999997,process_tree,5.88,process_tree,963.55
160000,156.06,1.082,0.596,16.919999999999998,process_tree,6.05,process_tree,991.06
170000,165.308,1.169,0.738,16.910000000000004,process_tree,6.17,process_tree,1010.25
180000,174.445,1.132,0.657,17.0,process_tree,6.32,process_tree,1036.03
190000,183.619,1.164,0.704,19.79,process_tree,6.44,process_tree,1055.12
200000,192.76,1.139,0.701,17.64,process_tree,6.63,process_tree,1086.33
210000,202.247,1.227,0.729,16.65,process_tree,6.75,process_tree,1105.55
220000,211.554,1.108,0.683,16.419999999999998,process_tree,6.86,process_tree,1124.75
230000,220.775,1.127,0.726,18.169999999999998,process_tree,7.03,process_tree,1152.25
240000,230.041,1.156,0.698,15.37,process_tree,7.15,process_tree,1171.36
250000,239.211,1.11,0.636,14.85,process_tree,7.31,process_tree,1197.95
260000,248.593,1.173,0.71,16.919999999999998,process_tree,7.43,process_tree,1217.06
270000,258.127,1.166,0.722,15.7,process_tree,7.54,process_tree,1235.94
280000,267.365,1.138,0.722,15.170000000000002,process_tree,7.66,process_tree,1255.05
290000,276.75,1.143,0.67,15.910000000000002,process_tree,7.78,process_tree,1273.88
300000,286.16,1.152,0.665,15.73,process_tree,7.89,process_tree,1292.75
310000,295.408,1.189,0.767,15.48,process_tree,8.0,process_tree,1311.53
320000,304.651,1.1,0.625,16.29,process_tree,8.12,process_tree,1330.83
330000,314.34,1.185,0.755,16.96,process_tree,8.33,process_tree,1365.11
340000,323.845,1.125,0.682,14.38,process_tree,8.24,process_tree,1350.03
350000,333.032,1.168,0.729,17.610000000000003,process_tree,8.27,process_tree,1355.17
360000,342.488,1.208,0.711,18.060000000000002,process_tree,8.39,process_tree,1374.19
