step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.2,system,
10000,12.838,1.156,0.71,17.54,process_tree,3.96,process_tree,648.69
20000,21.987,1.139,0.701,16.8,process_tree,4.11,process_tree,673.05
30000,30.977,1.213,0.743,18.560000000000002,process_tree,4.24,process_tree,694.89
40000,39.98,1.192,0.701,19.53,process_tree,4.39,process_tree,719.28
50000,48.725,1.192,0.797,18.73,process_tree,4.54,process_tree,744.56
60000,57.506,1.203,0.712,15.41,process_tree,4.66,process_tree,763.7
70000,66.291,1.203,0.75,19.130000000000003,process_tree,4.81,process_tree,787.97
80000,74.954,1.227,0.72,16.81,process_tree,4.96,process_tree,812.27
90000,83.757,1.223,0.711,15.51,process_tree,5.09,process_tree,834.03
100000,92.944,1.172,0.689,17.6,process_tree,5.23,process_tree,857.03
110000,101.632,1.198,0.732,18.080000000000002,process_tree,5.35,process_tree,875.92
120000,110.649,1.162,0.703,17.15,process_tree,5.49,process_tree,899.28
130000,119.734,1.205,0.783,16.99,process_tree,5.62,process_tree,921.14
140000,128.784,1.2,0.78,13.690000000000001,process_tree,5.74,process_tree,940.05
150000,138.86,1.15,0.696,12.620000000000001,process_tree,5.87,process_tree,961.12
160000,148.46,1.215,0.712,14.809999999999999,process_tree,5.99,process_tree,981.16
170000,157.828,1.198,0.762,14.73,process_tree,6.1,process_tree,999.81
180000,167.519,1.202,0.77,15.35,process_tree,5.85,process_tree,959.08
190000,176.908,1.18,0.692,15.16,process_tree,5.77,process_tree,945.53
200000,186.306,1.251,0.735,15.839999999999998,process_tree,5.89,process_tree,964.72
210000,195.398,1.25,0.782,15.419999999999998,process_tree,6.04,process_tree,990.16
220000,204.558,1.238,0.739,15.720000000000002,process_tree,6.16,process_tree,1009.14
230000,213.935,1.137,0.707,14.790000000000001,process_tree,6.37,process_tree,1043.95
240000,223.344,1.19,0.69,16.22,process_tree,6.49,process_tree,1063.42
250000,232.661,1.244,0.801,17.05,process_tree,6.61,process_tree,1082.61
260000,241.784,1.135,0.659,16.919999999999998,process_tree,6.76,process_tree,1107.41
270000,250.925,1.194,0.694,16.189999999999998,process_tree,6.88,process_tree,1126.62
280000,259.917,1.179,0.675,17.31,process_tree,6.99,process_tree,1145.78
290000,268.951,1.213,0.767,16.04,process_tree,7.11,process_tree,1164.98
300000,278.027,1.166,0.685,16.64,process_tree,7.17,process_tree,1174.72
310000,287.143,1.236,0.763,15.440000000000001,process_tree,7.08,process_tree,1159.28
320000,296.515,1.153,0.716,17.830000000000002,process_tree,7.24,process_tree,1186.17
330000,305.402,1.207,0.718,17.860000000000003,process_tree,7.26,process_tree,1188.8
340000,314.432,1.153,0.674,16.44,process_tree,7.34,process_tree,1202.5
350000,323.506,1.172,0.685,16.509999999999998,process_tree,7.44,process_tree,1219.45
360000,332.488,1.243,0.763,18.04,process_tree,7.56,process_tree,1239.41
370000,341.297,1.183,0.713,16.9,process_tree,7.68,process_tree,1259.08
380000,350.302,1.224,0.716,14.940000000000001,process_tree,7.41,process_tree,1214.58
390000,359.771,1.242,0.769,15.219999999999999,process_tree,7.93,process_tree,1299.94
400000,368.648,1.171,0.659,17.589999999999996,process_tree,8.05,process_tree,1319.47
410000,468.187,1.341,0.769,14.780000000000001,process_tree,4.67,process_tree,765.84
420000,477.59,1.366,0.849,18.8,process_tree,4.69,process_tree,767.67
430000,486.544,1.343,0.824,18.16,process_tree,4.7,process_tree,769.3
440000,495.259,1.353,0.821,17.48,process_tree,4.7,process_tree,769.55
450000,503.998,1.487,0.97,16.21,process_tree,4.7,process_tree,769.33
460000,512.728,1.391,0.869,17.810000000000002,process_tree,4.7,process_tree,770.09
470000,521.357,1.373,0.829,19.68,process_tree,4.71,process_tree,771.23
480000,530.029,1.375,0.876,17.56,process_tree,4.72,process_tree,773.77
490000,538.905,1.399,0.911,15.919999999999998,process_tree,5.15,process_tree,843.33
500000,547.729,1.382,0.83,18.589999999999996,process_tree,5.19,process_tree,850.58
510000,556.146,1.39,0.916,17.610000000000003,process_tree,5.2,process_tree,851.91
520000,564.614,1.423,0.891,16.52,process_tree,5.21,process_tree,853.86
530000,573.27,1.366,0.807,15.790000000000001,process_tree,5.31,process_tree,869.53
540000,582.045,1.362,0.821,9.55,process_tree,5.43,process_tree,889.7
550000,591.007,1.455,0.913,16.27,process_tree,5.52,process_tree,904.69
560000,599.713,1.376,0.855,17.14,process_tree,5.62,process_tree,920.58
570000,608.405,1.387,0.861,12.77,process_tree,5.71,process_tree,936.19
580000,617.672,1.36,0.864,14.26,process_tree,5.83,process_tree,954.45
590000,626.406,1.366,0.815,16.03,process_tree,5.92,process_tree,970.0
600000,635.198,1.368,0.858,14.13,process_tree,6.02,process_tree,985.61
610000,643.887,1.36,0.836,15.780000000000001,process_tree,6.11,process_tree,1001.12
620000,652.761,1.298,0.884,13.36,process_tree,6.21,process_tree,1016.92
630000,662.134,1.359,0.836,13.12,process_tree,6.36,process_tree,1042.19
640000,670.909,1.414,0.926,16.16,process_tree,6.47,process_tree,1059.94
650000,679.521,1.419,0.876,15.51,process_tree,6.62,process_tree,1084.94
660000,688.237,1.414,0.839,15.680000000000001,process_tree,6.73,process_tree,1103.28
670000,697.155,1.427,0.934,14.7,process_tree,6.85,process_tree,1121.94
680000,706.046,1.366,0.827,15.16,process_tree,6.96,process_tree,1140.61
690000,715.175,1.394,0.87,18.2,process_tree,7.05,process_tree,1154.52
700000,724.072,1.381,0.909,16.82,process_tree,7.12,process_tree,1166.41
710000,732.912,1.395,0.91,17.27,process_tree,7.08,process_tree,1160.48
720000,741.807,1.383,0.897,16.53,process_tree,7.18,process_tree,1177.02
730000,750.524,1.458,0.927,16.31,process_tree,7.3,process_tree,1196.16
740000,759.299,1.392,0.852,17.369999999999997,process_tree,7.42,process_tree,1215.25
750000,768.689,1.395,0.923,15.11,process_tree,6.76,process_tree,1107.25
760000,779.074,1.327,0.849,15.309999999999999,process_tree,7.62,process_tree,1248.31
770000,788.565,1.347,0.804,15.569999999999999,process_tree,7.39,process_tree,1211.23
780000,797.674,1.393,0.776,15.9,process_tree,7.51,process_tree,1231.12
790000,806.913,1.434,0.857,14.920000000000002,process_tree,7.58,process_tree,1241.23
800000,816.2,1.345,0.803,16.8,process_tree,7.51,process_tree,1229.7
810000,911.407,1.801,1.259,19.48,process_tree,5.17,process_tree,846.61
820000,919.99,1.948,1.363,17.97,process_tree,5.11,process_tree,836.62
830000,928.715,1.949,1.391,20.16,process_tree,5.11,process_tree,837.27
840000,937.471,1.993,1.42,17.79,process_tree,5.61,process_tree,918.69
850000,946.302,2.049,1.375,15.7,process_tree,5.61,process_tree,919.3
860000,955.013,1.963,1.355,18.65,process_tree,5.6,process_tree,917.77
870000,963.749,2.021,1.457,16.49,process_tree,5.61,process_tree,918.97
880000,972.681,1.902,1.25,16.22,process_tree,5.6,process_tree,917.89
890000,981.26,1.952,1.459,16.55,process_tree,5.6,process_tree,918.06
900000,990.069,2.002,1.483,16.82,process_tree,5.61,process_tree,918.58
910000,998.664,1.996,1.443,17.56,process_tree,5.64,process_tree,924.61
920000,1007.649,1.951,1.245,14.27,process_tree,5.65,process_tree,924.91
930000,1016.444,2.095,1.401,16.78,process_tree,5.65,process_tree,925.69
940000,1025.083,2.006,1.317,16.95,process_tree,5.72,process_tree,937.3
950000,1033.726,1.965,1.222,15.48,process_tree,5.82,process_tree,952.84
960000,1042.558,2.075,1.357,16.3,process_tree,5.9,process_tree,966.09
970000,1051.458,2.006,1.292,14.88,process_tree,6.03,process_tree,987.75
980000,1060.202,2.036,1.371,16.589999999999996,process_tree,6.12,process_tree,1003.47
990000,1068.727,2.033,1.406,16.64,process_tree,6.22,process_tree,1018.98
1000000,1077.848,2.004,1.373,18.57,process_tree,6.33,process_tree,1036.78
1010000,1086.826,2.067,1.338,18.82,process_tree,6.42,process_tree,1052.55
1020000,1096.093,1.927,1.274,11.319999999999999,process_tree,6.52,process_tree,1067.84
