step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,65.7,system,
10000,7.554,1.638,1.33,8.7,process_tree,3.9,process_tree,638.98
20000,13.734,5.761,5.751,5.51,process_tree,3.92,process_tree,642.19
30000,19.819,27.688,28.618,7.2299999999999995,process_tree,3.92,process_tree,642.59
40000,25.695,27.361,29.132,13.85,process_tree,3.92,process_tree,643.02
50000,31.605,54.322,42.527,9.419999999999998,process_tree,3.93,process_tree,643.19
60000,37.18,29.363,29.598,22.119999999999997,process_tree,3.93,process_tree,643.48
70000,43.206,26.358,29.495,23.220000000000002,process_tree,3.93,process_tree,643.5
80000,49.152,30.935,33.646,11.57,process_tree,3.93,process_tree,643.52
90000,54.941,79.17,33.284,9.8,process_tree,3.93,process_tree,643.72
100000,60.935,64.494,44.883,15.89,process_tree,3.93,process_tree,643.75
110000,66.875,64.032,41.528,15.189999999999998,process_tree,3.93,process_tree,644.09
120000,72.763,54.942,35.554,8.1,process_tree,3.93,process_tree,644.16
130000,78.583,53.489,41.07,8.959999999999999,process_tree,3.93,process_tree,644.2
140000,84.613,30.67,33.693,12.2,process_tree,3.93,process_tree,644.27
150000,90.979,91.808,27.169,10.7,process_tree,3.93,process_tree,644.41
160000,96.905,92.043,19.491,9.87,process_tree,3.93,process_tree,644.48
170000,102.826,70.017,41.763,7.99,process_tree,3.93,process_tree,644.5
180000,108.737,54.265,48.61,7.769999999999999,process_tree,3.93,process_tree,644.7
190000,114.592,100.0,0.0,10.91,process_tree,3.93,process_tree,644.7
200000,120.496,100.0,0.0,7.81,process_tree,3.94,process_tree,644.72
210000,126.358,78.729,29.682,7.040000000000001,process_tree,3.94,process_tree,644.72
220000,132.12,33.7,37.517,14.62,process_tree,3.94,process_tree,644.72
230000,138.03,100.0,0.0,14.8,process_tree,3.94,process_tree,644.73
240000,143.751,96.364,11.499,10.11,process_tree,3.94,process_tree,644.73
250000,149.537,69.918,33.261,8.4,process_tree,3.94,process_tree,644.81
260000,155.409,100.0,0.0,15.89,process_tree,3.94,process_tree,644.84
270000,161.182,56.789,46.245,6.959999999999999,process_tree,3.94,process_tree,644.84
