step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,69.1,system,
10000,7.398,1.868,1.461,13.790000000000001,process_tree,3.95,process_tree,647.12
20000,13.588,7.613,7.775,20.34,process_tree,4.01,process_tree,656.56
30000,19.191,25.062,27.982,18.25,process_tree,4.01,process_tree,657.72
40000,24.821,29.747,29.288,12.169999999999998,process_tree,4.03,process_tree,659.73
50000,30.426,58.238,39.863,20.76,process_tree,4.03,process_tree,660.94
60000,35.966,66.124,42.678,10.400000000000002,process_tree,4.04,process_tree,661.2
70000,41.437,94.264,18.14,6.470000000000001,process_tree,4.04,process_tree,661.38
80000,47.03,45.414,42.334,14.569999999999999,process_tree,4.04,process_tree,661.38
90000,52.672,13.649,26.062,16.16,process_tree,4.04,process_tree,661.44
100000,58.247,14.879,31.657,22.009999999999998,process_tree,4.04,process_tree,661.45
110000,63.66,27.631,38.374,17.15,process_tree,4.04,process_tree,661.94
120000,69.648,40.356,42.844,6.36,process_tree,4.05,process_tree,662.94
130000,75.133,67.12,46.501,8.9,process_tree,4.05,process_tree,662.95
140000,80.564,92.346,26.514,13.719999999999999,process_tree,4.05,process_tree,662.95
150000,86.255,96.042,7.841,11.48,process_tree,4.05,process_tree,662.95
160000,91.743,67.073,46.568,16.840000000000003,process_tree,4.05,process_tree,662.97
170000,97.077,100.0,0.0,21.65,process_tree,4.05,process_tree,663.38
180000,102.865,100.0,0.0,23.04,process_tree,4.05,process_tree,663.38
190000,108.428,100.0,0.0,14.91,process_tree,4.05,process_tree,663.38
200000,113.867,69.0,45.981,21.98,process_tree,4.05,process_tree,663.38
210000,119.714,68.235,44.742,9.4,process_tree,4.05,process_tree,663.41
220000,125.003,51.0,42.961,6.910000000000001,process_tree,4.05,process_tree,663.8
230000,130.643,92.415,26.274,18.45,process_tree,4.05,process_tree,663.88
240000,136.351,100.0,0.0,21.830000000000002,process_tree,4.05,process_tree,663.94
250000,141.794,100.0,0.0,6.29,process_tree,4.06,process_tree,664.56
260000,147.333,92.323,26.594,17.880000000000003,process_tree,4.06,process_tree,664.56
270000,153.001,86.986,31.886,21.65,process_tree,4.06,process_tree,664.64
280000,158.415,100.0,0.0,9.66,process_tree,4.06,process_tree,665.09
290000,164.219,71.429,44.272,12.95,process_tree,4.06,process_tree,665.11
300000,169.556,70.414,24.111,21.32,process_tree,4.06,process_tree,665.2
310000,174.929,100.0,0.0,18.04,process_tree,4.06,process_tree,665.22
320000,180.634,75.442,42.541,22.53,process_tree,4.06,process_tree,665.33
330000,186.218,100.0,0.0,16.509999999999998,process_tree,4.06,process_tree,665.33
340000,193.938,100.0,0.0,12.709999999999999,process_tree,4.06,process_tree,665.67
350000,201.192,89.6,25.718,14.88,process_tree,4.06,process_tree,665.73
360000,207.08,100.0,0.0,11.600000000000001,process_tree,4.06,process_tree,665.73
370000,212.669,100.0,0.0,17.22,process_tree,4.06,process_tree,665.75
380000,218.45,90.32,29.04,10.16,process_tree,4.06,process_tree,665.78
390000,224.163,100.0,0.0,12.11,process_tree,4.06,process_tree,665.78
400000,229.553,100.0,0.0,9.959999999999999,process_tree,4.06,process_tree,665.8
410000,235.181,100.0,0.0,15.15,process_tree,4.06,process_tree,665.81
420000,240.836,100.0,0.0,11.7,process_tree,4.06,process_tree,665.83
430000,246.226,85.085,34.981,23.270000000000003,process_tree,4.06,process_tree,665.84
440000,251.893,53.894,48.913,22.85,process_tree,4.06,process_tree,665.84
450000,257.657,92.685,25.341,15.84,process_tree,4.06,process_tree,665.84
460000,263.197,100.0,0.0,17.79,process_tree,4.06,process_tree,665.92
470000,269.009,94.75,13.663,9.93,process_tree,4.06,process_tree,665.92
480000,274.511,89.988,18.028,13.069999999999999,process_tree,4.06,process_tree,665.92
490000,280.091,94.178,16.468,15.780000000000001,process_tree,4.06,process_tree,665.92
500000,285.811,53.409,48.69,21.740000000000002,process_tree,4.1,process_tree,671.78
510000,291.896,47.674,41.545,18.68,process_tree,4.1,process_tree,671.97
520000,297.818,87.2,25.66,13.560000000000002,process_tree,4.1,process_tree,672.05
530000,303.525,100.0,0.0,8.64,process_tree,4.1,process_tree,672.08
540000,308.959,69.813,35.073,23.11,process_tree,4.1,process_tree,672.12
550000,314.711,67.138,44.04,6.74,process_tree,4.1,process_tree,672.12
560000,320.006,42.347,40.766,23.79,process_tree,4.1,process_tree,672.16
570000,325.599,40.483,28.149,8.510000000000002,process_tree,4.1,process_tree,672.17
580000,331.377,38.093,31.337,23.34,process_tree,4.1,process_tree,672.19
590000,337.278,60.621,45.364,8.360000000000001,process_tree,4.1,process_tree,672.19
600000,342.623,75.481,42.475,28.160000000000004,process_tree,4.1,process_tree,672.19
610000,348.11,100.0,0.0,18.46,process_tree,4.1,process_tree,672.48
620000,354.113,90.24,29.28,16.3,process_tree,4.1,process_tree,672.55
630000,359.545,100.0,0.0,18.48,process_tree,4.11,process_tree,672.58
640000,365.235,78.76,34.428,17.96,process_tree,4.11,process_tree,672.59
650000,371.012,84.808,35.63,17.95,process_tree,4.11,process_tree,672.62
660000,376.273,100.0,0.0,11.540000000000001,process_tree,4.11,process_tree,672.62
670000,381.77,88.477,28.528,21.48,process_tree,4.11,process_tree,672.62
680000,387.593,100.0,0.0,18.95,process_tree,4.11,process_tree,672.62
690000,392.902,100.0,0.0,16.91,process_tree,4.11,process_tree,672.62
700000,398.49,67.253,46.312,8.64,process_tree,4.11,process_tree,672.73
710000,404.121,36.638,46.214,8.39,process_tree,4.11,process_tree,673.0
720000,409.623,74.633,35.728,16.369999999999997,process_tree,4.11,process_tree,673.02
730000,415.157,90.323,26.564,10.59,process_tree,4.11,process_tree,673.03
740000,421.089,77.623,40.856,6.63,process_tree,4.11,process_tree,673.03
750000,426.426,65.018,42.483,21.88,process_tree,4.11,process_tree,673.05
760000,432.065,71.231,41.573,20.910000000000004,process_tree,4.11,process_tree,673.05
770000,437.587,69.947,38.825,16.55,process_tree,4.11,process_tree,673.05
780000,443.249,67.4,43.964,15.26,process_tree,4.11,process_tree,673.05
790000,448.757,91.742,27.39,7.890000000000001,process_tree,4.11,process_tree,673.05
800000,454.614,52.768,47.339,11.430000000000001,process_tree,4.11,process_tree,672.95
810000,460.066,100.0,0.0,7.18,process_tree,4.11,process_tree,673.05
820000,465.644,100.0,0.0,7.92,process_tree,4.11,process_tree,673.05
830000,471.448,73.664,43.027,18.32,process_tree,4.11,process_tree,673.31
840000,476.898,65.021,46.931,16.22,process_tree,4.11,process_tree,673.22
850000,482.404,60.125,47.164,23.009999999999998,process_tree,4.11,process_tree,673.31
860000,488.155,91.908,26.837,22.6,process_tree,4.11,process_tree,673.36
870000,493.777,100.0,0.0,12.6,process_tree,4.11,process_tree,673.36
880000,499.175,29.388,43.283,16.41,process_tree,4.11,process_tree,673.36
890000,504.851,17.855,35.462,7.05,process_tree,4.11,process_tree,673.36
900000,510.735,52.962,49.336,19.110000000000003,process_tree,4.11,process_tree,673.39
910000,519.885,59.471,48.443,8.790000000000001,process_tree,4.11,process_tree,673.53
920000,525.546,77.146,41.726,16.889999999999997,process_tree,4.11,process_tree,673.53
930000,531.444,71.793,44.6,6.859999999999999,process_tree,4.11,process_tree,673.53
940000,537.173,89.089,30.861,5.99,process_tree,4.11,process_tree,673.56
950000,542.646,69.614,35.834,11.99,process_tree,4.11,process_tree,673.58
960000,548.499,92.408,26.301,21.940000000000005,process_tree,4.11,process_tree,673.58
970000,554.101,85.907,34.52,6.470000000000001,process_tree,4.11,process_tree,673.58
980000,559.472,82.118,37.933,12.47,process_tree,4.11,process_tree,673.58
990000,565.101,78.111,40.951,8.33,process_tree,4.11,process_tree,673.59
1000000,570.705,90.12,29.64,7.1899999999999995,process_tree,4.11,process_tree,673.59
1010000,576.177,84.946,35.305,10.709999999999999,process_tree,4.11,process_tree,673.59
1020000,581.966,57.681,48.868,18.610000000000003,process_tree,4.11,process_tree,673.59
1030000,587.689,83.193,33.753,20.68,process_tree,4.11,process_tree,673.59
1040000,593.385,28.85,43.32,19.209999999999997,process_tree,4.11,process_tree,673.61
1050000,599.058,15.24,28.539,15.64,process_tree,4.11,process_tree,673.8
1060000,604.571,67.55,45.895,19.610000000000003,process_tree,4.11,process_tree,673.8
1070000,610.276,78.278,40.641,8.74,process_tree,4.11,process_tree,673.8
1080000,615.922,92.408,26.301,13.559999999999999,process_tree,4.11,process_tree,673.8
1090000,621.392,44.204,44.919,22.43,process_tree,4.11,process_tree,673.7
1100000,627.254,80.387,39.227,8.129999999999999,process_tree,4.11,process_tree,673.8
1110000,632.703,61.854,48.252,17.139999999999997,process_tree,4.11,process_tree,673.88
1120000,638.169,55.127,49.158,21.27,process_tree,4.11,process_tree,673.88
1130000,643.755,61.906,47.757,17.9,process_tree,4.11,process_tree,673.78
1140000,649.464,100.0,0.0,13.01,process_tree,4.11,process_tree,673.88
1150000,655.201,42.362,48.429,5.720000000000001,process_tree,4.11,process_tree,673.88
1160000,660.682,55.159,49.124,20.359999999999996,process_tree,4.11,process_tree,673.88
1170000,666.377,24.541,41.062,12.52,process_tree,4.11,process_tree,673.88
1180000,671.939,15.558,33.727,6.85,process_tree,4.11,process_tree,673.88
1190000,677.717,15.566,34.632,17.880000000000003,process_tree,4.11,process_tree,673.89
1200000,683.378,37.277,47.727,19.01,process_tree,4.11,process_tree,673.92
1210000,688.903,29.022,43.637,9.42,process_tree,4.11,process_tree,673.92
1220000,694.571,13.751,33.688,10.18,process_tree,4.11,process_tree,673.94
1230000,700.294,26.529,41.806,12.72,process_tree,4.11,process_tree,673.94
1240000,705.853,45.52,49.279,21.5,process_tree,4.11,process_tree,673.95
1250000,711.281,65.112,47.24,22.23,process_tree,4.11,process_tree,673.95
1260000,717.009,90.11,29.67,14.12,process_tree,4.11,process_tree,673.95
1270000,722.813,51.553,48.495,12.529999999999998,process_tree,4.11,process_tree,673.95
1280000,728.207,40.83,46.512,17.45,process_tree,4.12,process_tree,674.2
1290000,734.07,22.247,37.757,21.48,process_tree,4.12,process_tree,674.2
