step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,68.4,system,
10000,7.238,1.224,0.792,3.75,process_tree,3.89,process_tree,637.19
20000,13.427,1.627,0.988,6.75,process_tree,3.91,process_tree,640.47
30000,19.244,2.341,1.356,13.49,process_tree,3.91,process_tree,640.59
40000,24.72,3.414,2.383,8.879999999999999,process_tree,3.91,process_tree,641.11
50000,30.483,4.415,3.481,5.49,process_tree,3.91,process_tree,641.23
60000,36.216,6.489,5.745,15.36,process_tree,3.92,process_tree,641.62
70000,41.666,10.886,11.588,7.0200000000000005,process_tree,3.92,process_tree,641.69
80000,47.356,17.897,20.711,8.620000000000001,process_tree,3.92,process_tree,641.94
90000,52.851,24.347,28.603,9.239999999999998,process_tree,3.92,process_tree,642.11
100000,58.189,44.89,38.442,5.4799999999999995,process_tree,3.92,process_tree,642.22
110000,63.761,88.76,24.521,9.5,process_tree,3.92,process_tree,642.47
120000,69.059,79.036,40.154,16.619999999999997,process_tree,3.92,process_tree,642.53
130000,74.79,68.745,37.779,13.48,process_tree,3.92,process_tree,642.78
140000,80.143,100.0,0.0,6.609999999999999,process_tree,3.92,process_tree,642.8
150000,85.682,76.547,40.115,17.69,process_tree,3.92,process_tree,642.88
160000,91.285,68.725,38.601,17.619999999999997,process_tree,3.92,process_tree,642.91
170000,96.752,90.818,21.788,5.4,process_tree,3.92,process_tree,642.92
180000,102.043,100.0,0.0,9.500000000000002,process_tree,3.92,process_tree,642.97
190000,107.586,91.064,28.259,16.9,process_tree,3.92,process_tree,643.02
200000,113.421,100.0,0.0,5.5600000000000005,process_tree,3.93,process_tree,643.08
210000,118.795,69.718,44.505,6.9,process_tree,3.93,process_tree,643.09
220000,124.19,100.0,0.0,14.190000000000001,process_tree,3.93,process_tree,643.17
230000,129.591,100.0,0.0,18.910000000000004,process_tree,3.93,process_tree,643.2
240000,135.216,100.0,0.0,12.65,process_tree,3.93,process_tree,643.25
250000,140.622,88.5,28.654,14.59,process_tree,3.93,process_tree,643.27
260000,146.038,84.777,35.701,10.21,process_tree,3.93,process_tree,643.31
270000,151.483,100.0,0.0,7.0,process_tree,3.93,process_tree,643.36
280000,156.902,100.0,0.0,18.64,process_tree,3.93,process_tree,643.39
290000,162.604,100.0,0.0,17.130000000000003,process_tree,3.93,process_tree,643.42
300000,168.02,100.0,0.0,12.17,process_tree,3.93,process_tree,643.45
310000,173.475,83.608,36.654,9.440000000000001,process_tree,3.93,process_tree,643.45
320000,178.935,100.0,0.0,17.330000000000002,process_tree,3.93,process_tree,643.48
330000,184.539,100.0,0.0,9.620000000000001,process_tree,3.93,process_tree,643.48
340000,190.015,85.836,34.695,18.130000000000003,process_tree,3.93,process_tree,643.48
350000,195.635,100.0,0.0,14.429999999999998,process_tree,3.93,process_tree,643.48
360000,201.064,100.0,0.0,12.32,process_tree,3.93,process_tree,643.53
370000,206.532,100.0,0.0,6.13,process_tree,3.93,process_tree,643.53
380000,211.944,100.0,0.0,10.85,process_tree,3.93,process_tree,643.55
390000,217.412,100.0,0.0,8.09,process_tree,3.93,process_tree,643.55
