step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,74.3,system,
10000,11.497,1.169,0.835,20.575,process_tree,5.89,process_tree,482.28
20000,18.181,1.091,0.653,19.8625,process_tree,6.17,process_tree,505.22
30000,25.025,1.128,0.716,19.45,process_tree,5.39,process_tree,441.67
40000,35.643,1.115,0.658,19.3625,process_tree,3.21,process_tree,263.23
50000,42.425,1.094,0.679,19.975,process_tree,4.51,process_tree,369.08
60000,49.148,1.123,0.72,20.400000000000002,process_tree,3.41,process_tree,279.41
70000,55.776,1.137,0.756,19.8875,process_tree,5.37,process_tree,439.84
80000,62.488,1.065,0.649,20.2375,process_tree,6.22,process_tree,509.81
90000,69.064,1.091,0.69,20.675,process_tree,6.18,process_tree,506.67
100000,75.377,1.067,0.664,19.9375,process_tree,6.44,process_tree,527.88
110000,81.648,1.056,0.639,20.5375,process_tree,6.49,process_tree,531.69
120000,89.168,1.123,0.675,20.35,process_tree,7.3,process_tree,597.92
130000,95.603,1.041,0.634,20.225,process_tree,7.34,process_tree,601.14
140000,101.806,1.154,0.65,20.95,process_tree,7.76,process_tree,635.75
150000,108.066,1.127,0.676,20.4625,process_tree,8.11,process_tree,664.3
160000,114.523,1.116,0.706,20.7125,process_tree,8.43,process_tree,690.52
170000,120.789,1.153,0.669,20.962500000000002,process_tree,8.48,process_tree,694.62
180000,127.103,1.108,0.653,19.8625,process_tree,7.47,process_tree,612.28
190000,133.482,1.05,0.688,20.4125,process_tree,6.86,process_tree,562.12
200000,140.125,1.071,0.621,20.875,process_tree,9.43,process_tree,772.11
210000,146.607,1.171,0.745,17.0625,process_tree,8.7,process_tree,713.08
220000,153.69,1.133,0.768,21.0875,process_tree,3.21,process_tree,262.81
230000,160.136,1.074,0.633,20.1875,process_tree,3.48,process_tree,285.48
240000,166.319,1.145,0.669,20.275,process_tree,3.72,process_tree,305.12
250000,173.098,1.105,0.673,20.3875,process_tree,10.73,process_tree,878.75
260000,179.396,1.087,0.666,20.2,process_tree,10.84,process_tree,888.34
270000,185.6,1.067,0.644,19.0375,process_tree,11.09,process_tree,908.44
280000,191.863,1.139,0.677,20.6625,process_tree,11.34,process_tree,929.22
290000,198.081,1.076,0.612,20.325,process_tree,11.55,process_tree,946.36
300000,204.334,1.159,0.673,20.375,process_tree,10.98,process_tree,899.16
310000,210.627,1.064,0.584,20.3125,process_tree,10.61,process_tree,869.28
320000,218.564,1.084,0.682,20.3625,process_tree,9.09,process_tree,744.86
330000,225.345,1.066,0.625,20.8625,process_tree,3.08,process_tree,252.12
340000,231.784,1.114,0.657,19.925,process_tree,3.3,process_tree,270.59
350000,238.46,1.129,0.705,19.8625,process_tree,3.35,process_tree,274.36
360000,245.452,1.121,0.663,20.575,process_tree,3.02,process_tree,247.34
370000,251.835,1.175,0.692,19.8375,process_tree,3.03,process_tree,248.56
380000,258.425,1.083,0.647,20.75,process_tree,3.29,process_tree,269.8
400000,268.699,1.123,0.713,20.75,process_tree,8.28,process_tree,678.59
410000,274.97,1.047,0.689,20.2125,process_tree,8.6,process_tree,704.11
420000,281.342,1.079,0.673,20.4625,process_tree,8.86,process_tree,726.16
430000,287.615,1.098,0.67,20.5375,process_tree,9.14,process_tree,748.97
440000,293.908,1.222,0.76,20.587500000000002,process_tree,9.39,process_tree,768.88
450000,300.135,1.114,0.703,20.5,process_tree,9.69,process_tree,793.89
460000,306.582,1.125,0.713,20.7375,process_tree,10.02,process_tree,820.59
470000,312.827,1.154,0.726,20.525,process_tree,9.71,process_tree,795.09
480000,319.427,1.152,0.723,20.475,process_tree,9.72,process_tree,795.98
490000,325.682,1.068,0.649,20.175,process_tree,9.84,process_tree,806.3
500000,331.90200000000004,1.157,0.747,9.65,process_tree,8.14,process_tree,666.77
510000,344.86800000000005,1.159,0.768,16.44,process_tree,3.99,process_tree,653.72
520000,353.71000000000004,1.096,0.696,12.05,process_tree,4.15,process_tree,679.19
530000,362.75100000000003,1.096,0.664,15.9,process_tree,4.28,process_tree,701.19
540000,371.85800000000006,1.098,0.688,16.15,process_tree,4.43,process_tree,726.52
550000,380.99500000000006,1.13,0.648,16.0,process_tree,4.57,process_tree,748.53
560000,389.63700000000006,1.109,0.691,16.61,process_tree,4.72,process_tree,773.62
570000,398.73400000000004,1.093,0.619,13.59,process_tree,4.87,process_tree,797.38
580000,407.831,1.145,0.715,18.04,process_tree,5.01,process_tree,820.45
590000,417.04100000000005,1.149,0.726,18.95,process_tree,5.13,process_tree,841.11
600000,426.20900000000006,1.103,0.649,17.05,process_tree,5.29,process_tree,866.09
610000,435.43100000000004,1.107,0.642,17.06,process_tree,5.44,process_tree,890.86
620000,444.55100000000004,1.101,0.691,15.210000000000003,process_tree,5.58,process_tree,913.75
630000,453.595,1.135,0.656,16.270000000000003,process_tree,5.69,process_tree,932.64
640000,462.56300000000005,1.153,0.719,13.709999999999999,process_tree,5.81,process_tree,952.59
650000,471.49600000000004,1.128,0.733,14.559999999999999,process_tree,5.96,process_tree,976.94
660000,480.797,1.13,0.685,15.219999999999999,process_tree,6.08,process_tree,996.03
670000,489.63200000000006,1.086,0.67,16.369999999999997,process_tree,6.22,process_tree,1018.84
680000,498.49,1.091,0.644,16.880000000000003,process_tree,6.33,process_tree,1037.75
690000,507.31800000000004,1.089,0.671,14.65,process_tree,6.48,process_tree,1062.41
700000,516.243,1.134,0.706,15.270000000000001,process_tree,6.6,process_tree,1081.39
710000,525.337,1.111,0.693,16.04,process_tree,6.42,process_tree,1051.62
720000,534.22,1.124,0.719,14.919999999999998,process_tree,6.54,process_tree,1070.7
730000,542.9290000000001,1.098,0.679,16.34,process_tree,6.63,process_tree,1086.39
740000,551.907,1.106,0.662,16.05,process_tree,6.76,process_tree,1107.81
