step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,68.5,system,
10000,6.363,1.247,0.712,11.419999999999998,process_tree,3.9,process_tree,639.78
20000,10.98,1.896,1.243,9.73,process_tree,3.92,process_tree,642.06
30000,15.657,3.226,2.7,13.669999999999998,process_tree,3.93,process_tree,643.3
40000,20.081,5.94,5.271,16.75,process_tree,3.93,process_tree,643.56
50000,24.439,15.757,18.075,17.22,process_tree,3.93,process_tree,643.81
60000,28.646,84.608,30.632,19.02,process_tree,3.93,process_tree,644.02
70000,33.15,100.0,0.0,8.12,process_tree,3.93,process_tree,644.31
80000,37.65,100.0,0.0,15.38,process_tree,3.93,process_tree,644.42
90000,42.027,100.0,0.0,17.240000000000002,process_tree,3.93,process_tree,644.45
100000,46.188,100.0,0.0,29.27,process_tree,3.93,process_tree,644.59
110000,50.645,100.0,0.0,9.07,process_tree,3.93,process_tree,644.69
120000,55.066,100.0,0.0,9.79,process_tree,3.94,process_tree,644.73
130000,59.431,92.323,26.594,16.81,process_tree,3.94,process_tree,644.8
140000,63.827,91.692,27.556,17.220000000000002,process_tree,3.94,process_tree,644.92
150000,67.937,100.0,0.0,8.27,process_tree,3.94,process_tree,644.94
160000,72.326,90.06,29.82,8.040000000000001,process_tree,3.94,process_tree,645.45
170000,76.643,100.0,0.0,16.61,process_tree,3.94,process_tree,645.67
180000,81.11,91.675,27.611,17.259999999999998,process_tree,3.94,process_tree,645.7
190000,85.462,92.331,26.567,16.66,process_tree,3.94,process_tree,645.73
200000,89.7,100.0,0.0,13.389999999999997,process_tree,3.94,process_tree,645.81
210000,93.917,100.0,0.0,8.31,process_tree,3.94,process_tree,645.81
220000,98.378,100.0,0.0,13.680000000000001,process_tree,3.94,process_tree,645.88
230000,102.792,81.42,37.267,17.81,process_tree,3.94,process_tree,645.91
240000,106.982,91.683,27.583,21.59,process_tree,3.94,process_tree,645.92
250000,111.382,85.779,34.835,10.8,process_tree,3.94,process_tree,645.95
260000,115.771,100.0,0.0,11.510000000000002,process_tree,3.94,process_tree,645.98
270000,120.067,100.0,0.0,17.14,process_tree,3.94,process_tree,646.05
280000,124.546,100.0,0.0,17.35,process_tree,3.94,process_tree,646.05
290000,128.84,80.06,39.88,20.580000000000002,process_tree,3.94,process_tree,646.08
300000,133.171,100.0,0.0,9.419999999999998,process_tree,3.94,process_tree,646.08
310000,137.54,92.338,26.54,18.82,process_tree,3.94,process_tree,646.11
320000,145.051,100.0,0.0,19.32,process_tree,3.95,process_tree,646.62
330000,149.963,91.692,27.556,15.9,process_tree,3.95,process_tree,646.62
340000,154.511,100.0,0.0,14.680000000000001,process_tree,3.95,process_tree,646.62
350000,159.114,88.933,31.301,11.440000000000001,process_tree,3.95,process_tree,646.66
360000,163.584,68.819,46.249,14.49,process_tree,3.95,process_tree,646.66
370000,167.917,100.0,0.0,16.89,process_tree,3.95,process_tree,646.7
380000,172.292,90.02,29.94,18.89,process_tree,3.95,process_tree,646.7
390000,176.64,100.0,0.0,13.709999999999999,process_tree,3.95,process_tree,646.75
400000,181.023,90.05,29.85,8.57,process_tree,3.95,process_tree,646.78
410000,185.425,88.922,31.333,18.139999999999997,process_tree,3.95,process_tree,647.05
420000,189.817,100.0,0.0,19.79,process_tree,3.95,process_tree,647.09
430000,194.143,91.725,27.445,16.95,process_tree,3.95,process_tree,647.09
440000,198.392,49.811,48.474,12.190000000000001,process_tree,3.95,process_tree,647.09
450000,202.806,92.575,24.626,7.85,process_tree,3.95,process_tree,647.09
460000,207.297,90.03,29.91,18.82,process_tree,3.95,process_tree,647.09
470000,211.703,81.864,38.473,17.509999999999998,process_tree,3.95,process_tree,647.09
480000,215.872,100.0,0.0,21.34,process_tree,3.95,process_tree,647.09
490000,220.333,100.0,0.0,10.27,process_tree,3.95,process_tree,647.09
500000,225.423,100.0,0.0,17.06,process_tree,3.98,process_tree,651.67
510000,229.891,91.683,27.583,17.910000000000004,process_tree,3.98,process_tree,652.58
520000,234.292,90.01,29.97,19.169999999999998,process_tree,3.98,process_tree,652.75
530000,238.756,90.03,29.91,10.459999999999999,process_tree,3.98,process_tree,652.81
540000,243.156,100.0,0.0,15.560000000000002,process_tree,3.98,process_tree,652.84
550000,247.485,100.0,0.0,16.82,process_tree,3.98,process_tree,652.86
560000,251.951,90.927,28.69,17.46,process_tree,3.99,process_tree,652.92
570000,256.136,84.662,35.972,11.84,process_tree,3.99,process_tree,652.95
580000,260.504,75.042,43.229,7.88,process_tree,3.99,process_tree,653.0
590000,264.995,88.911,31.364,18.02,process_tree,3.99,process_tree,653.08
600000,269.401,100.0,0.0,19.18,process_tree,3.99,process_tree,653.09
610000,273.53,100.0,0.0,22.11,process_tree,3.99,process_tree,653.14
620000,278.022,100.0,0.0,8.78,process_tree,3.99,process_tree,653.23
630000,282.431,84.692,35.9,10.010000000000002,process_tree,3.99,process_tree,653.27
640000,286.811,81.836,38.531,15.969999999999999,process_tree,3.99,process_tree,653.3
650000,291.182,100.0,0.0,16.94,process_tree,3.99,process_tree,653.33
660000,295.299,73.513,43.924,21.0,process_tree,3.99,process_tree,653.36
670000,299.801,83.475,36.951,8.370000000000001,process_tree,3.99,process_tree,653.41
680000,304.257,73.4,44.111,16.45,process_tree,3.99,process_tree,653.41
690000,308.766,100.0,0.0,17.619999999999997,process_tree,3.99,process_tree,653.41
700000,313.107,72.973,44.136,17.68,process_tree,3.99,process_tree,653.41
710000,317.217,100.0,0.0,9.37,process_tree,3.99,process_tree,653.42
720000,321.628,80.047,39.907,8.46,process_tree,3.99,process_tree,653.44
730000,326.027,90.927,28.69,15.719999999999999,process_tree,3.99,process_tree,653.52
740000,330.524,91.675,27.611,17.270000000000003,process_tree,3.99,process_tree,653.52
750000,334.966,84.738,35.792,17.15,process_tree,3.99,process_tree,653.52
760000,339.147,100.0,0.0,11.85,process_tree,3.99,process_tree,653.55
770000,343.435,88.9,31.396,8.16,process_tree,3.99,process_tree,653.56
780000,347.833,100.0,0.0,15.15,process_tree,3.99,process_tree,653.56
790000,352.273,83.383,37.156,17.0,process_tree,3.99,process_tree,653.62
800000,356.678,91.692,27.556,16.96,process_tree,3.99,process_tree,653.66
810000,360.979,100.0,0.0,16.93,process_tree,3.99,process_tree,653.67
820000,365.288,88.978,31.176,9.21,process_tree,3.99,process_tree,653.69
830000,369.62,100.0,0.0,17.02,process_tree,3.99,process_tree,653.67
840000,374.005,92.323,26.594,16.759999999999998,process_tree,3.99,process_tree,653.69
850000,378.217,100.0,0.0,22.43,process_tree,3.99,process_tree,653.69
860000,382.573,91.683,27.583,7.9300000000000015,process_tree,3.99,process_tree,653.69
870000,386.961,91.683,27.583,11.18,process_tree,3.99,process_tree,653.69
880000,391.233,100.0,0.0,17.419999999999998,process_tree,3.99,process_tree,653.69
890000,395.777,88.9,31.396,16.53,process_tree,3.99,process_tree,653.69
900000,399.979,100.0,0.0,15.66,process_tree,3.99,process_tree,653.69
910000,404.455,100.0,0.0,8.889999999999999,process_tree,3.99,process_tree,653.69
920000,408.883,100.0,0.0,16.130000000000003,process_tree,3.99,process_tree,653.69
930000,413.333,100.0,0.0,17.57,process_tree,3.99,process_tree,653.75
940000,417.261,100.0,0.0,21.779999999999998,process_tree,3.99,process_tree,653.78
