step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.0,system,
10000,6.174,1.949,1.704,14.75,process_tree,3.93,process_tree,643.73
20000,10.741,4.513,4.991,12.510000000000002,process_tree,3.95,process_tree,647.97
30000,15.059,14.251,17.995,17.11,process_tree,3.96,process_tree,648.09
40000,19.592,10.816,17.573,16.56,process_tree,4.0,process_tree,655.78
50000,23.947,18.091,19.6,16.509999999999998,process_tree,4.0,process_tree,655.83
60000,28.355,24.808,27.874,13.579999999999998,process_tree,4.01,process_tree,656.23
70000,32.773,5.437,13.024,13.1,process_tree,4.01,process_tree,656.2
80000,37.112,22.184,26.184,17.57,process_tree,4.01,process_tree,656.23
90000,41.586,47.029,41.797,14.679999999999998,process_tree,4.01,process_tree,656.27
100000,45.883,48.784,47.486,12.53,process_tree,4.01,process_tree,656.27
110000,50.264,35.161,34.378,14.87,process_tree,4.01,process_tree,656.31
120000,54.612,35.237,34.27,17.14,process_tree,4.01,process_tree,656.27
130000,59.041,51.056,38.271,13.530000000000001,process_tree,4.01,process_tree,656.28
140000,63.426,91.309,15.292,15.8,process_tree,4.01,process_tree,656.48
150000,67.718,94.554,18.866,12.4,process_tree,4.01,process_tree,656.5
160000,72.084,25.374,37.041,14.95,process_tree,4.01,process_tree,656.5
170000,76.49,77.362,41.334,13.080000000000002,process_tree,4.01,process_tree,656.53
180000,80.767,98.76,3.72,16.630000000000003,process_tree,4.01,process_tree,656.56
190000,85.218,28.917,33.514,15.080000000000002,process_tree,4.01,process_tree,657.66
200000,89.556,86.975,29.871,15.38,process_tree,4.01,process_tree,657.7
210000,93.947,89.814,24.95,14.190000000000001,process_tree,4.02,process_tree,658.48
220000,98.309,31.338,37.409,17.1,process_tree,4.02,process_tree,658.48
230000,102.579,66.217,38.372,16.99,process_tree,4.02,process_tree,658.48
240000,106.988,30.957,41.978,13.819999999999999,process_tree,4.02,process_tree,658.48
250000,111.333,51.185,48.842,16.32,process_tree,4.02,process_tree,658.52
260000,115.797,84.792,34.096,13.930000000000001,process_tree,4.02,process_tree,658.56
270000,120.064,21.208,35.654,15.260000000000002,process_tree,4.02,process_tree,658.56
280000,124.494,3.049,5.199,15.580000000000002,process_tree,4.02,process_tree,658.56
290000,128.948,72.029,43.408,17.259999999999998,process_tree,4.02,process_tree,658.56
300000,133.272,30.144,41.28,16.44,process_tree,4.02,process_tree,658.58
310000,138.006,0.664,1.358,15.09,process_tree,4.02,process_tree,658.66
320000,142.858,0.312,0.2,15.27,process_tree,4.02,process_tree,658.66
330000,147.709,0.324,0.205,14.3,process_tree,4.02,process_tree,658.66
340000,152.539,0.329,0.215,13.73,process_tree,4.02,process_tree,658.66
350000,157.408,0.301,0.196,15.55,process_tree,4.02,process_tree,659.45
360000,162.248,0.312,0.192,12.72,process_tree,4.02,process_tree,659.45
370000,167.151,0.336,0.21,14.6,process_tree,4.03,process_tree,659.81
380000,171.964,0.312,0.211,15.910000000000002,process_tree,4.03,process_tree,659.77
390000,176.733,0.319,0.207,16.970000000000002,process_tree,4.03,process_tree,659.77
400000,181.597,0.309,0.199,16.54,process_tree,4.03,process_tree,659.77
410000,186.393,0.318,0.199,15.6,process_tree,4.03,process_tree,659.77
420000,191.254,0.33,0.214,14.929999999999998,process_tree,4.03,process_tree,659.77
430000,196.095,0.313,0.204,14.7,process_tree,4.03,process_tree,659.77
440000,201.056,0.317,0.21,14.069999999999999,process_tree,4.03,process_tree,659.86
450000,205.873,0.293,0.215,14.01,process_tree,4.03,process_tree,659.77
460000,210.689,0.28,0.209,13.420000000000002,process_tree,4.03,process_tree,659.77
470000,215.524,0.291,0.205,13.74,process_tree,4.03,process_tree,660.05
480000,220.367,0.349,0.195,13.24,process_tree,4.03,process_tree,660.06
490000,225.155,0.385,0.234,13.459999999999999,process_tree,4.03,process_tree,660.06
500000,229.866,0.394,0.289,17.35,process_tree,4.06,process_tree,665.67
510000,234.672,0.553,0.598,17.43,process_tree,4.07,process_tree,666.64
520000,239.437,0.76,1.103,14.64,process_tree,4.07,process_tree,666.64
530000,244.154,0.729,1.358,14.180000000000001,process_tree,4.07,process_tree,666.67
540000,248.879,0.618,1.489,16.55,process_tree,4.07,process_tree,666.7
550000,253.618,0.657,1.212,16.87,process_tree,4.07,process_tree,666.7
560000,258.379,0.731,1.999,14.85,process_tree,4.07,process_tree,666.7
570000,263.129,0.614,1.235,12.32,process_tree,4.07,process_tree,666.7
580000,267.725,1.981,5.27,12.02,process_tree,4.07,process_tree,666.81
590000,272.126,5.877,13.785,17.79,process_tree,4.07,process_tree,666.83
600000,276.568,5.748,14.913,14.3,process_tree,4.07,process_tree,666.83
610000,281.034,4.172,8.128,18.119999999999997,process_tree,4.07,process_tree,666.95
620000,285.376,17.408,33.326,13.430000000000001,process_tree,4.07,process_tree,666.95
630000,289.758,22.809,40.012,14.74,process_tree,4.07,process_tree,666.95
640000,294.121,41.518,46.958,14.01,process_tree,4.07,process_tree,666.98
650000,298.473,42.311,48.291,16.53,process_tree,4.07,process_tree,666.98
660000,302.823,39.589,47.715,16.96,process_tree,4.07,process_tree,666.98
670000,307.175,66.808,46.941,13.810000000000002,process_tree,4.07,process_tree,666.98
680000,311.458,38.963,47.517,16.77,process_tree,4.07,process_tree,666.98
690000,315.888,30.013,41.406,14.26,process_tree,4.07,process_tree,666.98
700000,320.16,72.111,41.635,17.73,process_tree,4.07,process_tree,666.98
710000,324.631,76.992,42.006,16.94,process_tree,4.07,process_tree,667.02
720000,328.966,49.171,48.934,14.809999999999999,process_tree,4.07,process_tree,667.06
730000,333.401,64.1,46.633,15.579999999999998,process_tree,4.07,process_tree,667.06
740000,337.773,47.852,47.767,14.74,process_tree,4.07,process_tree,667.06
750000,342.173,84.37,32.558,15.819999999999999,process_tree,4.07,process_tree,667.06
760000,346.465,66.867,46.858,12.07,process_tree,4.07,process_tree,667.06
770000,350.848,100.0,0.0,17.02,process_tree,4.07,process_tree,667.06
780000,355.148,62.5,34.41,14.14,process_tree,4.07,process_tree,667.06
790000,359.484,25.646,20.685,17.119999999999997,process_tree,4.07,process_tree,667.06
800000,363.855,63.764,47.937,15.830000000000002,process_tree,4.07,process_tree,667.06
810000,368.083,100.0,0.0,17.5,process_tree,4.07,process_tree,667.06
820000,372.503,72.2,40.018,16.630000000000003,process_tree,4.07,process_tree,667.06
830000,376.944,29.288,40.097,13.110000000000003,process_tree,4.07,process_tree,667.06
840000,381.307,4.922,10.286,16.88,process_tree,4.07,process_tree,667.06
850000,385.632,33.895,40.27,17.380000000000003,process_tree,4.07,process_tree,667.06
860000,390.048,45.238,47.832,16.389999999999997,process_tree,4.07,process_tree,667.06
870000,394.393,24.362,38.844,16.490000000000002,process_tree,4.07,process_tree,667.06
880000,399.189,0.407,1.731,15.790000000000001,process_tree,4.07,process_tree,667.06
890000,404.033,0.321,0.206,15.330000000000002,process_tree,4.07,process_tree,667.06
900000,408.867,0.311,0.213,14.05,process_tree,4.07,process_tree,667.08
910000,413.694,0.308,0.203,14.280000000000001,process_tree,4.07,process_tree,667.08
920000,418.526,0.32,0.214,13.73,process_tree,4.07,process_tree,667.08
930000,423.337,0.319,0.214,13.52,process_tree,4.07,process_tree,667.08
940000,428.136,0.325,0.237,15.440000000000001,process_tree,4.07,process_tree,667.64
950000,433.028,0.32,0.225,16.4,process_tree,4.07,process_tree,667.64
960000,437.844,0.336,0.236,16.3,process_tree,4.07,process_tree,667.64
970000,442.671,0.326,0.253,14.85,process_tree,4.07,process_tree,667.64
980000,447.474,0.331,0.246,14.189999999999998,process_tree,4.07,process_tree,667.64
990000,452.319,0.336,0.226,13.4,process_tree,4.07,process_tree,667.64
1000000,457.189,0.388,0.339,14.75,process_tree,4.07,process_tree,667.64
1010000,461.929,0.376,0.278,16.28,process_tree,4.07,process_tree,667.64
1020000,466.675,0.611,1.931,16.14,process_tree,4.07,process_tree,667.64
1030000,471.474,0.622,1.968,12.41,process_tree,4.07,process_tree,667.64
1040000,475.808,10.062,24.502,17.75,process_tree,4.07,process_tree,667.64
1050000,480.243,10.949,29.262,13.39,process_tree,4.07,process_tree,667.64
1060000,484.574,15.935,35.475,18.509999999999998,process_tree,4.07,process_tree,667.64
1070000,489.073,5.498,19.015,12.07,process_tree,4.07,process_tree,667.64
1080000,493.553,1.811,8.736,17.639999999999997,process_tree,4.07,process_tree,667.64
1090000,498.136,4.469,16.486,13.780000000000001,process_tree,4.07,process_tree,667.64
1100000,502.713,1.351,6.494,13.830000000000002,process_tree,4.07,process_tree,667.64
1110000,507.289,4.554,17.085,14.040000000000001,process_tree,4.07,process_tree,667.64
1120000,511.637,14.044,33.848,16.95,process_tree,4.07,process_tree,667.64
1130000,516.071,7.598,22.315,16.29,process_tree,4.07,process_tree,667.64
1140000,520.523,11.189,26.828,14.01,process_tree,4.07,process_tree,667.64
1150000,524.915,34.888,46.4,14.709999999999999,process_tree,4.07,process_tree,667.64
1160000,529.359,6.195,17.118,14.969999999999999,process_tree,4.07,process_tree,667.64
1170000,533.692,35.227,46.618,13.290000000000001,process_tree,4.07,process_tree,667.64
1180000,538.046,30.2,45.695,15.669999999999998,process_tree,4.07,process_tree,667.64
1190000,542.417,41.114,48.997,17.12,process_tree,4.07,process_tree,667.64
1200000,546.848,25.644,41.826,14.440000000000001,process_tree,4.07,process_tree,667.64
1210000,551.177,27.278,40.95,15.810000000000002,process_tree,4.07,process_tree,667.64
1220000,555.591,29.725,41.486,12.66,process_tree,4.07,process_tree,667.64
1230000,559.932,25.686,42.201,15.59,process_tree,4.07,process_tree,667.64
1240000,564.267,43.071,49.303,17.19,process_tree,4.08,process_tree,667.66
1250000,568.682,46.496,49.537,12.27,process_tree,4.08,process_tree,667.66
1260000,573.04,42.879,48.541,14.179999999999998,process_tree,4.08,process_tree,667.66
1270000,577.349,62.594,48.291,14.16,process_tree,4.08,process_tree,667.67
1280000,581.638,61.569,48.612,18.32,process_tree,4.08,process_tree,667.67
1290000,586.133,26.529,43.908,15.1,process_tree,4.08,process_tree,667.7
1300000,590.662,4.904,16.21,13.35,process_tree,4.08,process_tree,667.7
1310000,594.982,21.374,29.716,15.129999999999999,process_tree,4.08,process_tree,667.7
1320000,599.355,12.579,26.255,12.58,process_tree,4.08,process_tree,667.77
1330000,603.688,54.206,48.443,13.4,process_tree,4.08,process_tree,667.78
1340000,608.12,46.648,48.077,14.330000000000002,process_tree,4.08,process_tree,667.8
1350000,612.769,41.109,49.001,13.12,process_tree,4.08,process_tree,667.8
1360000,617.313,59.833,48.659,14.35,process_tree,4.08,process_tree,667.84
1370000,621.95,37.18,47.337,14.01,process_tree,4.08,process_tree,667.84
1380000,626.638,35.038,45.25,13.05,process_tree,4.08,process_tree,667.75
1390000,631.093,47.532,49.776,15.440000000000001,process_tree,4.08,process_tree,667.75
1400000,635.5,30.763,38.494,17.5,process_tree,4.08,process_tree,667.84
1410000,639.85,36.989,48.125,15.530000000000001,process_tree,4.08,process_tree,667.8
1420000,644.385,26.526,35.753,12.620000000000001,process_tree,4.08,process_tree,667.8
1430000,648.775,77.042,40.152,17.53,process_tree,4.08,process_tree,668.08
1440000,653.174,61.217,48.618,16.169999999999998,process_tree,4.08,process_tree,668.08
1450000,657.64,66.833,46.905,16.130000000000003,process_tree,4.08,process_tree,668.12
1460000,662.066,17.475,36.752,12.7,process_tree,4.08,process_tree,668.09
1470000,666.447,21.172,40.557,15.720000000000002,process_tree,4.08,process_tree,668.09
1480000,670.794,44.589,49.561,14.77,process_tree,4.08,process_tree,668.11
1490000,675.168,63.274,48.086,14.290000000000001,process_tree,4.08,process_tree,668.11
1500000,679.507,59.0,49.005,15.35,process_tree,4.08,process_tree,668.12
1510000,683.855,40.332,48.72,16.25,process_tree,4.08,process_tree,668.12
1520000,688.196,64.871,47.566,16.04,process_tree,4.08,process_tree,668.12
1530000,692.637,61.914,46.312,16.32,process_tree,4.08,process_tree,668.12
1540000,696.931,48.044,48.311,14.930000000000001,process_tree,4.08,process_tree,668.12
1550000,701.345,85.721,34.975,13.689999999999998,process_tree,4.08,process_tree,668.12
1560000,705.638,100.0,0.0,18.2,process_tree,4.08,process_tree,668.12
1570000,709.967,83.4,37.119,17.09,process_tree,4.08,process_tree,668.12
1580000,714.351,55.028,48.914,17.25,process_tree,4.08,process_tree,668.12
1590000,718.734,66.827,46.915,17.46,process_tree,4.08,process_tree,668.12
1600000,723.044,70.231,44.748,12.3,process_tree,4.08,process_tree,668.12
1610000,727.454,69.0,44.874,15.38,process_tree,4.08,process_tree,668.12
1620000,731.814,57.45,49.133,17.839999999999996,process_tree,4.08,process_tree,668.12
1630000,736.124,48.061,49.728,15.930000000000001,process_tree,4.08,process_tree,668.12
1640000,740.555,61.283,48.534,13.680000000000001,process_tree,4.08,process_tree,668.12
1650000,744.914,67.764,43.076,12.85,process_tree,4.08,process_tree,668.12
1660000,749.395,73.413,44.089,13.0,process_tree,4.08,process_tree,668.12
1670000,753.77,84.677,35.936,14.24,process_tree,4.08,process_tree,668.12
1680000,758.209,75.042,43.229,12.680000000000001,process_tree,4.08,process_tree,668.12
1690000,762.594,60.069,46.113,13.719999999999999,process_tree,4.08,process_tree,668.12
1700000,766.941,90.542,27.473,13.709999999999999,process_tree,4.08,process_tree,668.12
1710000,771.385,90.01,29.97,13.15,process_tree,4.08,process_tree,668.12
1720000,775.721,73.807,43.44,11.5,process_tree,4.08,process_tree,668.12
1730000,780.099,57.475,48.108,14.34,process_tree,4.08,process_tree,668.12
1740000,784.392,41.625,38.604,16.75,process_tree,4.08,process_tree,668.12
1750000,788.86,92.369,26.434,14.180000000000001,process_tree,4.08,process_tree,668.12
1760000,793.195,92.315,26.62,14.88,process_tree,4.08,process_tree,668.12
1770000,797.621,77.811,41.512,13.580000000000002,process_tree,4.08,process_tree,668.12
1780000,801.923,100.0,0.0,13.420000000000002,process_tree,4.08,process_tree,668.12
1790000,806.318,69.35,43.33,15.379999999999999,process_tree,4.08,process_tree,668.12
1800000,810.702,47.819,49.753,12.53,process_tree,4.08,process_tree,668.16
1810000,814.996,85.771,34.853,16.869999999999997,process_tree,4.08,process_tree,668.16
1820000,819.482,68.85,46.203,18.669999999999998,process_tree,4.08,process_tree,668.16
1830000,823.84,77.822,41.491,16.76,process_tree,4.08,process_tree,668.16
1840000,828.14,90.927,28.69,14.539999999999997,process_tree,4.08,process_tree,668.16
1850000,832.535,64.536,47.586,16.71,process_tree,4.08,process_tree,668.17
1860000,836.948,79.646,35.543,16.7,process_tree,4.08,process_tree,668.17
1870000,841.332,92.323,26.594,12.74,process_tree,4.08,process_tree,668.17
1880000,845.734,48.082,41.814,12.72,process_tree,4.08,process_tree,668.17
1890000,850.042,78.657,40.869,17.52,process_tree,4.08,process_tree,668.17
1900000,854.479,90.927,28.69,17.380000000000003,process_tree,4.08,process_tree,668.17
1910000,858.891,75.9,41.742,15.440000000000001,process_tree,4.08,process_tree,668.19
1920000,863.273,67.5,46.05,12.370000000000001,process_tree,4.08,process_tree,668.19
1930000,867.628,80.027,39.947,15.1,process_tree,4.08,process_tree,668.19
1940000,872.016,84.962,35.277,15.4,process_tree,4.08,process_tree,668.19
1950000,876.369,71.894,43.1,16.68,process_tree,4.08,process_tree,668.19
1960000,880.721,100.0,0.0,12.55,process_tree,4.08,process_tree,668.19
1970000,885.126,55.7,49.53,18.080000000000002,process_tree,4.08,process_tree,668.2
1980000,889.513,92.315,26.62,14.330000000000002,process_tree,4.08,process_tree,668.2
1990000,893.856,91.692,27.556,13.14,process_tree,4.08,process_tree,668.2
2000000,898.302,100.0,0.0,14.569999999999999,process_tree,4.08,process_tree,668.2
2010000,902.642,83.479,34.883,17.02,process_tree,4.08,process_tree,668.2
2020000,907.034,83.558,36.769,12.66,process_tree,4.08,process_tree,668.2
2030000,911.445,47.673,40.601,13.02,process_tree,4.08,process_tree,668.2
2040000,915.762,48.983,41.375,16.09,process_tree,4.08,process_tree,668.2
2050000,920.137,46.988,36.941,10.790000000000001,process_tree,4.08,process_tree,668.2
2060000,924.592,94.225,15.279,13.36,process_tree,4.08,process_tree,668.2
2070000,928.997,90.973,28.547,15.540000000000001,process_tree,4.08,process_tree,668.22
