step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,73.3,system,
10000,11.464,1.144,0.704,20.0,process_tree,7.08,process_tree,580.33
20000,18.094,1.214,0.795,20.2625,process_tree,7.4,process_tree,606.59
30000,24.722,1.23,0.839,19.875,process_tree,7.68,process_tree,629.03
40000,31.333,1.158,0.723,20.925,process_tree,7.99,process_tree,654.38
50000,38.064,1.122,0.719,20.125,process_tree,8.25,process_tree,675.61
60000,44.602,1.176,0.799,20.3875,process_tree,8.49,process_tree,695.33
70000,51.322,1.149,0.72,20.0875,process_tree,8.77,process_tree,718.56
80000,57.85,1.144,0.735,20.325,process_tree,9.02,process_tree,738.89
90000,64.644,1.13,0.709,20.25,process_tree,9.3,process_tree,762.2
100000,71.232,1.118,0.685,19.9125,process_tree,9.55,process_tree,782.38
110000,77.862,1.156,0.762,20.6375,process_tree,9.79,process_tree,802.36
120000,84.718,1.131,0.694,20.075,process_tree,9.9,process_tree,810.73
130000,91.225,1.187,0.746,20.5,process_tree,10.12,process_tree,828.72
140000,97.788,1.155,0.777,20.45,process_tree,9.88,process_tree,809.5
150000,104.345,1.137,0.701,20.2,process_tree,10.12,process_tree,828.92
160000,111.126,1.091,0.721,20.7,process_tree,10.38,process_tree,850.48
170000,117.652,1.236,0.743,19.6125,process_tree,10.59,process_tree,867.19
180000,124.319,1.15,0.746,20.15,process_tree,10.5,process_tree,859.89
190000,130.502,1.162,0.737,20.125,process_tree,10.4,process_tree,851.73
200000,136.922,1.168,0.779,20.599999999999998,process_tree,11.01,process_tree,901.89
210000,144.665,1.216,0.848,20.9375,process_tree,7.43,process_tree,608.36
220000,152.527,1.162,0.726,20.525,process_tree,5.62,process_tree,460.48
230000,159.712,1.223,0.757,20.6125,process_tree,5.21,process_tree,426.72
240000,166.786,1.169,0.705,20.05,process_tree,5.37,process_tree,439.84
250000,174.249,1.113,0.701,19.4375,process_tree,11.07,process_tree,907.11
260000,181.149,1.166,0.759,20.2375,process_tree,11.88,process_tree,973.0
270000,188.951,1.186,0.756,20.75,process_tree,10.61,process_tree,869.34
280000,196.902,1.176,0.722,20.3125,process_tree,5.88,process_tree,481.42
290000,203.853,1.117,0.711,16.775,process_tree,6.03,process_tree,493.84
300000,210.934,1.155,0.723,20.55,process_tree,5.66,process_tree,463.31
310000,217.59,1.148,0.757,20.6125,process_tree,5.15,process_tree,421.88
320000,225.15,1.146,0.772,19.525,process_tree,13.04,process_tree,1068.14
330000,231.533,1.148,0.708,20.5125,process_tree,12.64,process_tree,1035.78
340000,318.804,1.254,0.831,20.5375,process_tree,6.18,process_tree,506.62
350000,324.976,1.343,0.86,21.075,process_tree,6.11,process_tree,500.41
360000,331.485,1.341,0.875,20.25,process_tree,6.12,process_tree,501.12
370000,337.675,1.378,0.861,20.125,process_tree,5.99,process_tree,490.64
380000,343.79,1.331,0.824,20.5625,process_tree,6.01,process_tree,492.09
390000,350.023,1.354,0.787,20.125,process_tree,5.84,process_tree,478.09
400000,356.246,1.327,0.82,20.025,process_tree,7.1,process_tree,581.58
410000,362.377,1.324,0.793,20.25,process_tree,7.18,process_tree,587.89
420000,368.673,1.344,0.875,20.4875,process_tree,7.38,process_tree,604.28
430000,374.783,1.316,0.811,20.512500000000003,process_tree,7.67,process_tree,628.09
440000,380.95,1.303,0.78,20.3625,process_tree,7.78,process_tree,637.73
450000,387.222,1.332,0.813,20.0625,process_tree,7.91,process_tree,648.36
460000,393.37,1.364,0.912,20.0625,process_tree,8.2,process_tree,671.34
470000,399.562,1.299,0.826,20.4625,process_tree,8.08,process_tree,662.19
480000,406.035,1.376,0.886,20.6375,process_tree,8.17,process_tree,669.05
490000,412.165,1.383,0.897,20.7125,process_tree,8.58,process_tree,703.2
500000,418.221,1.449,0.914,5.8875,process_tree,8.09,process_tree,662.84
510000,430.317,1.367,0.908,13.95,process_tree,3.97,process_tree,650.92
520000,438.882,1.395,0.993,15.430000000000001,process_tree,4.13,process_tree,677.3
530000,447.778,1.365,0.848,14.569999999999999,process_tree,4.29,process_tree,702.06
540000,456.581,1.354,0.914,13.55,process_tree,4.42,process_tree,724.31
550000,465.378,1.362,0.883,13.59,process_tree,4.58,process_tree,750.41
560000,474.328,1.39,0.888,15.75,process_tree,4.7,process_tree,770.08
570000,483.487,1.357,0.821,16.45,process_tree,4.84,process_tree,792.2
580000,492.229,1.275,0.815,14.419999999999998,process_tree,4.98,process_tree,815.38
590000,500.977,1.321,0.804,17.41,process_tree,5.13,process_tree,840.14
600000,510.094,1.404,0.975,17.26,process_tree,5.24,process_tree,859.16
610000,518.893,1.372,0.903,18.23,process_tree,5.39,process_tree,882.94
620000,528.419,1.29,0.781,15.180000000000001,process_tree,5.15,process_tree,844.22
630000,538.349,1.417,0.886,16.09,process_tree,4.52,process_tree,740.92
640000,547.546,1.408,0.899,17.18,process_tree,4.64,process_tree,761.0
650000,556.443,1.394,0.934,16.740000000000002,process_tree,4.84,process_tree,793.36
660000,565.613,1.38,0.94,17.55,process_tree,4.96,process_tree,813.38
670000,574.301,1.528,1.033,17.54,process_tree,5.16,process_tree,845.64
680000,583.101,1.326,0.853,19.380000000000003,process_tree,5.28,process_tree,865.06
690000,591.662,1.246,0.736,19.06,process_tree,5.41,process_tree,886.62
700000,600.531,1.353,0.86,17.89,process_tree,5.53,process_tree,906.3
710000,609.203,1.32,0.825,18.91,process_tree,5.72,process_tree,937.3
720000,617.888,1.368,0.91,19.99,process_tree,5.84,process_tree,956.69
730000,626.611,1.466,0.868,15.779999999999998,process_tree,6.01,process_tree,985.3
740000,635.345,1.306,0.84,15.6,process_tree,6.13,process_tree,1004.47
750000,644.583,1.254,0.795,16.360000000000003,process_tree,6.25,process_tree,1023.8
760000,653.3530000000001,1.354,0.82,14.39,process_tree,6.43,process_tree,1053.28
770000,661.9590000000001,1.327,0.774,16.22,process_tree,6.54,process_tree,1072.27
780000,670.244,1.363,0.868,17.009999999999998,process_tree,6.66,process_tree,1091.56
790000,679.158,1.404,0.907,15.040000000000001,process_tree,6.78,process_tree,1111.34
800000,687.613,1.35,0.792,12.790000000000001,process_tree,6.9,process_tree,1130.69
810000,696.216,1.304,0.83,15.540000000000001,process_tree,7.02,process_tree,1150.11
820000,705.4590000000001,1.288,0.711,16.380000000000003,process_tree,7.24,process_tree,1185.44
830000,714.0699999999999,1.353,0.819,14.41,process_tree,7.35,process_tree,1204.92
840000,797.6120000000001,1.514,1.049,18.080000000000002,process_tree,5.36,process_tree,877.97
850000,806.273,1.987,1.227,16.959999999999997,process_tree,5.3,process_tree,868.98
860000,814.8969999999999,1.901,1.283,17.160000000000004,process_tree,5.29,process_tree,866.98
870000,823.683,1.836,1.156,18.979999999999997,process_tree,5.27,process_tree,863.77
880000,832.273,1.917,1.199,14.16,process_tree,5.27,process_tree,864.0
890000,841.11,1.848,1.198,16.57,process_tree,5.28,process_tree,865.86
900000,850.856,1.988,1.368,15.4,process_tree,5.14,process_tree,842.31
910000,860.268,1.896,1.133,17.830000000000002,process_tree,4.94,process_tree,808.58
920000,869.146,1.907,1.259,16.69,process_tree,4.96,process_tree,812.2
930000,878.539,1.737,1.153,18.75,process_tree,4.97,process_tree,813.89
940000,887.3009999999999,1.935,1.232,17.06,process_tree,5.07,process_tree,831.3
950000,896.1790000000001,1.709,1.061,16.7,process_tree,5.18,process_tree,848.83
960000,905.129,1.925,1.254,15.51,process_tree,5.28,process_tree,865.34
970000,914.017,1.888,1.235,19.05,process_tree,5.38,process_tree,881.25
980000,922.746,1.864,1.202,16.75,process_tree,5.49,process_tree,899.02
990000,931.3870000000001,1.876,1.246,17.57,process_tree,5.59,process_tree,915.98
1000000,940.014,1.803,1.126,18.04,process_tree,5.74,process_tree,939.78
1010000,948.541,1.913,1.302,14.24,process_tree,5.84,process_tree,957.16
1020000,957.133,2.037,1.252,15.790000000000001,process_tree,5.96,process_tree,975.92
1030000,965.731,1.963,1.347,15.35,process_tree,6.06,process_tree,993.31
1040000,974.149,1.865,1.296,17.54,process_tree,6.18,process_tree,1012.41
1050000,982.956,1.876,1.303,14.95,process_tree,6.29,process_tree,1030.52
1060000,991.768,1.887,1.253,17.689999999999998,process_tree,6.41,process_tree,1050.2
1070000,1000.366,2.014,1.373,16.889999999999997,process_tree,6.52,process_tree,1068.42
1080000,1009.307,1.902,1.231,17.630000000000003,process_tree,6.63,process_tree,1086.86
1090000,1017.949,1.839,1.246,19.53,process_tree,6.75,process_tree,1105.67
1100000,1026.739,1.981,1.223,18.3,process_tree,6.86,process_tree,1124.28
1110000,1035.464,1.814,1.234,18.05,process_tree,6.98,process_tree,1142.95
1120000,1044.03,1.98,1.284,16.720000000000002,process_tree,7.09,process_tree,1161.55
1130000,1052.45,1.996,1.345,18.330000000000002,process_tree,7.2,process_tree,1180.19
1140000,1061.308,2.026,1.327,18.91,process_tree,7.34,process_tree,1203.38
1150000,1069.778,1.854,1.179,16.9,process_tree,7.46,process_tree,1222.17
1160000,1078.0810000000001,1.934,1.18,14.63,process_tree,7.57,process_tree,1240.75
1170000,1086.6190000000001,1.872,1.174,14.6,process_tree,7.68,process_tree,1259.08
1180000,1175.297,2.668,2.045,14.39,process_tree,5.39,process_tree,883.56
1190000,1183.757,3.38,2.834,19.46,process_tree,5.36,process_tree,878.81
1200000,1192.063,3.186,2.472,16.830000000000002,process_tree,5.35,process_tree,877.03
1210000,1200.53,3.616,2.66,15.25,process_tree,5.34,process_tree,874.14
1220000,1209.019,3.004,2.152,16.080000000000002,process_tree,5.34,process_tree,874.28
1230000,1217.4270000000001,3.114,2.38,16.56,process_tree,5.33,process_tree,873.81
1240000,1226.045,3.357,2.562,16.82,process_tree,5.34,process_tree,875.55
1250000,1234.473,3.486,2.838,16.470000000000002,process_tree,5.35,process_tree,876.88
1260000,1242.596,3.273,2.343,15.830000000000002,process_tree,5.36,process_tree,878.03
1270000,1251.12,3.099,2.153,15.86,process_tree,5.38,process_tree,881.56
1280000,1259.524,3.571,2.923,11.719999999999999,process_tree,5.39,process_tree,883.28
1290000,1268.298,3.515,2.731,16.39,process_tree,5.43,process_tree,889.19
1300000,1276.7359999999999,3.449,2.925,16.56,process_tree,5.53,process_tree,906.7
1310000,1285.37,3.046,2.261,17.65,process_tree,5.63,process_tree,922.23
1320000,1294.0520000000001,3.38,2.499,19.44,process_tree,5.71,process_tree,936.33
1330000,1302.609,3.127,2.145,15.37,process_tree,5.81,process_tree,952.02
1340000,1310.934,3.261,2.574,16.740000000000002,process_tree,5.91,process_tree,968.95
1350000,1319.423,3.244,2.463,16.84,process_tree,6.0,process_tree,983.67
1360000,1327.6190000000001,3.33,2.393,15.319999999999999,process_tree,6.1,process_tree,999.31
1370000,1335.848,3.245,2.442,15.95,process_tree,6.19,process_tree,1014.91
1380000,1344.254,3.31,2.394,14.51,process_tree,6.37,process_tree,1043.59
1390000,1352.6309999999999,2.898,2.096,5.65,process_tree,6.43,process_tree,1053.33
1400000,1361.443,3.199,2.341,15.05,process_tree,6.38,process_tree,1044.95
1410000,1369.6979999999999,3.275,2.426,13.48,process_tree,6.5,process_tree,1064.58
1420000,1377.912,3.335,2.457,15.530000000000001,process_tree,6.61,process_tree,1082.95
1430000,1386.229,3.043,2.316,17.59,process_tree,6.75,process_tree,1105.78
1440000,1394.546,3.589,2.459,16.01,process_tree,6.86,process_tree,1124.56
1450000,1403.066,3.206,2.312,15.25,process_tree,6.97,process_tree,1141.34
1460000,1411.254,3.184,2.265,16.03,process_tree,7.07,process_tree,1158.61
1470000,1419.714,3.237,2.651,16.169999999999998,process_tree,7.15,process_tree,1171.56
1480000,1428.347,3.426,2.498,16.410000000000004,process_tree,7.24,process_tree,1186.09
1490000,1436.857,3.35,2.392,15.88,process_tree,7.36,process_tree,1205.3
1500000,1445.179,3.029,2.275,16.22,process_tree,7.47,process_tree,1224.17
1510000,1526.617,3.419,2.758,17.91,process_tree,5.38,process_tree,880.97
1520000,1534.596,6.837,6.055,15.99,process_tree,5.17,process_tree,846.75
1530000,1542.424,6.908,6.85,15.89,process_tree,5.16,process_tree,845.03
1540000,1550.554,7.968,6.831,16.009999999999998,process_tree,5.16,process_tree,845.05
1550000,1558.597,8.169,8.69,14.579999999999998,process_tree,5.15,process_tree,844.39
1560000,1566.636,7.846,6.433,15.4,process_tree,5.16,process_tree,845.39
1570000,1574.644,8.479,6.834,17.05,process_tree,5.16,process_tree,845.98
1580000,1582.857,7.817,7.065,15.330000000000002,process_tree,5.16,process_tree,845.67
1590000,1591.175,7.763,7.143,18.77,process_tree,5.16,process_tree,846.09
1600000,1599.494,8.249,6.629,16.6,process_tree,5.16,process_tree,846.11
1610000,1607.65,7.79,6.773,17.589999999999996,process_tree,5.18,process_tree,848.94
1620000,1616.009,9.24,7.343,18.1,process_tree,5.19,process_tree,849.81
1630000,1624.01,8.799,6.952,20.96,process_tree,5.22,process_tree,854.7
