step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,68.7,system,
10000,6.627,1.269,0.868,12.21,process_tree,3.87,process_tree,634.55
20000,11.802,2.691,2.378,21.669999999999998,process_tree,3.89,process_tree,637.09
30000,16.955,5.053,5.034,22.02,process_tree,3.89,process_tree,638.0
40000,22.01,21.258,24.258,12.98,process_tree,3.9,process_tree,638.19
50000,26.834,100.0,0.0,22.06,process_tree,3.9,process_tree,638.28
60000,31.755,90.09,29.73,10.84,process_tree,3.9,process_tree,638.41
70000,36.557,92.392,26.354,21.84,process_tree,3.9,process_tree,638.73
80000,41.527,100.0,0.0,16.29,process_tree,3.9,process_tree,638.83
90000,46.327,100.0,0.0,11.56,process_tree,3.9,process_tree,638.83
100000,51.01,100.0,0.0,15.84,process_tree,3.9,process_tree,638.83
110000,55.89,100.0,0.0,12.720000000000002,process_tree,3.9,process_tree,638.83
120000,60.611,100.0,0.0,16.71,process_tree,3.9,process_tree,638.83
130000,65.561,100.0,0.0,11.57,process_tree,3.9,process_tree,639.03
140000,70.287,100.0,0.0,18.43,process_tree,3.9,process_tree,639.09
150000,75.156,92.408,26.301,11.860000000000001,process_tree,3.9,process_tree,639.25
160000,79.805,71.757,44.658,16.72,process_tree,3.9,process_tree,639.27
170000,84.723,73.6,43.78,17.29,process_tree,3.9,process_tree,639.28
180000,89.59,50.389,49.612,11.629999999999999,process_tree,3.9,process_tree,639.28
190000,94.315,77.077,41.852,12.41,process_tree,3.9,process_tree,639.36
200000,99.104,100.0,0.0,13.530000000000001,process_tree,3.9,process_tree,639.36
210000,103.694,85.829,34.713,18.13,process_tree,3.9,process_tree,639.36
220000,108.584,75.25,42.868,12.01,process_tree,3.9,process_tree,639.38
230000,113.29,91.767,27.307,22.08,process_tree,3.9,process_tree,639.38
240000,118.152,100.0,0.0,11.620000000000001,process_tree,3.9,process_tree,639.39
250000,122.947,100.0,0.0,11.65,process_tree,3.9,process_tree,639.52
260000,127.742,81.855,38.492,19.200000000000003,process_tree,3.9,process_tree,639.52
270000,132.552,83.408,37.1,11.94,process_tree,3.9,process_tree,639.52
280000,138.051,61.383,48.409,21.610000000000003,process_tree,3.9,process_tree,639.55
290000,142.903,61.356,48.444,12.71,process_tree,3.9,process_tree,639.56
300000,147.612,71.636,44.849,17.07,process_tree,3.9,process_tree,639.59
310000,152.473,73.055,44.004,14.709999999999999,process_tree,3.9,process_tree,639.59
320000,157.17,100.0,0.0,11.379999999999999,process_tree,3.9,process_tree,639.59
330000,161.948,91.009,28.432,16.55,process_tree,3.9,process_tree,639.59
340000,166.8,84.715,35.846,11.7,process_tree,3.9,process_tree,639.59
350000,173.422,100.0,0.0,15.05,process_tree,3.9,process_tree,639.7
360000,180.201,84.669,35.954,11.89,process_tree,3.91,process_tree,639.91
370000,185.012,66.942,46.753,21.92,process_tree,3.91,process_tree,639.91
380000,190.167,71.579,44.938,23.25,process_tree,3.91,process_tree,639.95
390000,195.151,62.844,47.97,14.12,process_tree,3.91,process_tree,639.95
400000,199.774,78.714,40.759,28.05,process_tree,3.91,process_tree,639.95
410000,204.781,81.927,38.338,12.65,process_tree,3.91,process_tree,639.95
420000,209.509,60.275,48.654,21.330000000000002,process_tree,3.91,process_tree,639.95
430000,214.351,100.0,0.0,11.55,process_tree,3.91,process_tree,639.95
440000,219.034,65.053,47.322,21.69,process_tree,3.91,process_tree,639.95
450000,223.943,83.542,36.802,18.81,process_tree,3.91,process_tree,639.97
460000,228.799,78.879,40.447,11.5,process_tree,3.91,process_tree,639.97
470000,233.571,56.556,49.261,20.16,process_tree,3.91,process_tree,640.06
480000,238.393,58.263,48.941,11.440000000000001,process_tree,3.91,process_tree,640.06
490000,243.138,100.0,0.0,20.63,process_tree,3.91,process_tree,640.06
500000,247.869,66.872,46.85,11.92,process_tree,3.93,process_tree,644.59
510000,252.719,59.176,48.794,11.86,process_tree,3.94,process_tree,645.0
520000,257.529,73.613,43.758,19.34,process_tree,3.94,process_tree,645.25
530000,262.453,69.438,45.843,11.959999999999999,process_tree,3.94,process_tree,645.28
540000,267.208,75.15,43.042,21.52,process_tree,3.94,process_tree,645.44
550000,272.097,53.359,49.471,12.500000000000002,process_tree,3.94,process_tree,645.48
560000,276.936,84.746,35.773,21.419999999999998,process_tree,3.94,process_tree,645.5
570000,281.841,100.0,0.0,13.330000000000002,process_tree,3.94,process_tree,645.53
580000,286.601,77.2,41.627,21.240000000000002,process_tree,3.94,process_tree,645.59
590000,291.443,62.85,47.961,11.620000000000001,process_tree,3.94,process_tree,645.61
600000,296.397,66.767,46.999,12.120000000000001,process_tree,3.94,process_tree,645.61
610000,301.077,90.936,28.662,18.7,process_tree,3.94,process_tree,645.64
620000,305.862,66.88,46.84,19.8,process_tree,3.94,process_tree,645.64
630000,310.803,73.587,43.802,13.0,process_tree,3.94,process_tree,645.66
640000,315.557,83.433,37.045,18.16,process_tree,3.94,process_tree,645.72
650000,320.403,50.406,49.595,11.17,process_tree,3.94,process_tree,645.73
660000,325.091,77.169,41.683,19.43,process_tree,3.94,process_tree,645.73
670000,330.033,83.483,36.934,17.37,process_tree,3.94,process_tree,645.73
680000,334.926,62.838,47.977,12.14,process_tree,3.94,process_tree,645.77
690000,339.657,78.686,40.814,15.99,process_tree,3.94,process_tree,645.77
700000,344.408,50.678,49.328,22.71,process_tree,3.94,process_tree,645.8
710000,349.316,83.517,36.858,17.95,process_tree,3.94,process_tree,645.8
720000,354.09,69.485,45.776,11.37,process_tree,3.94,process_tree,645.8
730000,358.734,71.593,44.917,25.7,process_tree,3.94,process_tree,645.8
740000,363.678,69.0,45.981,12.430000000000001,process_tree,3.94,process_tree,645.8
750000,368.45,73.56,43.846,21.28,process_tree,3.94,process_tree,645.91
760000,373.577,56.631,49.176,12.569999999999999,process_tree,3.94,process_tree,645.91
770000,378.264,55.95,49.25,20.29,process_tree,3.94,process_tree,645.91
780000,383.311,100.0,0.0,15.01,process_tree,3.94,process_tree,645.92
790000,388.129,68.975,46.018,10.36,process_tree,3.94,process_tree,645.92
800000,392.873,78.736,40.719,15.85,process_tree,3.94,process_tree,645.94
810000,397.727,100.0,0.0,11.04,process_tree,3.94,process_tree,645.97
820000,402.523,71.643,44.837,20.310000000000002,process_tree,3.94,process_tree,645.97
830000,407.426,53.282,49.552,11.629999999999999,process_tree,3.94,process_tree,645.97
840000,412.263,60.427,48.468,9.4,process_tree,3.94,process_tree,645.97
850000,416.992,91.683,27.583,19.419999999999998,process_tree,3.94,process_tree,646.0
860000,421.797,90.945,28.633,12.48,process_tree,3.94,process_tree,646.0
870000,426.725,90.04,29.88,10.8,process_tree,3.94,process_tree,646.0
880000,431.53,100.0,0.0,21.509999999999998,process_tree,3.94,process_tree,646.05
890000,436.475,90.11,29.67,11.64,process_tree,3.94,process_tree,646.06
900000,441.241,81.855,38.492,18.369999999999997,process_tree,3.94,process_tree,646.06
910000,446.14,100.0,0.0,12.690000000000001,process_tree,3.94,process_tree,646.08
920000,450.939,100.0,0.0,10.780000000000001,process_tree,3.94,process_tree,646.08
930000,455.777,90.01,29.97,13.689999999999998,process_tree,3.94,process_tree,646.08
940000,460.621,91.692,27.556,11.65,process_tree,3.94,process_tree,646.08
950000,465.353,100.0,0.0,12.430000000000001,process_tree,3.94,process_tree,646.08
960000,470.114,60.347,48.565,20.3,process_tree,3.94,process_tree,646.08
970000,475.014,50.473,49.529,13.15,process_tree,3.94,process_tree,646.08
980000,479.81,91.064,28.259,20.369999999999997,process_tree,3.94,process_tree,646.08
990000,484.721,45.545,49.258,11.95,process_tree,3.94,process_tree,646.08
1000000,489.64,77.338,41.38,11.260000000000002,process_tree,3.94,process_tree,646.08
1010000,496.863,90.991,28.489,14.030000000000001,process_tree,3.95,process_tree,646.42
1020000,503.142,75.233,42.897,11.74,process_tree,3.52,process_tree,577.14
1030000,508.296,92.385,26.38,11.59,process_tree,3.52,process_tree,577.14
1040000,513.092,90.918,28.719,16.4,process_tree,3.52,process_tree,577.14
1050000,517.961,100.0,0.0,11.41,process_tree,3.52,process_tree,577.14
