step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,56.0,system,
10000,6.486,1.102,0.638,16.669999999999998,process_tree,4.0,process_tree,655.11
20000,11.92,1.357,0.725,17.03,process_tree,4.04,process_tree,662.14
30000,16.992,1.766,1.073,16.57,process_tree,4.08,process_tree,667.92
40000,22.396,2.315,1.457,17.07,process_tree,4.09,process_tree,670.31
50000,27.047,3.412,2.681,16.73,process_tree,4.1,process_tree,671.03
60000,31.859,4.126,3.417,22.66,process_tree,4.1,process_tree,671.48
70000,36.593,6.343,5.66,19.05,process_tree,4.1,process_tree,672.03
80000,41.647,7.294,6.164,17.4,process_tree,4.1,process_tree,672.28
90000,46.357,8.482,7.636,17.25,process_tree,4.11,process_tree,673.56
100000,51.307,13.016,10.59,17.330000000000002,process_tree,4.12,process_tree,674.72
110000,55.576,12.357,11.201,20.169999999999998,process_tree,4.12,process_tree,674.73
120000,60.304,13.347,10.922,16.46,process_tree,4.12,process_tree,674.84
130000,65.236,15.043,11.38,19.119999999999997,process_tree,4.12,process_tree,674.94
140000,70.105,53.553,39.488,15.460000000000003,process_tree,4.12,process_tree,675.36
150000,74.727,59.445,36.101,23.46,process_tree,4.12,process_tree,675.59
160000,79.202,80.273,28.571,16.610000000000003,process_tree,4.12,process_tree,675.62
170000,84.286,43.203,34.497,17.4,process_tree,4.12,process_tree,675.62
180000,88.821,29.663,25.447,5.220000000000001,process_tree,4.12,process_tree,675.62
190000,93.575,62.858,36.302,12.55,process_tree,4.12,process_tree,675.62
200000,98.091,63.221,34.735,6.130000000000001,process_tree,4.12,process_tree,675.62
210000,103.001,58.63,37.392,16.939999999999998,process_tree,4.12,process_tree,675.62
220000,107.763,92.842,23.742,13.2,process_tree,4.12,process_tree,675.64
230000,112.692,73.957,32.715,17.64,process_tree,4.13,process_tree,676.02
240000,116.937,76.489,33.982,22.43,process_tree,4.13,process_tree,676.03
250000,121.927,67.523,36.045,15.690000000000001,process_tree,4.13,process_tree,676.03
260000,126.555,72.27,36.585,16.72,process_tree,4.13,process_tree,676.19
270000,131.634,90.955,28.604,17.919999999999998,process_tree,4.13,process_tree,676.2
280000,136.026,92.8,18.937,21.160000000000004,process_tree,4.13,process_tree,676.22
290000,140.808,87.1,22.688,17.19,process_tree,4.13,process_tree,676.42
300000,145.982,81.058,33.478,19.73,process_tree,4.13,process_tree,676.42
310000,154.077,80.506,28.465,17.93,process_tree,4.13,process_tree,677.38
320000,161.993,69.775,39.57,17.57,process_tree,4.14,process_tree,678.25
330000,167.436,80.367,37.14,22.4,process_tree,4.14,process_tree,678.31
340000,172.55,84.754,35.755,22.47,process_tree,4.14,process_tree,678.31
350000,178.308,100.0,0.0,8.770000000000001,process_tree,4.14,process_tree,678.31
360000,183.326,67.847,38.797,17.369999999999997,process_tree,4.14,process_tree,678.48
370000,188.036,71.892,36.8,5.25,process_tree,4.14,process_tree,678.48
380000,192.91,60.306,44.163,15.5,process_tree,4.14,process_tree,678.48
390000,197.218,91.082,28.202,9.9,process_tree,4.14,process_tree,678.48
400000,202.336,100.0,0.0,17.44,process_tree,4.14,process_tree,678.48
410000,206.936,100.0,0.0,13.540000000000001,process_tree,4.14,process_tree,678.52
420000,212.045,92.908,24.568,17.15,process_tree,4.14,process_tree,678.52
430000,216.477,91.027,28.374,24.7,process_tree,4.14,process_tree,678.52
440000,221.326,100.0,0.0,17.669999999999998,process_tree,4.14,process_tree,678.52
450000,225.919,100.0,0.0,17.02,process_tree,4.14,process_tree,678.53
460000,230.995,91.9,21.431,15.709999999999999,process_tree,4.14,process_tree,678.55
470000,235.295,74.85,33.252,20.32,process_tree,4.14,process_tree,678.55
480000,240.107,23.938,23.398,17.869999999999997,process_tree,4.14,process_tree,678.55
490000,244.896,19.244,13.896,17.56,process_tree,4.14,process_tree,678.55
500000,249.922,62.56,41.677,18.759999999999998,process_tree,4.17,process_tree,683.23
510000,254.146,23.716,23.052,12.28,process_tree,4.17,process_tree,683.95
520000,258.849,38.416,33.898,17.419999999999998,process_tree,4.18,process_tree,684.11
530000,264.012,66.617,34.877,16.93,process_tree,4.18,process_tree,684.17
540000,268.741,82.577,31.456,5.24,process_tree,4.18,process_tree,684.19
550000,273.686,61.848,37.299,17.630000000000003,process_tree,4.18,process_tree,684.22
560000,278.091,31.529,17.763,6.000000000000001,process_tree,4.18,process_tree,684.44
570000,282.821,45.284,20.418,17.4,process_tree,4.18,process_tree,684.48
580000,287.608,53.771,41.802,5.380000000000001,process_tree,4.18,process_tree,684.5
590000,292.536,76.825,40.176,17.1,process_tree,4.18,process_tree,684.5
600000,297.053,58.776,46.201,7.44,process_tree,4.18,process_tree,684.5
610000,301.8,40.773,44.437,23.169999999999998,process_tree,4.18,process_tree,684.52
620000,306.367,50.167,40.102,13.429999999999998,process_tree,4.18,process_tree,684.52
630000,311.442,55.2,46.687,17.259999999999998,process_tree,4.18,process_tree,684.52
640000,316.119,35.179,33.148,5.590000000000001,process_tree,4.18,process_tree,684.61
650000,320.707,66.714,43.35,23.2,process_tree,4.18,process_tree,684.61
660000,325.253,81.192,32.64,15.16,process_tree,4.18,process_tree,684.61
670000,330.246,76.078,30.752,16.759999999999998,process_tree,4.18,process_tree,684.61
680000,334.9,72.567,27.848,18.130000000000003,process_tree,4.18,process_tree,684.61
