step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,68.9,system,
10000,6.47,1.382,0.928,22.55,process_tree,3.88,process_tree,635.17
20000,11.659,3.344,2.617,13.88,process_tree,3.9,process_tree,638.56
30000,16.677,8.693,8.437,17.270000000000003,process_tree,3.9,process_tree,639.42
40000,21.321,69.608,37.879,14.8,process_tree,3.9,process_tree,639.67
50000,26.253,84.9,30.665,11.08,process_tree,3.9,process_tree,639.77
60000,31.002,90.664,21.555,19.890000000000004,process_tree,3.91,process_tree,639.86
70000,35.705,83.523,28.826,11.76,process_tree,3.91,process_tree,639.98
80000,42.148,100.0,0.0,21.580000000000002,process_tree,3.91,process_tree,640.42
90000,49.02,84.723,35.828,13.809999999999999,process_tree,3.91,process_tree,640.62
100000,53.817,100.0,0.0,14.469999999999999,process_tree,3.91,process_tree,640.62
110000,58.746,100.0,0.0,20.7,process_tree,3.91,process_tree,640.64
120000,63.565,90.945,28.633,13.0,process_tree,3.91,process_tree,640.78
130000,68.252,92.331,26.567,12.069999999999999,process_tree,3.91,process_tree,640.8
140000,72.844,100.0,0.0,21.11,process_tree,3.91,process_tree,640.83
150000,77.5,100.0,0.0,19.419999999999998,process_tree,3.91,process_tree,640.84
160000,82.228,100.0,0.0,15.459999999999999,process_tree,3.91,process_tree,640.88
170000,86.837,100.0,0.0,17.86,process_tree,3.91,process_tree,640.88
180000,91.453,100.0,0.0,13.719999999999999,process_tree,3.91,process_tree,640.89
190000,96.009,92.338,26.54,22.68,process_tree,3.91,process_tree,640.89
200000,100.859,90.973,28.547,17.66,process_tree,3.91,process_tree,640.89
210000,105.342,91.683,27.583,11.77,process_tree,3.91,process_tree,640.89
220000,109.809,100.0,0.0,25.97,process_tree,3.91,process_tree,640.89
230000,114.563,100.0,0.0,16.3,process_tree,3.91,process_tree,640.89
240000,119.127,100.0,0.0,12.28,process_tree,3.91,process_tree,640.91
250000,123.857,92.315,26.62,12.68,process_tree,3.91,process_tree,640.91
260000,128.558,66.773,46.99,19.04,process_tree,3.91,process_tree,640.94
270000,133.172,77.023,41.95,12.99,process_tree,3.91,process_tree,640.94
280000,137.828,100.0,0.0,12.73,process_tree,3.91,process_tree,640.94
290000,142.408,61.985,48.086,13.99,process_tree,3.91,process_tree,640.94
300000,146.947,61.522,48.235,18.3,process_tree,3.91,process_tree,640.94
