step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,62.6,system,
10000,4.442,1.228,0.713,17.18,process_tree,3.95,process_tree,646.86
20000,7.43,1.183,0.701,17.55,process_tree,4.1,process_tree,671.22
30000,10.415,1.207,0.689,17.7,process_tree,4.27,process_tree,699.03
40000,13.416,1.219,0.684,17.720000000000002,process_tree,4.39,process_tree,719.38
50000,16.363,1.232,0.781,12.09,process_tree,4.54,process_tree,744.22
60000,19.367,1.24,0.808,17.29,process_tree,4.69,process_tree,768.61
70000,22.419,1.148,0.627,17.36,process_tree,4.82,process_tree,790.42
80000,25.358,1.153,0.742,17.22,process_tree,4.95,process_tree,811.58
90000,28.345,1.255,0.726,17.619999999999997,process_tree,5.07,process_tree,831.45
100000,31.407,1.243,0.719,17.990000000000002,process_tree,5.2,process_tree,852.3
110000,34.352,1.234,0.682,17.509999999999998,process_tree,5.35,process_tree,876.77
120000,37.278,1.172,0.704,13.35,process_tree,5.49,process_tree,899.41
130000,40.354,1.179,0.655,17.380000000000003,process_tree,5.6,process_tree,917.92
140000,43.302,1.146,0.623,17.59,process_tree,5.78,process_tree,946.27
150000,46.235,1.212,0.732,17.14,process_tree,5.89,process_tree,965.17
160000,49.36,1.209,0.773,17.160000000000004,process_tree,6.03,process_tree,987.59
170000,52.309,1.244,0.765,17.119999999999997,process_tree,6.14,process_tree,1006.17
180000,55.212,1.167,0.672,17.02,process_tree,6.3,process_tree,1032.8
190000,58.168,1.201,0.721,18.25,process_tree,6.42,process_tree,1051.64
200000,61.31,1.238,0.745,17.52,process_tree,6.57,process_tree,1076.47
210000,64.213,1.274,0.745,17.509999999999998,process_tree,6.68,process_tree,1095.08
220000,91.594,1.423,0.964,16.36,process_tree,5.69,process_tree,932.62
230000,94.562,1.375,0.833,17.419999999999998,process_tree,5.65,process_tree,925.62
240000,97.467,1.367,0.855,16.89,process_tree,5.63,process_tree,922.92
250000,100.432,1.405,0.879,17.52,process_tree,5.63,process_tree,921.95
260000,103.369,1.403,0.827,17.189999999999998,process_tree,5.64,process_tree,924.09
270000,106.343,1.424,0.897,17.46,process_tree,5.64,process_tree,924.16
280000,109.258,1.472,0.894,17.47,process_tree,5.64,process_tree,924.23
290000,112.234,1.454,0.89,16.630000000000003,process_tree,5.64,process_tree,923.31
300000,115.168,1.412,0.919,17.39,process_tree,5.64,process_tree,923.41
310000,118.225,1.549,0.99,17.39,process_tree,5.64,process_tree,923.62
320000,121.118,1.374,0.843,18.27,process_tree,5.71,process_tree,936.34
330000,124.057,1.427,0.869,17.419999999999998,process_tree,5.81,process_tree,951.56
340000,127.06,1.504,0.925,17.24,process_tree,5.9,process_tree,966.84
350000,129.966,1.405,0.898,16.06,process_tree,5.99,process_tree,982.02
