step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,64.8,system,
10000,6.873,1.129,0.659,18.98,process_tree,3.94,process_tree,645.83
20000,11.724,1.059,0.694,19.43,process_tree,4.11,process_tree,673.11
30000,16.882,1.068,0.621,20.46,process_tree,4.25,process_tree,696.52
40000,22.07,1.089,0.628,19.259999999999998,process_tree,4.41,process_tree,721.95
50000,27.265,1.132,0.681,18.02,process_tree,4.55,process_tree,744.92
60000,32.323,1.051,0.596,19.130000000000003,process_tree,4.68,process_tree,766.8
70000,37.154,1.072,0.628,19.57,process_tree,4.8,process_tree,786.94
80000,42.339,1.083,0.581,19.080000000000002,process_tree,4.95,process_tree,811.03
90000,47.167,1.148,0.721,15.23,process_tree,5.08,process_tree,832.67
100000,63.042,1.138,0.711,20.699999999999996,process_tree,5.0,process_tree,818.67
110000,67.683,1.186,0.69,18.060000000000002,process_tree,4.98,process_tree,816.69
120000,72.383,1.158,0.695,20.34,process_tree,4.98,process_tree,815.75
130000,76.696,1.158,0.743,14.25,process_tree,4.98,process_tree,815.95
140000,81.411,1.24,0.751,20.04,process_tree,4.99,process_tree,816.84
150000,85.961,1.175,0.73,19.96,process_tree,4.99,process_tree,817.14
160000,90.351,1.212,0.72,18.0,process_tree,4.99,process_tree,818.33
170000,95.007,1.195,0.732,20.18,process_tree,5.04,process_tree,826.41
180000,100.476,1.173,0.708,16.529999999999998,process_tree,5.15,process_tree,843.25
190000,117.747,1.262,0.794,20.15,process_tree,5.07,process_tree,831.27
200000,122.382,1.409,0.819,20.54,process_tree,5.04,process_tree,825.34
210000,127.143,1.37,0.783,19.47,process_tree,5.03,process_tree,824.38
220000,131.411,1.456,0.86,19.5,process_tree,5.04,process_tree,825.02
230000,135.881,1.398,0.914,18.369999999999997,process_tree,5.04,process_tree,825.11
240000,140.455,1.386,0.78,20.47,process_tree,5.04,process_tree,825.69
250000,145.023,1.432,0.866,20.119999999999997,process_tree,5.04,process_tree,825.84
260000,149.408,1.4,0.815,20.43,process_tree,5.07,process_tree,830.41
270000,153.957,1.422,0.864,20.14,process_tree,5.16,process_tree,845.83
280000,158.475,1.4,0.814,7.0200000000000005,process_tree,5.27,process_tree,863.66
290000,173.617,1.863,1.187,20.1,process_tree,5.15,process_tree,843.22
300000,178.1,2.06,1.252,19.6,process_tree,5.14,process_tree,842.36
310000,182.63,2.042,1.255,17.22,process_tree,5.14,process_tree,842.44
320000,187.005,1.91,1.126,19.410000000000004,process_tree,5.14,process_tree,842.52
330000,191.606,2.095,1.28,19.78,process_tree,5.14,process_tree,842.77
340000,196.113,2.114,1.338,18.47,process_tree,5.15,process_tree,843.41
350000,200.526,2.028,1.282,18.98,process_tree,5.15,process_tree,843.48
360000,205.138,2.012,1.307,20.1,process_tree,5.16,process_tree,845.73
370000,209.56,2.079,1.322,20.009999999999998,process_tree,5.26,process_tree,861.69
380000,224.746,2.759,1.991,20.310000000000002,process_tree,5.16,process_tree,845.45
390000,229.112,3.156,2.384,19.98,process_tree,5.14,process_tree,841.45
400000,233.363,3.382,2.613,17.47,process_tree,5.13,process_tree,840.45
410000,237.678,3.458,2.36,20.630000000000003,process_tree,5.13,process_tree,840.45
420000,242.073,3.175,2.66,20.4,process_tree,5.13,process_tree,840.47
430000,246.409,3.278,2.453,16.76,process_tree,5.13,process_tree,840.47
440000,250.806,3.428,2.2,20.0,process_tree,5.13,process_tree,840.47
450000,255.183,3.53,2.777,14.1,process_tree,5.15,process_tree,843.14
460000,259.776,3.405,2.56,20.61,process_tree,5.25,process_tree,860.61
470000,274.868,3.853,2.949,20.78,process_tree,5.21,process_tree,853.88
