step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,62.8,system,
10000,7.509,1.117,0.664,18.81,process_tree,3.96,process_tree,648.23
20000,12.519,1.124,0.719,21.240000000000002,process_tree,4.11,process_tree,673.11
30000,17.564,1.125,0.696,19.9,process_tree,4.26,process_tree,698.69
40000,22.598,1.158,0.67,20.07,process_tree,4.4,process_tree,721.31
50000,27.472,1.094,0.738,20.080000000000002,process_tree,4.53,process_tree,742.23
60000,32.297,1.188,0.727,18.810000000000002,process_tree,4.68,process_tree,767.09
70000,37.3,1.12,0.696,20.979999999999997,process_tree,4.8,process_tree,787.14
80000,42.398,1.109,0.746,19.52,process_tree,4.93,process_tree,807.64
90000,47.343,1.226,0.777,20.11,process_tree,5.06,process_tree,828.91
100000,52.281,1.131,0.65,19.31,process_tree,5.21,process_tree,853.45
110000,57.15,1.099,0.702,19.839999999999996,process_tree,5.35,process_tree,876.67
120000,62.217,1.158,0.756,19.689999999999998,process_tree,5.47,process_tree,895.48
130000,67.245,1.144,0.73,19.7,process_tree,5.61,process_tree,919.8
140000,72.084,1.147,0.727,19.94,process_tree,5.75,process_tree,941.62
150000,76.967,1.083,0.688,19.18,process_tree,5.86,process_tree,960.22
160000,82.099,1.203,0.766,20.53,process_tree,6.01,process_tree,984.98
170000,87.029,1.185,0.67,16.43,process_tree,6.12,process_tree,1003.47
180000,92.058,1.122,0.723,18.7,process_tree,6.35,process_tree,1041.2
190000,96.942,1.116,0.688,19.07,process_tree,6.47,process_tree,1060.64
200000,135.169,1.134,0.668,18.189999999999998,process_tree,5.79,process_tree,948.88
210000,141.209,1.424,0.911,20.52,process_tree,5.6,process_tree,917.23
220000,146.35,1.399,0.885,16.95,process_tree,5.59,process_tree,915.23
230000,151.503,1.416,0.928,19.54,process_tree,5.59,process_tree,916.11
240000,156.359,1.546,1.02,18.48,process_tree,5.6,process_tree,916.84
250000,161.298,1.412,0.962,17.810000000000002,process_tree,5.6,process_tree,918.19
260000,166.302,1.402,0.905,20.64,process_tree,5.61,process_tree,918.41
270000,171.124,1.356,0.872,17.080000000000002,process_tree,5.61,process_tree,918.5
280000,175.872,1.458,0.888,20.419999999999998,process_tree,5.61,process_tree,918.61
290000,180.71,1.427,0.886,15.3,process_tree,5.68,process_tree,930.12
300000,185.677,1.366,0.931,20.339999999999996,process_tree,5.77,process_tree,945.52
310000,190.435,1.383,0.889,18.29,process_tree,5.86,process_tree,960.88
320000,195.209,1.497,1.016,19.669999999999998,process_tree,5.96,process_tree,976.19
330000,200.086,1.411,0.919,20.23,process_tree,6.05,process_tree,991.59
340000,204.83,1.393,0.92,20.21,process_tree,6.15,process_tree,1006.86
350000,209.576,1.495,0.984,17.8,process_tree,6.24,process_tree,1022.27
360000,214.388,1.509,1.022,18.669999999999998,process_tree,6.34,process_tree,1038.03
370000,219.106,1.49,0.979,20.41,process_tree,6.44,process_tree,1055.31
380000,223.86,1.469,0.958,20.080000000000002,process_tree,6.55,process_tree,1073.5
