step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,68.8,system,
10000,7.044,1.091,0.69,15.819999999999999,process_tree,3.9,process_tree,638.59
20000,12.195,1.522,0.892,16.72,process_tree,3.92,process_tree,642.14
30000,16.953,2.79,2.018,15.61,process_tree,3.92,process_tree,642.55
40000,21.635,4.727,3.942,12.12,process_tree,3.92,process_tree,642.75
50000,26.304,8.799,6.439,7.94,process_tree,3.92,process_tree,642.78
60000,31.029,17.254,15.168,16.060000000000002,process_tree,3.92,process_tree,642.86
70000,35.667,30.783,22.374,18.14,process_tree,3.93,process_tree,643.16
80000,40.65,74.925,33.109,17.75,process_tree,3.93,process_tree,643.22
90000,45.289,21.479,22.646,16.89,process_tree,3.93,process_tree,643.22
100000,49.894,30.512,25.173,18.39,process_tree,3.93,process_tree,643.22
110000,57.606,60.933,40.211,19.44,process_tree,3.93,process_tree,643.69
120000,63.091,36.549,31.889,8.85,process_tree,3.93,process_tree,643.92
130000,67.956,25.464,20.321,8.77,process_tree,3.93,process_tree,643.92
140000,72.87,100.0,0.0,9.379999999999999,process_tree,3.93,process_tree,643.92
150000,77.678,100.0,0.0,15.620000000000001,process_tree,3.93,process_tree,643.92
160000,82.66,100.0,0.0,16.8,process_tree,3.93,process_tree,643.92
170000,87.221,100.0,0.0,16.96,process_tree,3.93,process_tree,643.94
180000,91.93,100.0,0.0,16.2,process_tree,3.93,process_tree,643.97
190000,96.428,100.0,0.0,22.06,process_tree,3.93,process_tree,644.0
200000,101.014,100.0,0.0,14.959999999999999,process_tree,3.93,process_tree,644.0
