step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,67.3,system,
10000,6.61,1.174,0.72,10.45,process_tree,4.06,process_tree,664.78
20000,12.053,1.515,0.95,10.450000000000001,process_tree,4.1,process_tree,671.7
30000,17.285,2.227,1.568,9.690000000000001,process_tree,4.11,process_tree,672.58
40000,22.596,5.154,4.633,5.45,process_tree,4.11,process_tree,674.06
50000,27.787,14.393,16.384,5.65,process_tree,4.12,process_tree,675.44
60000,32.819,38.956,34.414,5.380000000000001,process_tree,4.14,process_tree,678.91
70000,37.739,67.275,28.014,17.96,process_tree,4.15,process_tree,680.41
80000,42.78,66.416,37.767,12.01,process_tree,4.16,process_tree,682.2
90000,47.731,68.608,44.486,5.3100000000000005,process_tree,4.17,process_tree,683.17
100000,52.565,50.753,43.305,17.189999999999998,process_tree,4.17,process_tree,683.27
110000,57.783,58.493,39.322,17.279999999999998,process_tree,4.17,process_tree,683.36
120000,62.778,55.928,39.432,18.04,process_tree,4.17,process_tree,683.56
130000,67.632,77.728,33.631,17.869999999999997,process_tree,4.17,process_tree,683.72
140000,72.425,44.193,32.7,18.97,process_tree,4.18,process_tree,684.14
150000,77.733,36.379,32.613,18.080000000000002,process_tree,4.18,process_tree,684.41
160000,82.479,86.279,33.634,17.09,process_tree,4.18,process_tree,684.44
170000,87.515,100.0,0.0,17.59,process_tree,4.18,process_tree,684.45
180000,92.762,86.67,27.453,18.2,process_tree,4.18,process_tree,684.98
190000,97.512,100.0,0.0,17.869999999999997,process_tree,4.18,process_tree,685.0
200000,105.894,100.0,0.0,19.92,process_tree,4.21,process_tree,689.8
210000,111.871,100.0,0.0,18.14,process_tree,4.21,process_tree,689.8
220000,117.007,100.0,0.0,18.65,process_tree,4.21,process_tree,689.8
230000,122.28,100.0,0.0,18.69,process_tree,4.21,process_tree,689.92
