step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.4,system,
10000,5.572,1.169,0.713,13.5,process_tree,3.9,process_tree,639.64
20000,9.392,1.684,1.105,8.319999999999999,process_tree,3.92,process_tree,642.36
30000,13.564,2.567,1.81,17.32,process_tree,3.92,process_tree,642.86
40000,17.357,3.443,3.036,14.13,process_tree,3.92,process_tree,643.02
50000,21.085,4.446,4.059,6.130000000000001,process_tree,3.93,process_tree,643.19
60000,24.855,5.724,6.1,18.639999999999997,process_tree,3.93,process_tree,643.47
70000,28.775,8.725,10.007,16.939999999999998,process_tree,3.93,process_tree,644.44
80000,32.5,10.161,10.51,7.339999999999999,process_tree,3.93,process_tree,644.58
90000,36.196,18.042,23.439,11.8,process_tree,3.93,process_tree,644.59
100000,40.167,14.569,19.551,16.64,process_tree,3.95,process_tree,646.47
110000,43.845,24.908,19.39,12.809999999999999,process_tree,3.95,process_tree,646.53
120000,47.508,23.678,26.846,11.93,process_tree,3.95,process_tree,646.53
130000,51.19,23.797,26.568,22.68,process_tree,3.95,process_tree,646.58
140000,55.072,28.194,26.73,15.709999999999999,process_tree,3.95,process_tree,646.62
150000,58.813,60.48,35.959,7.029999999999999,process_tree,3.95,process_tree,646.58
160000,62.462,91.333,16.284,17.080000000000002,process_tree,3.95,process_tree,646.58
170000,66.34,91.675,22.026,18.130000000000003,process_tree,3.95,process_tree,646.59
180000,69.986,89.66,29.296,14.52,process_tree,3.95,process_tree,646.61
190000,73.653,77.742,36.913,7.25,process_tree,3.95,process_tree,646.61
200000,77.319,65.55,40.996,20.52,process_tree,3.95,process_tree,646.84
210000,81.196,62.347,38.321,16.869999999999997,process_tree,3.95,process_tree,646.86
220000,84.872,76.0,28.447,8.52,process_tree,3.95,process_tree,646.92
230000,88.536,38.789,36.499,12.43,process_tree,3.95,process_tree,646.92
240000,92.252,71.677,40.456,22.880000000000003,process_tree,3.95,process_tree,646.97
250000,96.11,52.018,44.846,17.04,process_tree,3.95,process_tree,647.03
260000,99.8,51.021,36.253,8.05,process_tree,3.95,process_tree,647.05
270000,103.501,38.382,18.03,14.110000000000003,process_tree,3.95,process_tree,647.05
280000,107.349,78.638,37.335,18.51,process_tree,3.95,process_tree,647.05
290000,111.043,66.025,35.859,16.169999999999998,process_tree,3.95,process_tree,647.11
300000,114.708,72.463,34.787,7.4399999999999995,process_tree,3.95,process_tree,647.12
310000,118.522,50.013,42.906,17.03,process_tree,3.95,process_tree,647.17
320000,122.473,90.421,24.599,17.81,process_tree,3.95,process_tree,647.17
330000,126.225,66.413,38.322,10.02,process_tree,3.95,process_tree,647.17
340000,129.889,52.812,43.85,7.9,process_tree,3.95,process_tree,647.17
350000,133.534,66.894,44.052,12.580000000000002,process_tree,3.95,process_tree,647.17
360000,137.441,36.829,39.535,14.89,process_tree,3.95,process_tree,647.17
