step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,69.4,system,
10000,10.647,1.093,0.681,20.5,process_tree,8.29,process_tree,679.2
20000,16.961,1.059,0.633,20.0375,process_tree,8.6,process_tree,704.5
30000,23.244,1.014,0.613,20.5,process_tree,8.85,process_tree,725.14
40000,29.52,1.041,0.593,20.5375,process_tree,9.15,process_tree,749.27
50000,35.829,1.108,0.673,20.675,process_tree,9.41,process_tree,771.08
60000,42.075,1.014,0.611,20.4125,process_tree,9.63,process_tree,788.94
70000,48.374,1.101,0.631,20.375,process_tree,9.91,process_tree,811.58
80000,54.618,0.999,0.633,20.3625,process_tree,10.17,process_tree,833.36
90000,60.976,1.031,0.62,20.3875,process_tree,10.12,process_tree,829.41
100000,67.225,1.058,0.639,21.049999999999997,process_tree,10.36,process_tree,848.44
110000,73.432,1.068,0.641,20.4,process_tree,10.52,process_tree,861.58
120000,79.821,1.109,0.681,20.6625,process_tree,9.83,process_tree,805.3
130000,120.583,1.091,0.619,20.9625,process_tree,8.88,process_tree,727.36
140000,126.799,1.133,0.644,20.2375,process_tree,8.65,process_tree,708.78
150000,133.039,1.136,0.678,20.875,process_tree,8.61,process_tree,704.92
160000,139.331,1.118,0.678,19.7875,process_tree,8.63,process_tree,707.06
170000,146.172,1.11,0.682,20.4125,process_tree,8.55,process_tree,700.75
180000,153.411,1.076,0.644,20.3625,process_tree,7.83,process_tree,641.12
190000,165.37,1.141,0.662,19.2125,process_tree,7.1,process_tree,581.56
200000,177.41,1.19,0.741,11.7125,process_tree,3.61,process_tree,295.66
210000,195.457,1.173,0.733,16.05,process_tree,7.54,process_tree,617.47
220000,218.472,1.119,0.686,15.425,process_tree,7.79,process_tree,638.06
230000,241.288,1.121,0.663,17.3625,process_tree,8.0,process_tree,655.64
240000,265.548,1.15,0.715,16.7,process_tree,8.33,process_tree,682.53
250000,289.557,1.125,0.645,16.125,process_tree,5.58,process_tree,457.39
260000,395.503,1.192,0.773,14.1125,process_tree,6.68,process_tree,547.53
270000,420.982,1.517,0.906,11.75,process_tree,6.61,process_tree,541.5
280000,445.46,1.447,1.013,13.2375,process_tree,6.26,process_tree,512.88
290000,470.145,1.465,0.918,14.0125,process_tree,6.5,process_tree,532.52
300000,494.645,1.577,1.018,15.2,process_tree,6.67,process_tree,546.14
310000,519.113,1.431,0.871,15.4,process_tree,6.99,process_tree,572.47
320000,542.865,1.551,1.015,14.325,process_tree,7.27,process_tree,595.36
330000,566.361,1.532,1.061,14.8,process_tree,7.41,process_tree,607.05
340000,591.06,1.545,1.035,16.0625,process_tree,7.71,process_tree,631.69
350000,613.741,1.462,0.905,12.85,process_tree,7.98,process_tree,653.56
360000,637.816,1.526,1.017,16.8,process_tree,8.21,process_tree,672.41
370000,661.035,1.507,1.004,15.2,process_tree,6.4,process_tree,524.67
380000,684.466,1.496,0.907,16.3375,process_tree,6.49,process_tree,531.42
390000,789.655,1.579,0.97,17.45,process_tree,4.74,process_tree,388.58
400000,813.323,2.064,1.329,14.05,process_tree,6.32,process_tree,517.5
410000,836.626,2.099,1.507,16.2625,process_tree,4.54,process_tree,371.72
420000,862.365,2.135,1.508,10.85,process_tree,6.3,process_tree,515.91
430000,890.42,2.178,1.475,11.55,process_tree,5.11,process_tree,418.72
440000,917.335,2.158,1.557,11.3875,process_tree,5.36,process_tree,439.5
450000,933.886,2.126,1.456,22.425,process_tree,3.95,process_tree,323.39
460000,945.752,2.179,1.584,20.5125,process_tree,3.05,process_tree,249.66
470000,965.554,2.024,1.463,18.65,process_tree,5.8,process_tree,474.88
480000,982.845,2.149,1.51,19.8375,process_tree,3.03,process_tree,248.48
490000,998.932,2.081,1.478,21.587500000000002,process_tree,3.37,process_tree,276.38
500000,1015.665,2.224,1.564,18.4875,process_tree,7.35,process_tree,601.89
