step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,59.7,system,
10000,4.848,1.101,0.688,6.63,process_tree,3.91,process_tree,641.05
20000,8.433,1.179,0.722,17.46,process_tree,3.93,process_tree,644.5
30000,12.046,1.435,0.867,17.43,process_tree,3.94,process_tree,645.19
40000,15.6,1.703,0.983,17.53,process_tree,3.94,process_tree,646.33
50000,18.894,2.045,1.291,8.86,process_tree,3.95,process_tree,646.39
60000,22.382,2.47,1.583,14.34,process_tree,3.95,process_tree,647.92
70000,25.871,2.762,1.846,17.5,process_tree,3.96,process_tree,648.16
80000,29.346,3.149,2.17,18.46,process_tree,3.96,process_tree,648.22
90000,32.607,3.12,1.888,21.880000000000003,process_tree,3.96,process_tree,648.33
100000,36.093,3.816,2.74,6.8199999999999985,process_tree,3.96,process_tree,648.48
110000,39.544,3.678,2.866,16.4,process_tree,3.96,process_tree,648.59
120000,42.976,4.36,3.604,19.48,process_tree,3.96,process_tree,648.97
130000,46.484,4.602,3.751,18.09,process_tree,3.96,process_tree,649.14
140000,49.721,5.183,4.145,13.26,process_tree,3.96,process_tree,649.14
150000,53.067,4.864,4.0,18.020000000000003,process_tree,3.96,process_tree,649.22
160000,56.501,6.098,5.521,17.740000000000002,process_tree,3.97,process_tree,650.33
170000,59.971,7.108,7.396,18.119999999999997,process_tree,3.98,process_tree,652.33
180000,63.239,7.621,7.545,17.6,process_tree,3.98,process_tree,652.52
190000,66.522,9.743,11.799,17.0,process_tree,3.98,process_tree,652.7
200000,69.921,10.244,8.773,18.28,process_tree,3.99,process_tree,653.22
210000,73.24,13.08,13.215,22.67,process_tree,3.99,process_tree,653.69
220000,76.406,17.009,20.756,18.28,process_tree,3.99,process_tree,653.7
230000,80.016,13.683,17.156,17.910000000000004,process_tree,3.99,process_tree,653.8
240000,83.537,19.24,22.076,19.07,process_tree,3.99,process_tree,653.89
250000,86.623,26.481,23.793,21.55,process_tree,4.0,process_tree,654.55
260000,89.776,40.605,39.082,12.290000000000001,process_tree,4.0,process_tree,654.62
270000,93.071,60.047,37.087,19.28,process_tree,4.0,process_tree,654.64
280000,96.212,74.073,37.479,23.369999999999997,process_tree,4.0,process_tree,654.77
290000,99.659,46.629,39.65,10.52,process_tree,4.0,process_tree,654.86
300000,102.822,72.58,36.314,17.77,process_tree,4.0,process_tree,654.88
310000,106.323,67.4,43.974,17.919999999999998,process_tree,4.0,process_tree,654.86
320000,109.382,90.382,21.969,5.49,process_tree,4.0,process_tree,654.89
330000,112.824,91.4,24.324,18.03,process_tree,4.0,process_tree,655.09
340000,116.119,100.0,0.0,17.36,process_tree,4.0,process_tree,655.22
350000,119.269,100.0,0.0,9.87,process_tree,4.0,process_tree,655.23
360000,122.731,90.25,27.461,16.53,process_tree,4.01,process_tree,657.25
370000,126.08,92.385,26.38,16.509999999999998,process_tree,4.01,process_tree,657.31
380000,129.17,92.79,21.63,6.27,process_tree,4.01,process_tree,657.34
390000,132.475,75.54,37.613,18.43,process_tree,4.01,process_tree,657.36
400000,135.847,81.936,38.319,17.28,process_tree,4.01,process_tree,657.44
410000,139.121,100.0,0.0,13.75,process_tree,4.01,process_tree,657.44
420000,142.428,87.477,29.968,15.929999999999998,process_tree,4.01,process_tree,657.44
430000,145.73,88.042,29.009,18.93,process_tree,4.01,process_tree,657.53
440000,148.922,100.0,0.0,11.4,process_tree,4.01,process_tree,657.56
450000,152.241,100.0,0.0,18.68,process_tree,4.01,process_tree,657.58
460000,155.597,100.0,0.0,18.380000000000003,process_tree,4.01,process_tree,657.59
470000,158.772,100.0,0.0,11.49,process_tree,4.01,process_tree,657.59
480000,162.136,100.0,0.0,16.09,process_tree,4.01,process_tree,657.59
