step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,66.2,system,
10000,7.659,1.145,0.673,20.580000000000002,process_tree,3.95,process_tree,647.91
20000,13.352,1.579,1.005,16.46,process_tree,3.97,process_tree,651.08
30000,18.701,2.92,2.2,18.11,process_tree,3.98,process_tree,651.89
40000,23.821,6.982,6.463,18.589999999999996,process_tree,3.98,process_tree,652.02
50000,28.867,26.467,23.386,17.03,process_tree,3.98,process_tree,652.36
60000,33.968,42.894,28.737,15.91,process_tree,3.99,process_tree,652.92
70000,39.021,80.106,31.441,16.580000000000002,process_tree,3.99,process_tree,653.12
80000,44.109,36.35,22.029,17.63,process_tree,3.99,process_tree,653.31
90000,49.087,87.377,26.214,21.85,process_tree,3.99,process_tree,653.73
100000,54.189,47.07,33.073,17.07,process_tree,3.99,process_tree,653.91
110000,59.34,28.81,16.771,18.869999999999997,process_tree,3.99,process_tree,653.92
120000,64.377,79.32,39.089,18.05,process_tree,3.99,process_tree,653.95
130000,69.474,75.6,42.27,17.25,process_tree,3.99,process_tree,654.39
140000,74.479,90.6,14.119,17.080000000000002,process_tree,3.99,process_tree,654.42
150000,79.525,95.464,9.711,17.48,process_tree,3.99,process_tree,654.48
160000,84.656,80.333,16.903,16.169999999999998,process_tree,3.99,process_tree,654.48
170000,89.682,91.75,27.362,17.0,process_tree,3.99,process_tree,654.48
180000,94.761,100.0,0.0,18.04,process_tree,3.99,process_tree,654.53
190000,99.87,87.638,32.708,17.330000000000002,process_tree,4.0,process_tree,654.75
200000,104.883,86.121,34.002,18.3,process_tree,4.0,process_tree,654.81
210000,109.801,100.0,0.0,15.760000000000002,process_tree,4.0,process_tree,654.88
220000,114.824,100.0,0.0,14.959999999999999,process_tree,4.0,process_tree,654.91
230000,119.982,67.093,46.538,15.059999999999999,process_tree,4.0,process_tree,655.02
240000,125.053,91.018,28.403,10.33,process_tree,4.0,process_tree,655.47
250000,130.03,73.209,43.75,9.4,process_tree,4.0,process_tree,655.47
260000,134.982,92.4,26.327,5.9399999999999995,process_tree,4.0,process_tree,655.47
270000,140.005,100.0,0.0,5.680000000000001,process_tree,4.0,process_tree,655.56
280000,145.041,91.767,27.307,7.1899999999999995,process_tree,4.0,process_tree,655.59
290000,150.167,91.036,28.346,7.3100000000000005,process_tree,4.0,process_tree,655.66
300000,155.157,100.0,0.0,10.200000000000001,process_tree,4.0,process_tree,656.02
310000,160.288,89.078,30.893,10.01,process_tree,4.0,process_tree,656.11
320000,165.966,92.946,24.435,16.919999999999998,process_tree,4.01,process_tree,656.56
330000,170.975,100.0,0.0,18.32,process_tree,4.01,process_tree,656.86
340000,175.946,84.7,35.882,16.9,process_tree,4.01,process_tree,657.03
350000,181.025,100.0,0.0,17.65,process_tree,4.01,process_tree,657.03
360000,186.082,100.0,0.0,17.73,process_tree,4.01,process_tree,657.03
370000,190.994,100.0,0.0,16.939999999999998,process_tree,4.01,process_tree,657.03
380000,196.229,100.0,0.0,16.8,process_tree,4.01,process_tree,657.06
390000,201.262,90.13,29.61,16.8,process_tree,4.01,process_tree,657.06
400000,206.194,100.0,0.0,17.35,process_tree,4.01,process_tree,657.08
410000,211.348,91.0,28.461,17.36,process_tree,4.01,process_tree,657.12
420000,216.229,90.01,29.97,16.39,process_tree,4.01,process_tree,657.12
430000,221.256,100.0,0.0,16.119999999999997,process_tree,4.01,process_tree,657.14
440000,226.356,92.392,26.354,22.419999999999998,process_tree,4.01,process_tree,657.16
450000,231.392,64.043,47.121,21.28,process_tree,4.01,process_tree,657.17
460000,238.56,91.8,27.196,21.44,process_tree,4.02,process_tree,658.81
470000,245.633,100.0,0.0,14.95,process_tree,4.02,process_tree,659.23
480000,250.712,100.0,0.0,16.85,process_tree,4.02,process_tree,659.25
490000,256.085,100.0,0.0,17.240000000000002,process_tree,4.02,process_tree,659.27
500000,261.195,92.538,25.848,19.32,process_tree,4.05,process_tree,663.91
510000,266.331,73.886,39.612,14.440000000000001,process_tree,4.06,process_tree,664.58
520000,271.375,76.436,40.116,16.0,process_tree,4.06,process_tree,665.02
530000,276.568,90.12,29.64,21.45,process_tree,4.06,process_tree,665.23
540000,282.237,74.38,40.498,12.370000000000001,process_tree,4.06,process_tree,665.3
550000,287.354,64.9,43.942,5.430000000000001,process_tree,4.06,process_tree,665.45
560000,292.388,69.3,45.539,4.33,process_tree,4.06,process_tree,665.48
570000,297.4,85.936,34.45,5.2700000000000005,process_tree,4.06,process_tree,665.56
580000,302.559,100.0,0.0,5.74,process_tree,4.06,process_tree,665.62
590000,307.709,75.518,34.73,5.040000000000001,process_tree,4.07,process_tree,666.02
600000,312.644,96.57,10.29,5.58,process_tree,4.06,process_tree,665.92
610000,317.51,100.0,0.0,6.889999999999999,process_tree,4.07,process_tree,666.03
620000,323.063,91.792,27.224,13.63,process_tree,4.07,process_tree,666.05
630000,328.178,100.0,0.0,21.43,process_tree,4.07,process_tree,666.3
640000,333.243,100.0,0.0,18.94,process_tree,4.07,process_tree,666.39
650000,338.377,100.0,0.0,14.969999999999999,process_tree,4.07,process_tree,666.39
660000,343.312,100.0,0.0,17.080000000000002,process_tree,4.07,process_tree,666.41
670000,348.467,100.0,0.0,17.36,process_tree,4.07,process_tree,666.44
