step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.7,system,
10000,6.996,1.213,0.752,19.03,process_tree,3.95,process_tree,646.38
20000,12.008,1.201,0.77,17.52,process_tree,4.1,process_tree,671.05
30000,17.022,1.19,0.792,20.18,process_tree,4.24,process_tree,695.11
40000,22.0,1.236,0.771,19.77,process_tree,4.38,process_tree,717.47
50000,26.833,1.138,0.691,15.75,process_tree,4.53,process_tree,742.66
60000,31.768,1.244,0.726,19.810000000000002,process_tree,4.68,process_tree,767.19
70000,36.863,1.268,0.784,20.5,process_tree,4.81,process_tree,788.42
80000,53.17,1.329,0.852,16.610000000000003,process_tree,4.85,process_tree,794.72
90000,57.99,1.274,0.756,19.4,process_tree,4.85,process_tree,794.83
100000,62.839,1.28,0.806,20.139999999999997,process_tree,4.85,process_tree,795.05
110000,67.513,1.389,0.869,19.580000000000002,process_tree,4.86,process_tree,796.31
120000,72.246,1.329,0.862,19.78,process_tree,4.86,process_tree,796.98
130000,77.091,1.296,0.794,18.0,process_tree,4.87,process_tree,797.53
140000,81.924,1.355,0.809,21.67,process_tree,4.88,process_tree,799.58
150000,98.176,1.847,1.226,19.830000000000002,process_tree,4.89,process_tree,801.23
160000,102.914,1.935,1.239,19.63,process_tree,4.89,process_tree,801.23
170000,107.611,1.911,1.34,20.18,process_tree,4.89,process_tree,801.25
180000,112.18,1.862,1.252,19.830000000000002,process_tree,4.89,process_tree,801.25
190000,116.876,1.94,1.307,19.73,process_tree,4.89,process_tree,801.25
200000,121.575,1.892,1.223,20.19,process_tree,4.9,process_tree,803.05
210000,126.263,1.857,1.216,18.729999999999997,process_tree,4.92,process_tree,805.41
220000,142.206,2.807,2.57,21.509999999999998,process_tree,4.88,process_tree,799.03
230000,146.889,3.431,3.004,19.11,process_tree,4.86,process_tree,796.55
240000,151.467,3.801,2.952,19.91,process_tree,4.86,process_tree,796.55
250000,155.911,3.732,2.793,20.06,process_tree,4.86,process_tree,796.95
260000,160.549,3.701,3.119,20.51,process_tree,4.87,process_tree,797.42
270000,165.208,3.607,3.078,20.5,process_tree,4.87,process_tree,798.31
280000,169.757,3.859,3.38,19.57,process_tree,4.93,process_tree,807.12
290000,187.487,5.794,5.665,20.53,process_tree,4.91,process_tree,803.75
300000,192.42,10.309,9.504,21.35,process_tree,4.89,process_tree,801.75
310000,197.149,15.328,16.181,20.19,process_tree,4.89,process_tree,801.77
320000,201.763,10.732,11.69,20.51,process_tree,4.89,process_tree,800.77
330000,206.2,12.837,12.285,19.87,process_tree,4.89,process_tree,800.78
340000,210.884,10.971,10.753,20.46,process_tree,4.89,process_tree,800.78
350000,215.214,10.334,11.431,20.0,process_tree,4.91,process_tree,803.72
360000,231.082,14.042,13.921,20.29,process_tree,4.9,process_tree,803.22
370000,235.495,58.788,38.476,20.59,process_tree,4.9,process_tree,803.23
380000,239.918,55.159,33.616,20.25,process_tree,4.89,process_tree,801.64
390000,244.273,51.29,33.609,20.35,process_tree,4.9,process_tree,802.14
400000,248.809,30.348,30.6,18.95,process_tree,4.89,process_tree,801.22
410000,253.199,58.495,39.944,20.54,process_tree,4.89,process_tree,801.3
420000,257.614,59.353,35.067,20.15,process_tree,4.91,process_tree,803.91
430000,273.927,50.071,37.107,20.5,process_tree,4.92,process_tree,805.92
440000,278.436,84.93,29.634,18.14,process_tree,4.92,process_tree,805.92
450000,282.881,95.95,9.934,19.96,process_tree,4.91,process_tree,804.92
460000,287.167,100.0,0.0,17.4,process_tree,4.91,process_tree,803.94
470000,291.727,85.4,30.7,20.96,process_tree,4.91,process_tree,804.0
480000,296.197,89.278,30.327,20.689999999999998,process_tree,4.91,process_tree,804.14
490000,300.481,100.0,0.0,19.53,process_tree,4.91,process_tree,804.88
500000,316.47,96.767,6.728,21.75,process_tree,4.96,process_tree,813.44
510000,321.063,92.192,25.897,20.48,process_tree,4.95,process_tree,810.44
520000,325.449,100.0,0.0,20.85,process_tree,4.94,process_tree,809.44
530000,329.706,93.0,21.0,20.54,process_tree,4.94,process_tree,809.44
540000,334.231,86.345,29.682,18.580000000000002,process_tree,4.94,process_tree,809.44
550000,338.599,93.845,19.462,20.98,process_tree,4.94,process_tree,809.88
560000,342.936,89.127,28.56,19.84,process_tree,4.95,process_tree,810.28
570000,358.769,96.85,9.45,20.39,process_tree,5.02,process_tree,821.92
580000,363.263,91.409,22.652,20.15,process_tree,5.02,process_tree,822.08
590000,367.667,91.018,28.403,14.74,process_tree,5.02,process_tree,822.12
600000,372.037,100.0,0.0,20.68,process_tree,5.02,process_tree,822.17
610000,376.555,94.782,16.501,19.5,process_tree,5.02,process_tree,822.19
620000,381.119,100.0,0.0,20.35,process_tree,5.02,process_tree,822.83
630000,385.269,100.0,0.0,20.11,process_tree,5.02,process_tree,823.19
640000,401.297,100.0,0.0,21.18,process_tree,4.97,process_tree,814.86
650000,405.804,98.345,5.232,19.839999999999996,process_tree,4.95,process_tree,810.89
660000,410.285,100.0,0.0,20.669999999999998,process_tree,4.95,process_tree,810.95
