step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,69.6,system,
10000,7.395,1.166,0.647,19.8125,process_tree,6.43,process_tree,526.58
20000,11.58,1.183,0.727,19.675,process_tree,6.77,process_tree,554.81
30000,15.757,1.221,0.708,19.2875,process_tree,7.11,process_tree,582.41
40000,19.927,1.252,0.712,20.1625,process_tree,7.36,process_tree,603.3
50000,24.099,1.221,0.77,19.8125,process_tree,7.65,process_tree,626.72
60000,28.202,1.246,0.732,19.85,process_tree,7.93,process_tree,649.25
70000,32.438,1.168,0.682,18.775,process_tree,8.2,process_tree,671.45
80000,50.514,1.34,0.802,19.5625,process_tree,8.14,process_tree,666.72
90000,54.686,1.298,0.788,19.825,process_tree,8.12,process_tree,665.17
100000,58.814,1.337,0.762,19.9125,process_tree,8.11,process_tree,664.27
110000,62.937,1.396,0.878,20.275,process_tree,8.13,process_tree,666.14
120000,67.121,1.423,0.84,19.475,process_tree,8.09,process_tree,662.7
130000,71.193,1.386,0.783,19.675,process_tree,8.11,process_tree,664.3
140000,75.404,1.339,0.816,19.5625,process_tree,8.18,process_tree,670.27
150000,93.453,1.784,1.242,19.775,process_tree,8.12,process_tree,664.78
160000,97.538,1.832,1.264,19.9,process_tree,8.12,process_tree,664.78
170000,101.551,1.904,1.23,19.6375,process_tree,8.1,process_tree,663.86
180000,105.623,1.784,1.16,20.325000000000003,process_tree,8.11,process_tree,664.77
190000,109.708,2.0,1.347,19.875,process_tree,8.13,process_tree,665.7
200000,113.751,1.945,1.297,20.299999999999997,process_tree,8.13,process_tree,665.81
210000,117.841,1.875,1.285,19.9625,process_tree,8.27,process_tree,677.33
220000,136.255,3.058,2.772,19.9875,process_tree,7.23,process_tree,592.36
230000,140.199,3.809,3.597,16.5875,process_tree,7.47,process_tree,612.09
240000,144.231,4.099,3.397,20.025,process_tree,7.47,process_tree,611.97
250000,148.086,4.263,3.277,20.05,process_tree,7.48,process_tree,612.75
260000,152.129,3.873,3.406,19.5625,process_tree,7.53,process_tree,616.73
270000,156.147,4.059,3.264,19.7375,process_tree,7.5,process_tree,614.59
280000,159.985,4.151,3.551,19.85,process_tree,7.66,process_tree,627.38
290000,177.848,5.501,5.277,20.0625,process_tree,7.6,process_tree,622.48
300000,181.719,9.261,11.031,19.85,process_tree,7.54,process_tree,617.48
310000,185.504,16.108,12.39,24.35,process_tree,7.53,process_tree,616.56
320000,189.364,10.17,10.761,20.2625,process_tree,7.53,process_tree,616.56
330000,193.234,10.851,8.949,19.9375,process_tree,7.56,process_tree,618.98
340000,197.107,11.006,13.389,20.0875,process_tree,7.56,process_tree,618.98
350000,200.944,10.88,11.289,20.125,process_tree,7.68,process_tree,629.25
360000,218.716,13.882,12.79,20.6875,process_tree,7.62,process_tree,624.28
370000,222.51,54.8,41.16,20.35,process_tree,7.62,process_tree,624.52
380000,226.294,65.5,38.244,19.9375,process_tree,7.62,process_tree,624.52
390000,230.079,44.343,34.462,20.95,process_tree,7.62,process_tree,624.52
400000,233.84,42.764,35.902,20.5375,process_tree,7.62,process_tree,624.52
410000,237.633,49.425,35.228,20.45,process_tree,7.62,process_tree,624.58
420000,241.448,55.31,38.263,20.8375,process_tree,7.7,process_tree,630.69
430000,259.253,54.567,36.706,20.5125,process_tree,7.7,process_tree,630.61
440000,262.981,96.1,12.333,15.987499999999999,process_tree,7.69,process_tree,629.7
450000,266.752,84.327,27.533,21.599999999999998,process_tree,7.59,process_tree,621.64
460000,270.634,93.309,14.353,20.5375,process_tree,7.59,process_tree,621.88
470000,274.411,94.545,13.885,20.3875,process_tree,7.59,process_tree,622.0
480000,278.118,87.82,29.856,27.3375,process_tree,7.62,process_tree,624.02
490000,281.927,86.175,25.306,20.025,process_tree,7.66,process_tree,627.52
500000,299.62,95.818,13.224,17.1625,process_tree,7.05,process_tree,577.89
