step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,68.0,system,
10000,7.292,1.05,0.695,16.84,process_tree,3.91,process_tree,640.89
20000,12.259,1.342,0.815,14.339999999999998,process_tree,3.93,process_tree,643.62
30000,16.89,1.625,0.914,18.04,process_tree,3.93,process_tree,643.75
40000,21.66,2.157,1.315,16.669999999999998,process_tree,3.93,process_tree,644.22
50000,26.245,3.165,2.353,13.95,process_tree,3.93,process_tree,644.58
60000,31.047,4.167,3.669,16.91,process_tree,3.94,process_tree,645.41
70000,35.534,5.736,5.539,16.009999999999998,process_tree,3.94,process_tree,646.27
80000,40.398,10.158,8.871,15.330000000000002,process_tree,3.95,process_tree,647.23
90000,44.71,17.472,17.507,17.18,process_tree,3.96,process_tree,648.02
100000,49.27,20.624,19.45,12.86,process_tree,3.96,process_tree,648.89
110000,53.899,88.942,27.713,22.4,process_tree,3.96,process_tree,649.11
120000,58.464,64.319,41.13,10.059999999999999,process_tree,3.96,process_tree,649.23
130000,62.654,72.2,39.786,21.68,process_tree,3.97,process_tree,649.94
140000,67.375,75.7,38.64,15.98,process_tree,3.97,process_tree,650.03
150000,71.831,92.113,20.868,11.0,process_tree,3.97,process_tree,650.08
160000,76.288,75.25,42.869,17.189999999999998,process_tree,3.97,process_tree,650.22
170000,80.574,100.0,0.0,18.06,process_tree,3.97,process_tree,650.27
180000,85.175,100.0,0.0,20.03,process_tree,3.97,process_tree,650.34
190000,91.016,100.0,0.0,18.64,process_tree,3.97,process_tree,650.98
200000,98.034,100.0,0.0,17.27,process_tree,3.98,process_tree,651.33
210000,102.51,100.0,0.0,8.91,process_tree,3.98,process_tree,651.38
