step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,65.9,system,
10000,6.796,1.185,0.652,12.620000000000001,process_tree,3.89,process_tree,637.22
20000,12.078,1.221,0.741,18.97,process_tree,3.91,process_tree,640.84
30000,17.308,1.315,0.79,22.55,process_tree,3.91,process_tree,641.03
40000,22.559,1.516,0.93,17.9,process_tree,3.91,process_tree,641.09
50000,27.763,1.55,0.876,20.669999999999998,process_tree,3.92,process_tree,641.44
60000,32.938,1.717,0.981,22.52,process_tree,3.92,process_tree,641.48
70000,37.996,1.937,1.065,16.25,process_tree,3.92,process_tree,641.53
80000,43.223,2.115,1.252,16.669999999999998,process_tree,3.92,process_tree,641.67
90000,48.263,2.311,1.479,12.75,process_tree,3.92,process_tree,641.69
100000,53.291,2.53,1.525,17.27,process_tree,3.92,process_tree,641.7
110000,58.365,2.8,1.822,15.14,process_tree,3.92,process_tree,641.81
120000,63.454,2.938,1.861,12.02,process_tree,3.92,process_tree,641.88
130000,68.385,3.097,1.928,16.419999999999998,process_tree,3.92,process_tree,641.95
140000,73.521,2.998,2.052,15.55,process_tree,3.92,process_tree,641.97
150000,78.571,3.653,2.301,16.25,process_tree,3.92,process_tree,641.98
160000,83.517,3.609,2.581,15.789999999999997,process_tree,3.92,process_tree,642.16
170000,88.608,3.659,3.02,16.169999999999998,process_tree,3.92,process_tree,642.2
180000,93.662,3.693,2.731,15.01,process_tree,3.92,process_tree,642.2
190000,98.622,3.539,2.559,16.660000000000004,process_tree,3.92,process_tree,642.22
200000,103.64,4.08,3.49,16.580000000000002,process_tree,3.92,process_tree,642.3
210000,108.727,3.895,3.162,15.84,process_tree,3.92,process_tree,642.33
220000,114.374,4.556,3.941,16.389999999999997,process_tree,3.92,process_tree,642.38
230000,119.329,4.297,3.532,16.41,process_tree,3.92,process_tree,642.38
240000,124.321,4.207,3.458,15.309999999999999,process_tree,3.92,process_tree,642.38
250000,129.342,4.29,3.667,12.09,process_tree,3.92,process_tree,642.38
260000,134.254,4.018,3.802,19.07,process_tree,3.92,process_tree,642.38
270000,139.297,4.856,4.456,16.19,process_tree,3.92,process_tree,642.39
280000,144.224,4.088,3.526,16.65,process_tree,3.92,process_tree,642.39
290000,149.291,3.984,3.579,16.94,process_tree,3.92,process_tree,642.42
300000,154.314,4.842,4.627,13.16,process_tree,3.92,process_tree,642.42
310000,159.36,4.68,3.975,14.95,process_tree,3.92,process_tree,642.42
320000,164.271,4.132,3.469,14.77,process_tree,3.92,process_tree,642.42
330000,169.387,5.004,3.882,14.35,process_tree,3.92,process_tree,642.45
340000,174.291,4.429,4.117,16.95,process_tree,3.92,process_tree,642.45
350000,179.366,4.917,3.683,13.679999999999998,process_tree,3.92,process_tree,642.45
360000,184.351,4.593,3.665,12.67,process_tree,3.92,process_tree,642.45
370000,189.424,6.344,5.14,16.919999999999998,process_tree,3.92,process_tree,642.45
380000,194.37,6.755,5.702,14.830000000000002,process_tree,3.92,process_tree,642.45
390000,199.29,6.471,6.856,16.630000000000003,process_tree,3.92,process_tree,642.47
400000,204.207,6.458,4.81,12.9,process_tree,3.92,process_tree,642.47
410000,210.057,7.874,7.31,10.559999999999999,process_tree,3.92,process_tree,642.55
420000,218.248,10.715,11.137,13.3,process_tree,3.92,process_tree,642.67
430000,223.417,7.062,7.138,12.610000000000001,process_tree,3.92,process_tree,642.67
440000,228.693,6.532,7.292,17.16,process_tree,3.92,process_tree,642.69
450000,233.889,7.816,5.996,15.030000000000001,process_tree,3.92,process_tree,642.69
460000,238.843,7.154,6.686,16.97,process_tree,3.92,process_tree,642.7
470000,243.858,7.685,6.818,14.3,process_tree,3.92,process_tree,642.7
480000,248.879,6.462,6.039,13.180000000000001,process_tree,3.92,process_tree,642.7
490000,253.83,8.31,7.725,17.2,process_tree,3.92,process_tree,642.75
500000,258.808,7.721,7.502,17.259999999999998,process_tree,3.96,process_tree,648.0
510000,263.842,7.634,6.809,17.14,process_tree,3.96,process_tree,648.3
520000,268.914,7.411,6.532,13.809999999999999,process_tree,3.96,process_tree,648.38
530000,273.778,6.902,5.964,18.47,process_tree,3.96,process_tree,648.39
540000,278.602,6.678,5.942,18.51,process_tree,3.96,process_tree,648.42
550000,283.717,7.877,7.897,18.1,process_tree,3.96,process_tree,648.5
560000,288.678,7.548,6.298,16.65,process_tree,3.96,process_tree,648.55
570000,293.613,7.032,6.292,16.06,process_tree,3.96,process_tree,648.56
580000,298.689,7.7,6.579,15.05,process_tree,3.96,process_tree,648.58
590000,303.581,8.029,7.468,13.84,process_tree,3.96,process_tree,648.59
600000,308.561,10.183,9.147,17.83,process_tree,3.96,process_tree,648.61
610000,313.656,9.309,9.185,14.99,process_tree,3.96,process_tree,648.61
620000,318.496,11.35,10.492,17.02,process_tree,3.96,process_tree,648.64
630000,323.445,12.691,14.794,15.920000000000002,process_tree,3.96,process_tree,648.67
640000,328.423,13.715,14.544,14.540000000000001,process_tree,3.96,process_tree,648.67
650000,333.407,16.191,17.745,14.280000000000001,process_tree,3.96,process_tree,648.67
660000,338.249,12.267,12.464,15.039999999999997,process_tree,3.96,process_tree,648.69
670000,343.129,16.415,20.158,17.53,process_tree,3.96,process_tree,648.72
680000,348.035,15.374,20.497,18.29,process_tree,3.96,process_tree,648.72
690000,353.024,19.696,16.303,15.410000000000002,process_tree,3.96,process_tree,648.72
700000,357.9,20.098,23.894,15.65,process_tree,3.96,process_tree,648.72
710000,362.864,15.802,14.892,17.57,process_tree,3.96,process_tree,648.81
720000,367.82,20.463,21.364,15.76,process_tree,3.96,process_tree,648.83
730000,372.795,10.519,13.456,10.190000000000001,process_tree,3.96,process_tree,648.83
740000,377.835,12.473,15.022,15.02,process_tree,3.96,process_tree,648.83
750000,382.765,21.634,22.019,15.5,process_tree,3.96,process_tree,648.84
760000,387.668,44.081,39.658,13.99,process_tree,3.96,process_tree,648.86
770000,392.636,23.204,25.897,14.02,process_tree,3.96,process_tree,648.92
780000,397.512,25.225,27.416,17.81,process_tree,3.96,process_tree,648.92
790000,402.48,19.969,23.199,16.79,process_tree,3.96,process_tree,648.97
800000,407.309,14.455,14.395,10.9,process_tree,3.96,process_tree,648.98
810000,412.237,17.537,13.523,20.11,process_tree,3.96,process_tree,648.98
820000,417.101,30.826,24.507,15.310000000000002,process_tree,3.96,process_tree,648.98
830000,422.122,26.138,27.844,14.819999999999999,process_tree,3.96,process_tree,649.0
840000,427.012,26.848,28.475,13.65,process_tree,3.96,process_tree,649.02
850000,431.971,19.776,25.081,15.73,process_tree,3.96,process_tree,649.02
860000,436.991,33.293,32.551,16.939999999999998,process_tree,3.96,process_tree,649.02
870000,441.834,32.877,35.173,13.37,process_tree,3.96,process_tree,649.02
880000,446.698,22.037,25.832,17.08,process_tree,3.96,process_tree,649.02
890000,451.746,20.887,12.79,12.75,process_tree,3.96,process_tree,649.02
900000,456.692,25.068,24.186,16.03,process_tree,3.96,process_tree,649.02
910000,461.652,19.11,17.627,14.910000000000002,process_tree,3.96,process_tree,649.02
920000,466.57,30.119,25.862,15.779999999999998,process_tree,3.96,process_tree,649.02
930000,471.468,22.202,20.953,12.41,process_tree,3.96,process_tree,649.02
940000,476.273,18.957,17.888,13.61,process_tree,3.96,process_tree,649.02
950000,481.223,18.145,17.39,12.23,process_tree,3.96,process_tree,649.02
960000,486.204,13.7,13.165,16.47,process_tree,3.96,process_tree,649.02
970000,491.184,11.848,6.368,14.209999999999999,process_tree,3.96,process_tree,649.02
980000,496.13,14.193,9.824,12.42,process_tree,3.96,process_tree,649.02
990000,501.138,10.752,8.459,16.130000000000003,process_tree,3.96,process_tree,649.02
1000000,505.978,11.785,7.642,16.509999999999998,process_tree,3.96,process_tree,649.02
1010000,511.094,18.518,12.988,11.64,process_tree,3.96,process_tree,649.02
1020000,515.982,26.541,20.566,15.209999999999999,process_tree,3.96,process_tree,649.02
