step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.2,system,
10000,7.386,0.906,0.542,17.810000000000002,process_tree,3.94,process_tree,646.12
20000,13.689,0.937,0.628,16.02,process_tree,4.08,process_tree,667.94
30000,19.118,0.946,0.556,20.02,process_tree,4.22,process_tree,691.75
40000,24.386,0.896,0.57,20.57,process_tree,4.36,process_tree,715.09
50000,29.398,0.935,0.613,18.7,process_tree,4.53,process_tree,741.61
60000,34.478,0.889,0.628,19.52,process_tree,4.66,process_tree,763.3
70000,39.515,0.921,0.596,19.589999999999996,process_tree,4.78,process_tree,783.62
80000,44.466,0.919,0.619,20.16,process_tree,4.96,process_tree,813.33
90000,49.269,0.921,0.593,15.940000000000001,process_tree,5.1,process_tree,835.52
100000,54.184,0.923,0.584,19.7,process_tree,5.21,process_tree,854.19
110000,58.99,0.95,0.613,20.410000000000004,process_tree,5.35,process_tree,876.78
120000,63.925,0.838,0.53,17.97,process_tree,5.49,process_tree,899.05
130000,68.844,0.94,0.647,20.29,process_tree,5.64,process_tree,924.66
140000,73.554,0.833,0.486,19.53,process_tree,5.76,process_tree,943.61
150000,78.411,0.969,0.661,20.439999999999998,process_tree,5.87,process_tree,962.33
160000,83.268,0.918,0.596,18.07,process_tree,5.99,process_tree,980.86
170000,88.287,0.891,0.6,20.139999999999997,process_tree,6.15,process_tree,1006.98
180000,92.992,0.953,0.603,18.96,process_tree,6.26,process_tree,1025.61
190000,97.755,0.961,0.621,19.43,process_tree,6.48,process_tree,1061.67
200000,127.802,0.952,0.622,19.84,process_tree,5.66,process_tree,927.84
210000,132.685,1.066,0.716,20.369999999999997,process_tree,5.56,process_tree,910.28
220000,137.53,1.011,0.642,17.48,process_tree,5.53,process_tree,905.34
230000,142.24,1.033,0.662,19.43,process_tree,5.52,process_tree,904.62
240000,147.105,1.092,0.68,17.95,process_tree,5.52,process_tree,904.0
250000,152.042,1.045,0.682,19.55,process_tree,5.52,process_tree,904.28
260000,156.875,1.088,0.687,19.410000000000004,process_tree,5.52,process_tree,904.7
270000,161.755,1.053,0.628,16.380000000000003,process_tree,5.52,process_tree,904.73
280000,166.506,1.073,0.661,19.73,process_tree,5.52,process_tree,904.73
290000,171.495,0.98,0.593,20.25,process_tree,5.54,process_tree,907.55
300000,176.36,1.054,0.662,20.089999999999996,process_tree,5.64,process_tree,923.31
310000,181.122,1.019,0.683,20.23,process_tree,5.73,process_tree,938.56
320000,185.923,1.049,0.664,19.089999999999996,process_tree,5.82,process_tree,953.86
330000,190.747,1.041,0.682,19.119999999999997,process_tree,5.92,process_tree,970.62
340000,195.582,1.061,0.723,19.910000000000004,process_tree,6.03,process_tree,988.19
350000,200.341,1.045,0.629,19.49,process_tree,6.14,process_tree,1006.34
360000,205.222,1.019,0.614,18.979999999999997,process_tree,6.31,process_tree,1034.39
370000,209.975,1.005,0.645,18.619999999999997,process_tree,6.43,process_tree,1053.25
380000,214.838,1.055,0.68,20.1,process_tree,6.59,process_tree,1080.34
390000,219.601,1.084,0.652,19.6,process_tree,6.71,process_tree,1098.91
400000,249.619,1.073,0.66,20.35,process_tree,5.97,process_tree,978.05
410000,254.362,1.451,0.942,20.189999999999998,process_tree,5.87,process_tree,961.78
420000,259.035,1.463,0.934,17.76,process_tree,5.86,process_tree,959.78
430000,263.622,1.445,1.022,18.98,process_tree,5.86,process_tree,959.78
440000,268.309,1.415,0.926,18.16,process_tree,5.86,process_tree,960.12
450000,273.201,1.367,0.877,20.110000000000003,process_tree,5.84,process_tree,957.45
460000,277.846,1.522,0.951,19.85,process_tree,5.84,process_tree,957.5
470000,282.486,1.398,0.939,19.34,process_tree,5.84,process_tree,956.5
480000,287.703,1.365,0.878,19.860000000000003,process_tree,5.84,process_tree,956.5
490000,292.542,1.364,0.828,20.07,process_tree,5.83,process_tree,955.5
500000,297.268,1.309,0.854,20.27,process_tree,5.85,process_tree,958.62
510000,301.97,1.382,0.935,21.6,process_tree,5.93,process_tree,971.91
520000,306.764,1.321,0.756,20.55,process_tree,6.03,process_tree,987.14
530000,311.516,1.361,0.809,19.41,process_tree,6.12,process_tree,1002.34
540000,316.434,1.288,0.815,19.75,process_tree,6.22,process_tree,1018.89
550000,321.023,1.362,0.906,19.93,process_tree,6.33,process_tree,1036.75
560000,325.773,1.467,0.91,19.99,process_tree,6.44,process_tree,1054.97
570000,331.312,1.45,1.007,18.52,process_tree,6.55,process_tree,1072.89
580000,337.304,1.462,0.994,19.86,process_tree,6.66,process_tree,1091.02
590000,342.065,1.401,0.918,15.929999999999998,process_tree,6.77,process_tree,1109.05
600000,372.783,1.407,0.948,20.22,process_tree,6.17,process_tree,1010.19
610000,377.468,2.072,1.472,20.240000000000002,process_tree,6.05,process_tree,991.55
620000,382.044,2.107,1.469,17.41,process_tree,6.03,process_tree,987.55
630000,386.696,2.079,1.416,19.869999999999997,process_tree,6.0,process_tree,982.55
640000,391.449,2.157,1.433,20.16,process_tree,5.98,process_tree,980.55
650000,396.117,2.012,1.393,18.470000000000002,process_tree,5.98,process_tree,980.56
660000,400.801,2.084,1.488,19.419999999999998,process_tree,5.98,process_tree,979.8
670000,405.334,2.243,1.38,21.13,process_tree,5.98,process_tree,980.25
