step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,62.6,system,
10000,4.992,1.069,0.642,10.169999999999998,process_tree,3.89,process_tree,638.02
20000,8.525,1.26,0.8,18.05,process_tree,3.91,process_tree,640.45
30000,12.143,1.591,1.022,17.939999999999998,process_tree,3.91,process_tree,640.89
40000,15.585,1.822,1.2,14.330000000000002,process_tree,3.91,process_tree,641.17
50000,19.013,2.314,1.495,17.14,process_tree,3.91,process_tree,641.28
60000,22.516,2.839,1.992,17.65,process_tree,3.92,process_tree,641.61
70000,25.806,3.381,2.498,14.309999999999999,process_tree,3.92,process_tree,642.14
80000,29.157,4.27,3.572,18.189999999999998,process_tree,3.92,process_tree,642.27
90000,32.608,5.131,4.462,16.389999999999997,process_tree,3.92,process_tree,642.44
100000,35.824,6.473,5.399,19.64,process_tree,3.92,process_tree,642.8
110000,39.265,8.017,7.341,10.379999999999999,process_tree,3.92,process_tree,642.81
120000,42.606,11.33,10.594,18.21,process_tree,3.93,process_tree,643.28
130000,45.826,10.327,10.804,12.32,process_tree,3.93,process_tree,643.28
140000,49.083,28.804,23.153,18.330000000000002,process_tree,3.93,process_tree,643.56
150000,52.557,19.506,17.268,18.25,process_tree,3.93,process_tree,643.52
160000,55.688,16.967,16.179,13.35,process_tree,3.93,process_tree,643.53
170000,58.987,15.906,11.081,18.259999999999998,process_tree,3.93,process_tree,643.56
180000,62.098,34.386,22.099,22.74,process_tree,3.93,process_tree,644.64
190000,65.501,35.283,34.501,10.51,process_tree,3.94,process_tree,644.83
200000,68.743,49.733,24.406,18.43,process_tree,3.94,process_tree,645.05
210000,71.872,81.4,35.846,16.0,process_tree,3.94,process_tree,645.0
220000,75.133,100.0,0.0,16.740000000000002,process_tree,3.94,process_tree,645.0
230000,78.364,73.063,35.95,17.54,process_tree,3.94,process_tree,645.05
240000,81.535,48.506,37.915,9.78,process_tree,3.94,process_tree,645.05
250000,84.885,33.345,29.8,17.53,process_tree,3.94,process_tree,645.05
260000,88.194,31.619,29.044,22.1,process_tree,3.94,process_tree,645.19
270000,91.509,30.254,28.768,10.15,process_tree,3.94,process_tree,645.2
280000,94.829,26.219,16.226,16.52,process_tree,3.94,process_tree,645.11
290000,98.081,21.637,13.979,22.919999999999998,process_tree,3.94,process_tree,645.11
300000,101.371,21.917,14.189,16.79,process_tree,3.94,process_tree,645.16
310000,104.67,29.233,13.163,18.560000000000002,process_tree,3.94,process_tree,645.16
320000,107.832,50.2,32.088,12.459999999999999,process_tree,3.94,process_tree,645.16
330000,111.117,55.73,36.866,17.97,process_tree,3.94,process_tree,645.19
340000,114.465,33.573,21.487,18.869999999999997,process_tree,3.94,process_tree,645.14
350000,117.605,35.653,22.557,9.59,process_tree,3.94,process_tree,645.14
360000,120.845,26.797,11.259,16.4,process_tree,3.94,process_tree,645.22
370000,124.071,24.621,11.237,19.919999999999998,process_tree,3.94,process_tree,645.22
380000,127.321,22.591,11.865,15.469999999999999,process_tree,3.94,process_tree,645.22
390000,130.616,34.51,20.491,18.3,process_tree,3.94,process_tree,645.25
400000,133.777,28.168,16.336,12.37,process_tree,3.94,process_tree,645.28
410000,137.072,92.727,22.998,18.580000000000002,process_tree,3.94,process_tree,645.28
420000,140.371,85.033,28.113,17.9,process_tree,3.94,process_tree,645.28
430000,143.48,85.775,23.884,14.99,process_tree,3.94,process_tree,645.3
440000,146.844,100.0,0.0,18.55,process_tree,3.94,process_tree,645.3
450000,149.944,100.0,0.0,14.110000000000003,process_tree,3.94,process_tree,645.3
460000,153.208,69.7,44.95,17.16,process_tree,3.94,process_tree,645.31
