step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,71.6,system,
10000,6.416,1.158,0.743,19.5,process_tree,8.28,process_tree,678.22
20000,10.528,1.181,0.764,19.8625,process_tree,8.56,process_tree,700.86
30000,14.732,1.118,0.701,20.125,process_tree,8.81,process_tree,721.31
40000,18.809,1.142,0.742,19.2875,process_tree,9.13,process_tree,747.62
50000,22.971,1.147,0.695,19.95,process_tree,9.4,process_tree,770.45
60000,27.026,1.208,0.762,19.5625,process_tree,9.69,process_tree,794.02
70000,31.208,1.142,0.704,19.325,process_tree,9.67,process_tree,792.16
80000,46.915,1.213,0.738,19.2625,process_tree,9.61,process_tree,786.86
90000,51.045,1.261,0.766,19.65,process_tree,9.56,process_tree,783.25
100000,55.107,1.183,0.703,20.0625,process_tree,9.6,process_tree,786.12
110000,59.215,1.213,0.753,19.85,process_tree,9.61,process_tree,787.42
120000,63.354,1.189,0.708,20.625,process_tree,9.61,process_tree,787.66
130000,67.463,1.262,0.789,19.9625,process_tree,9.64,process_tree,789.38
140000,71.577,1.284,0.813,19.8875,process_tree,9.84,process_tree,806.14
150000,87.268,1.526,0.954,19.8,process_tree,9.71,process_tree,795.55
160000,91.244,1.749,1.138,20.925,process_tree,9.7,process_tree,794.56
170000,95.361,1.608,1.065,19.9875,process_tree,9.7,process_tree,794.56
180000,99.424,1.602,1.026,19.85,process_tree,9.69,process_tree,793.69
190000,103.496,1.629,1.072,19.7125,process_tree,9.69,process_tree,793.72
200000,107.549,1.595,1.034,20.9,process_tree,8.69,process_tree,712.0
210000,111.707,1.611,0.994,19.3875,process_tree,8.87,process_tree,726.39
220000,127.43,2.016,1.637,19.75,process_tree,8.62,process_tree,706.47
230000,131.321,2.437,1.918,20.1375,process_tree,8.61,process_tree,705.58
240000,135.294,2.802,2.28,19.425,process_tree,8.61,process_tree,705.58
250000,139.329,2.546,1.819,20.425,process_tree,8.63,process_tree,707.03
260000,143.293,2.627,1.837,19.725,process_tree,8.04,process_tree,658.86
270000,147.246,2.764,2.157,17.825,process_tree,7.99,process_tree,654.2
280000,151.306,2.475,1.813,20.1625,process_tree,8.05,process_tree,659.83
290000,166.979,3.051,2.399,20.3,process_tree,8.03,process_tree,657.83
300000,170.76,6.578,6.644,19.862499999999997,process_tree,8.0,process_tree,655.09
310000,174.622,5.287,5.027,20.25,process_tree,7.97,process_tree,653.11
320000,178.486,6.446,6.456,20.1375,process_tree,7.98,process_tree,653.34
330000,182.349,5.304,4.546,20.0125,process_tree,7.98,process_tree,653.39
340000,186.174,6.29,6.403,20.375,process_tree,8.0,process_tree,655.27
350000,190.067,6.466,6.599,17.9,process_tree,8.09,process_tree,662.75
360000,205.591,6.059,4.748,20.6,process_tree,8.14,process_tree,666.42
370000,209.368,22.169,17.835,20.475,process_tree,8.12,process_tree,664.86
380000,213.124,22.276,24.554,20.1875,process_tree,8.11,process_tree,664.09
390000,216.862,26.908,25.415,20.0875,process_tree,8.1,process_tree,663.22
400000,220.591,18.105,18.028,20.4875,process_tree,8.11,process_tree,664.69
410000,224.432,22.672,18.527,20.237499999999997,process_tree,8.16,process_tree,668.09
420000,228.101,24.105,26.438,14.8,process_tree,8.19,process_tree,671.22
430000,243.498,27.614,27.011,20.35,process_tree,8.27,process_tree,677.11
440000,247.264,74.862,40.313,17.0875,process_tree,8.23,process_tree,674.11
450000,251.174,82.245,31.023,20.525,process_tree,7.99,process_tree,654.25
460000,255.082,95.57,12.385,20.3,process_tree,7.99,process_tree,654.62
470000,258.859,79.973,33.574,20.325,process_tree,7.7,process_tree,630.88
480000,262.635,81.867,32.392,20.35,process_tree,7.73,process_tree,633.3
490000,266.366,75.044,35.328,20.4,process_tree,7.77,process_tree,636.92
500000,270.173,75.188,34.689,13.649999999999999,process_tree,7.07,process_tree,579.52
