step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.6,system,
10000,6.954,1.096,0.719,18.580000000000002,process_tree,3.96,process_tree,648.02
20000,11.944,1.096,0.686,17.94,process_tree,4.12,process_tree,674.28
30000,16.779,1.1,0.676,20.15,process_tree,4.24,process_tree,695.0
40000,21.542,1.126,0.676,19.77,process_tree,4.37,process_tree,716.53
50000,26.284,1.13,0.719,20.55,process_tree,4.52,process_tree,740.67
60000,31.089,1.085,0.687,20.05,process_tree,4.69,process_tree,767.95
70000,35.867,1.07,0.633,18.06,process_tree,4.82,process_tree,789.39
80000,40.642,1.094,0.641,19.5,process_tree,4.95,process_tree,810.31
90000,45.331,1.107,0.662,20.03,process_tree,5.07,process_tree,830.05
100000,50.221,1.055,0.64,19.869999999999997,process_tree,5.21,process_tree,853.84
110000,54.928,1.08,0.691,18.94,process_tree,5.33,process_tree,873.44
120000,59.563,1.068,0.6,19.44,process_tree,5.48,process_tree,897.11
130000,64.43,1.123,0.73,20.27,process_tree,5.59,process_tree,916.19
140000,69.105,1.064,0.649,20.55,process_tree,5.72,process_tree,936.83
150000,73.797,1.102,0.639,20.03,process_tree,5.89,process_tree,965.73
160000,78.627,1.086,0.62,20.23,process_tree,6.01,process_tree,984.72
170000,83.345,1.076,0.673,19.66,process_tree,6.14,process_tree,1006.2
180000,88.019,1.071,0.658,19.95,process_tree,6.25,process_tree,1024.58
190000,92.706,1.04,0.575,20.45,process_tree,6.45,process_tree,1056.14
200000,97.42,1.017,0.623,19.4,process_tree,6.56,process_tree,1075.17
210000,102.237,1.074,0.71,19.330000000000002,process_tree,6.68,process_tree,1094.19
220000,106.912,1.091,0.699,20.52,process_tree,6.84,process_tree,1121.16
230000,111.613,1.07,0.613,19.9,process_tree,6.96,process_tree,1139.88
240000,116.282,1.086,0.651,19.0,process_tree,7.1,process_tree,1163.91
250000,120.956,1.082,0.666,19.64,process_tree,7.22,process_tree,1182.58
