step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,64.3,system,
10000,6.33,1.174,0.685,16.990000000000002,process_tree,3.96,process_tree,649.38
20000,10.879,1.208,0.764,15.190000000000001,process_tree,3.98,process_tree,651.33
30000,15.3,1.424,0.911,21.110000000000003,process_tree,3.98,process_tree,651.89
40000,19.896,1.807,1.092,17.619999999999997,process_tree,3.98,process_tree,652.19
50000,24.459,2.229,1.298,15.940000000000001,process_tree,3.99,process_tree,653.81
60000,28.998,2.631,1.694,16.61,process_tree,3.99,process_tree,653.89
70000,33.404,3.532,2.647,14.180000000000001,process_tree,3.99,process_tree,654.17
80000,37.804,5.057,4.174,11.84,process_tree,4.0,process_tree,654.75
90000,42.057,7.252,6.614,7.68,process_tree,4.0,process_tree,655.33
100000,46.82,11.996,13.004,17.21,process_tree,4.01,process_tree,656.66
110000,51.189,33.705,29.475,19.05,process_tree,4.01,process_tree,657.45
120000,55.449,80.24,30.236,18.29,process_tree,4.02,process_tree,657.84
130000,59.664,90.091,15.703,15.029999999999998,process_tree,4.02,process_tree,658.05
140000,64.099,90.885,23.66,16.76,process_tree,4.02,process_tree,658.08
150000,68.06,87.923,29.475,16.939999999999998,process_tree,4.02,process_tree,658.11
160000,72.367,100.0,0.0,16.95,process_tree,4.02,process_tree,658.8
170000,76.57,93.66,19.02,17.64,process_tree,4.02,process_tree,659.0
180000,81.026,100.0,0.0,16.78,process_tree,4.02,process_tree,659.05
190000,85.212,100.0,0.0,17.59,process_tree,4.02,process_tree,659.06
200000,89.25,100.0,0.0,17.119999999999997,process_tree,4.02,process_tree,659.14
210000,93.759,91.7,27.528,16.26,process_tree,4.02,process_tree,659.19
220000,98.002,100.0,0.0,17.990000000000002,process_tree,4.02,process_tree,659.44
230000,102.265,100.0,0.0,16.81,process_tree,4.03,process_tree,659.62
240000,106.515,100.0,0.0,5.680000000000001,process_tree,4.03,process_tree,659.66
250000,110.758,100.0,0.0,14.459999999999999,process_tree,4.03,process_tree,659.7
260000,114.905,100.0,0.0,12.86,process_tree,4.03,process_tree,659.7
