step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.3,system,
10000,6.286,1.251,0.757,13.77,process_tree,3.96,process_tree,648.69
20000,11.356,1.702,1.045,13.290000000000001,process_tree,4.0,process_tree,656.05
30000,16.296,2.744,1.935,10.290000000000001,process_tree,4.01,process_tree,657.2
40000,21.124,5.402,4.093,8.28,process_tree,4.03,process_tree,660.17
50000,25.851,9.817,10.816,5.32,process_tree,4.03,process_tree,660.88
60000,30.627,17.109,16.939,5.180000000000001,process_tree,4.05,process_tree,662.81
70000,35.383,24.325,22.417,18.34,process_tree,4.06,process_tree,665.64
80000,39.886,25.148,23.578,17.77,process_tree,4.06,process_tree,665.83
90000,44.586,14.816,10.706,17.79,process_tree,4.06,process_tree,665.89
100000,49.424,16.115,8.501,15.830000000000002,process_tree,4.07,process_tree,666.12
110000,54.044,65.137,36.873,16.16,process_tree,4.07,process_tree,666.22
120000,58.906,59.787,43.015,19.36,process_tree,4.07,process_tree,666.28
130000,63.565,27.255,28.128,17.669999999999998,process_tree,4.08,process_tree,668.36
140000,68.174,16.802,12.349,19.0,process_tree,4.08,process_tree,668.39
150000,72.946,33.8,21.432,16.740000000000002,process_tree,4.08,process_tree,668.5
160000,77.68,49.7,34.869,15.540000000000001,process_tree,4.08,process_tree,668.62
170000,82.031,36.769,36.27,23.47,process_tree,4.08,process_tree,668.73
180000,86.849,37.9,38.011,14.5,process_tree,4.08,process_tree,668.88
190000,91.392,62.345,36.748,3.91,process_tree,4.09,process_tree,669.33
200000,95.989,29.185,26.795,15.879999999999999,process_tree,4.09,process_tree,669.48
210000,100.996,18.839,18.799,6.659999999999999,process_tree,4.09,process_tree,669.52
220000,105.438,18.96,17.728,17.169999999999998,process_tree,4.09,process_tree,669.53
230000,110.154,14.373,7.302,17.160000000000004,process_tree,4.09,process_tree,669.53
240000,114.885,15.251,5.842,16.02,process_tree,4.09,process_tree,669.56
250000,119.729,16.308,10.201,14.559999999999999,process_tree,4.09,process_tree,669.58
260000,124.876,36.294,24.304,18.7,process_tree,4.09,process_tree,669.59
270000,132.762,66.438,34.84,18.919999999999998,process_tree,4.1,process_tree,671.05
280000,137.792,79.561,27.258,12.88,process_tree,4.11,process_tree,673.23
290000,142.789,31.111,20.68,5.26,process_tree,4.11,process_tree,673.28
300000,147.772,88.973,18.359,12.35,process_tree,4.11,process_tree,673.47
310000,152.496,100.0,0.0,16.84,process_tree,4.11,process_tree,673.62
320000,157.081,79.827,36.483,22.27,process_tree,4.11,process_tree,673.77
330000,161.762,89.125,26.574,17.05,process_tree,4.11,process_tree,673.84
340000,166.367,91.33,26.01,18.889999999999997,process_tree,4.11,process_tree,673.89
350000,171.333,83.867,24.429,17.61,process_tree,4.11,process_tree,673.95
360000,175.952,33.417,33.57,17.939999999999998,process_tree,4.12,process_tree,674.52
370000,180.652,21.72,9.27,16.380000000000003,process_tree,4.12,process_tree,674.78
