step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,70.2,system,
10000,6.302,1.089,0.642,19.450000000000003,process_tree,8.28,process_tree,677.97
20000,10.366,1.091,0.694,19.3,process_tree,8.58,process_tree,703.2
30000,14.897,1.095,0.685,20.125,process_tree,6.99,process_tree,572.98
40000,19.008,1.082,0.646,19.0,process_tree,7.34,process_tree,601.09
50000,23.108,1.128,0.704,19.95,process_tree,7.66,process_tree,627.44
60000,27.262,1.07,0.613,19.5625,process_tree,7.9,process_tree,647.23
70000,31.393,1.153,0.746,17.375,process_tree,8.19,process_tree,670.88
80000,35.652,1.058,0.653,19.425,process_tree,8.36,process_tree,684.69
90000,39.896,1.119,0.636,19.825,process_tree,8.61,process_tree,705.33
100000,43.954,1.115,0.679,19.85,process_tree,8.88,process_tree,727.08
110000,48.04,1.132,0.668,19.65,process_tree,9.1,process_tree,745.73
120000,52.276,1.102,0.685,20.1,process_tree,9.34,process_tree,765.27
130000,56.36,1.16,0.688,19.95,process_tree,9.69,process_tree,794.08
140000,60.445,1.13,0.707,19.6,process_tree,9.93,process_tree,813.28
150000,64.505,1.146,0.683,19.675,process_tree,10.21,process_tree,836.53
160000,68.795,1.072,0.694,19.6,process_tree,10.41,process_tree,853.12
170000,72.887,1.063,0.642,19.55,process_tree,10.7,process_tree,876.62
180000,77.004,1.094,0.779,19.4625,process_tree,10.93,process_tree,895.36
190000,81.069,1.132,0.643,19.9,process_tree,10.7,process_tree,876.14
200000,85.331,1.106,0.684,20.0125,process_tree,10.75,process_tree,880.33
210000,89.388,1.072,0.659,20.85,process_tree,11.09,process_tree,908.19
220000,93.505,1.12,0.743,20.049999999999997,process_tree,11.28,process_tree,924.45
230000,97.584,1.111,0.685,19.575,process_tree,11.64,process_tree,953.89
240000,101.673,1.1,0.633,19.85,process_tree,11.88,process_tree,973.03
250000,105.722,1.096,0.635,19.8125,process_tree,11.95,process_tree,978.7
260000,110.461,1.128,0.713,19.5625,process_tree,12.31,process_tree,1008.39
270000,114.553,1.131,0.665,20.2375,process_tree,12.53,process_tree,1026.8
280000,118.639,1.104,0.718,19.4125,process_tree,12.75,process_tree,1044.48
290000,122.734,1.083,0.722,19.424999999999997,process_tree,12.7,process_tree,1040.27
300000,126.832,1.092,0.658,19.862499999999997,process_tree,12.51,process_tree,1024.56
310000,130.928,1.094,0.653,20.2625,process_tree,12.45,process_tree,1019.59
320000,135.911,1.098,0.697,20.075,process_tree,13.57,process_tree,1111.41
330000,193.51,1.116,0.766,19.725,process_tree,9.7,process_tree,794.38
340000,197.599,1.108,0.631,19.6125,process_tree,9.53,process_tree,780.86
350000,201.706,1.071,0.67,19.8125,process_tree,9.45,process_tree,774.05
360000,205.774,1.106,0.67,19.8375,process_tree,9.47,process_tree,775.88
370000,209.85,1.078,0.719,20.15,process_tree,9.53,process_tree,780.97
380000,213.933,1.187,0.776,19.5875,process_tree,9.56,process_tree,783.53
390000,217.994,1.113,0.639,19.8625,process_tree,9.6,process_tree,786.12
400000,222.169,1.163,0.678,20.05,process_tree,9.61,process_tree,787.22
410000,226.227,1.157,0.769,19.875,process_tree,9.67,process_tree,792.28
420000,230.408,1.095,0.719,17.675,process_tree,9.86,process_tree,807.98
430000,234.69,1.114,0.684,19.5,process_tree,10.05,process_tree,823.34
440000,238.768,1.157,0.709,19.8125,process_tree,10.24,process_tree,838.58
450000,242.836,1.112,0.706,19.8125,process_tree,10.29,process_tree,843.16
460000,247.095,1.114,0.679,19.6625,process_tree,10.15,process_tree,831.23
470000,251.145,1.156,0.739,21.0,process_tree,10.24,process_tree,838.94
480000,255.263,1.1,0.702,19.5875,process_tree,10.43,process_tree,854.2
490000,259.33,1.159,0.669,19.7125,process_tree,10.47,process_tree,858.09
500000,263.577,1.125,0.681,14.087499999999999,process_tree,9.93,process_tree,813.06
