step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,65.3,system,
10000,6.892,2.019,1.654,15.6,process_tree,3.87,process_tree,634.7
20000,11.786,4.8,4.786,16.9,process_tree,3.9,process_tree,638.7
30000,16.52,18.663,21.783,18.56,process_tree,3.91,process_tree,640.95
40000,21.394,59.077,42.591,13.790000000000001,process_tree,3.92,process_tree,641.45
50000,26.389,82.455,31.318,16.93,process_tree,3.92,process_tree,641.58
60000,31.084,77.169,41.683,20.949999999999996,process_tree,3.92,process_tree,641.62
70000,35.731,100.0,0.0,25.910000000000004,process_tree,3.92,process_tree,641.73
80000,40.817,85.843,34.678,11.030000000000001,process_tree,3.92,process_tree,641.83
90000,45.427,87.575,32.873,15.830000000000002,process_tree,3.92,process_tree,641.84
100000,50.203,100.0,0.0,20.98,process_tree,3.92,process_tree,641.84
110000,55.025,91.036,28.346,16.23,process_tree,3.92,process_tree,641.86
120000,59.661,71.721,44.713,20.54,process_tree,3.92,process_tree,641.97
130000,64.21,91.8,27.196,15.95,process_tree,3.92,process_tree,642.02
140000,69.093,91.725,27.445,15.35,process_tree,3.92,process_tree,642.08
150000,73.627,80.11,39.78,13.52,process_tree,3.92,process_tree,642.08
160000,78.126,71.643,44.837,13.9,process_tree,3.92,process_tree,642.11
170000,83.053,100.0,0.0,18.369999999999997,process_tree,3.92,process_tree,642.17
180000,87.68,90.991,28.489,17.55,process_tree,3.92,process_tree,642.33
190000,92.715,34.653,31.676,22.59,process_tree,3.92,process_tree,642.42
200000,97.896,90.317,21.653,16.009999999999998,process_tree,3.92,process_tree,642.42
210000,102.317,83.467,36.97,12.59,process_tree,3.92,process_tree,642.42
220000,107.241,100.0,0.0,20.35,process_tree,3.92,process_tree,642.44
230000,111.996,100.0,0.0,15.51,process_tree,3.92,process_tree,642.44
240000,116.454,92.354,26.487,12.01,process_tree,3.92,process_tree,642.44
250000,121.061,100.0,0.0,19.42,process_tree,3.92,process_tree,642.44
260000,125.802,78.764,40.663,14.02,process_tree,3.92,process_tree,642.44
270000,130.47,85.886,34.573,16.24,process_tree,3.92,process_tree,642.44
280000,135.149,100.0,0.0,17.28,process_tree,3.92,process_tree,642.47
290000,140.006,100.0,0.0,14.14,process_tree,3.92,process_tree,642.48
300000,144.552,100.0,0.0,13.55,process_tree,3.92,process_tree,642.48
310000,149.155,100.0,0.0,18.72,process_tree,3.92,process_tree,642.5
320000,153.789,91.742,27.39,14.12,process_tree,3.92,process_tree,642.52
330000,158.472,85.8,34.783,16.380000000000003,process_tree,3.92,process_tree,642.52
340000,163.122,90.973,28.547,19.380000000000003,process_tree,3.92,process_tree,642.52
350000,167.906,58.132,49.095,16.11,process_tree,3.92,process_tree,642.52
360000,172.636,75.213,42.933,17.55,process_tree,3.92,process_tree,642.53
370000,177.302,77.092,41.824,19.27,process_tree,3.92,process_tree,642.53
380000,181.947,100.0,0.0,20.58,process_tree,3.92,process_tree,642.53
390000,186.773,100.0,0.0,17.35,process_tree,3.92,process_tree,642.55
400000,191.314,100.0,0.0,17.75,process_tree,3.92,process_tree,642.55
410000,195.956,91.725,27.445,18.560000000000002,process_tree,3.92,process_tree,642.55
420000,200.624,60.345,48.567,17.310000000000002,process_tree,3.92,process_tree,642.56
430000,205.228,100.0,0.0,16.11,process_tree,3.92,process_tree,642.56
440000,209.821,81.936,38.319,17.080000000000002,process_tree,3.92,process_tree,642.56
450000,214.663,87.625,32.741,17.7,process_tree,3.92,process_tree,642.56
460000,219.277,100.0,0.0,21.31,process_tree,3.92,process_tree,642.56
470000,223.878,91.733,27.417,17.26,process_tree,3.92,process_tree,642.7
480000,228.506,55.018,49.276,19.35,process_tree,3.92,process_tree,642.7
490000,233.206,50.49,49.512,21.689999999999998,process_tree,3.92,process_tree,642.72
500000,237.748,50.511,49.49,18.37,process_tree,3.95,process_tree,647.72
510000,242.478,50.371,49.629,17.48,process_tree,3.96,process_tree,648.06
520000,247.389,47.363,44.978,20.78,process_tree,3.96,process_tree,648.17
530000,252.318,84.746,35.774,14.41,process_tree,3.96,process_tree,648.36
540000,256.927,61.472,48.298,15.710000000000003,process_tree,3.96,process_tree,648.48
550000,261.483,70.23,45.475,20.439999999999998,process_tree,3.96,process_tree,648.5
560000,266.373,52.795,49.509,18.04,process_tree,3.96,process_tree,648.53
570000,270.944,62.08,46.521,17.15,process_tree,3.96,process_tree,648.56
580000,275.572,91.908,26.837,20.25,process_tree,3.96,process_tree,648.58
590000,280.399,100.0,0.0,16.77,process_tree,3.96,process_tree,648.58
600000,285.164,100.0,0.0,13.810000000000002,process_tree,3.96,process_tree,648.58
610000,289.745,73.064,43.987,12.330000000000002,process_tree,3.96,process_tree,648.59
620000,294.622,100.0,0.0,17.96,process_tree,3.96,process_tree,648.59
630000,301.227,91.0,28.461,19.77,process_tree,3.96,process_tree,649.22
640000,307.986,98.827,3.708,18.830000000000002,process_tree,3.96,process_tree,649.28
650000,312.915,90.891,19.835,14.830000000000002,process_tree,3.96,process_tree,649.28
660000,317.834,100.0,0.0,14.419999999999998,process_tree,3.96,process_tree,649.3
670000,322.552,100.0,0.0,17.47,process_tree,3.96,process_tree,649.38
680000,327.536,100.0,0.0,13.95,process_tree,3.96,process_tree,649.41
690000,332.24,100.0,0.0,17.32,process_tree,3.96,process_tree,649.53
700000,336.838,100.0,0.0,20.54,process_tree,3.96,process_tree,649.53
