step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,67.4,system,
10000,9.254,1.022,0.627,19.560000000000002,process_tree,3.97,process_tree,649.77
20000,14.383,0.984,0.66,19.520000000000003,process_tree,4.13,process_tree,675.91
30000,19.409,1.018,0.647,20.240000000000002,process_tree,4.27,process_tree,699.41
40000,24.322,0.983,0.622,19.35,process_tree,4.41,process_tree,722.86
50000,29.188,1.027,0.664,19.5,process_tree,4.56,process_tree,746.31
60000,34.326,1.032,0.63,19.8,process_tree,4.68,process_tree,766.81
70000,39.221,0.995,0.628,19.64,process_tree,4.8,process_tree,786.28
80000,44.237,1.007,0.613,19.11,process_tree,4.93,process_tree,808.41
90000,49.013,1.005,0.624,18.84,process_tree,5.07,process_tree,831.06
100000,54.131,0.978,0.621,20.41,process_tree,5.21,process_tree,854.08
110000,59.15,0.963,0.645,19.85,process_tree,5.36,process_tree,878.45
120000,64.058,1.003,0.601,19.93,process_tree,5.49,process_tree,899.69
130000,68.954,0.979,0.591,18.310000000000002,process_tree,5.63,process_tree,923.16
140000,73.809,0.967,0.673,19.81,process_tree,5.75,process_tree,942.08
150000,78.685,0.996,0.578,20.35,process_tree,5.88,process_tree,962.95
160000,83.569,1.006,0.624,20.369999999999997,process_tree,5.99,process_tree,981.41
170000,88.543,0.993,0.588,17.95,process_tree,6.16,process_tree,1008.92
180000,93.366,0.966,0.588,19.98,process_tree,6.27,process_tree,1028.06
190000,98.218,1.012,0.657,19.869999999999997,process_tree,6.49,process_tree,1063.81
200000,103.121,0.977,0.616,19.71,process_tree,6.61,process_tree,1083.11
210000,108.151,0.995,0.641,18.089999999999996,process_tree,6.76,process_tree,1107.0
220000,112.949,1.006,0.636,19.869999999999997,process_tree,6.87,process_tree,1125.66
230000,117.854,1.052,0.714,19.96,process_tree,6.98,process_tree,1144.23
240000,122.758,1.059,0.694,21.57,process_tree,7.2,process_tree,1179.08
250000,127.608,0.993,0.626,17.53,process_tree,7.31,process_tree,1197.98
260000,132.367,0.979,0.597,19.130000000000003,process_tree,7.43,process_tree,1217.22
270000,137.511,1.037,0.665,19.93,process_tree,7.57,process_tree,1239.77
280000,142.404,1.014,0.638,20.48,process_tree,7.68,process_tree,1258.19
290000,147.311,0.988,0.623,20.35,process_tree,7.79,process_tree,1276.72
300000,152.057,0.961,0.609,18.889999999999997,process_tree,7.91,process_tree,1295.69
310000,156.896,1.016,0.684,20.66,process_tree,8.02,process_tree,1314.69
320000,161.867,0.99,0.66,20.689999999999998,process_tree,8.14,process_tree,1333.73
330000,167.031,0.996,0.636,20.380000000000003,process_tree,8.38,process_tree,1372.98
340000,171.86,1.015,0.623,20.04,process_tree,8.49,process_tree,1391.8
