step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.9,system,
10000,7.499,1.203,0.756,16.69,process_tree,3.91,process_tree,640.28
20000,14.268,1.91,1.254,16.64,process_tree,3.93,process_tree,643.66
30000,23.392,4.018,3.379,9.809999999999999,process_tree,3.94,process_tree,645.41
40000,32.41,13.994,13.532,15.989999999999998,process_tree,3.96,process_tree,648.14
50000,39.046,35.72,35.687,10.33,process_tree,3.96,process_tree,649.12
60000,44.734,58.786,42.7,16.089999999999996,process_tree,3.97,process_tree,649.64
70000,50.332,90.262,26.232,17.48,process_tree,3.97,process_tree,649.98
80000,55.415,92.433,25.096,20.04,process_tree,3.97,process_tree,650.03
90000,60.918,100.0,0.0,6.1,process_tree,3.97,process_tree,650.31
100000,65.833,75.392,41.46,23.28,process_tree,3.97,process_tree,650.34
110000,71.423,22.369,23.048,22.84,process_tree,3.97,process_tree,650.34
120000,76.391,55.175,36.739,18.14,process_tree,3.97,process_tree,650.64
130000,82.017,100.0,0.0,7.090000000000001,process_tree,3.97,process_tree,650.84
140000,87.323,100.0,0.0,14.919999999999998,process_tree,3.97,process_tree,650.88
150000,92.634,100.0,0.0,17.96,process_tree,3.97,process_tree,650.91
160000,98.093,33.051,32.974,17.21,process_tree,3.97,process_tree,651.06
170000,103.027,43.205,30.925,20.580000000000002,process_tree,3.97,process_tree,651.06
180000,108.2,83.07,34.322,18.580000000000002,process_tree,3.97,process_tree,651.06
190000,113.477,30.664,32.015,5.220000000000001,process_tree,3.97,process_tree,651.08
200000,119.103,81.425,32.802,19.2,process_tree,3.97,process_tree,651.08
210000,124.451,75.838,31.259,12.870000000000001,process_tree,3.97,process_tree,651.08
220000,129.742,70.531,36.602,18.27,process_tree,3.97,process_tree,651.08
230000,134.69,90.34,28.98,5.82,process_tree,3.97,process_tree,651.08
240000,140.056,67.94,39.411,12.55,process_tree,3.97,process_tree,651.14
250000,145.214,62.069,42.382,10.040000000000001,process_tree,3.97,process_tree,651.14
260000,150.619,100.0,0.0,17.380000000000003,process_tree,3.98,process_tree,651.27
270000,156.06,100.0,0.0,13.7,process_tree,3.98,process_tree,651.36
280000,161.474,91.436,27.081,18.04,process_tree,3.98,process_tree,651.52
290000,166.414,83.627,34.834,18.490000000000002,process_tree,3.98,process_tree,651.52
300000,171.711,92.775,23.963,11.26,process_tree,3.98,process_tree,651.53
310000,176.802,84.283,35.155,7.44,process_tree,3.98,process_tree,651.53
320000,182.023,90.65,28.05,15.309999999999999,process_tree,3.98,process_tree,651.55
330000,187.747,100.0,0.0,8.09,process_tree,3.98,process_tree,651.58
340000,192.934,91.456,24.167,17.169999999999998,process_tree,3.98,process_tree,651.58
350000,198.128,91.758,27.335,17.53,process_tree,3.98,process_tree,651.61
360000,203.512,92.333,25.427,8.25,process_tree,3.98,process_tree,651.77
370000,208.368,100.0,0.0,9.02,process_tree,3.98,process_tree,651.78
380000,213.39,100.0,0.0,20.15,process_tree,3.98,process_tree,651.84
390000,219.159,100.0,0.0,5.8,process_tree,3.98,process_tree,651.84
400000,224.33,100.0,0.0,18.16,process_tree,3.98,process_tree,651.84
410000,229.437,100.0,0.0,8.64,process_tree,3.98,process_tree,651.84
