step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,67.8,system,
10000,6.376,1.155,0.702,19.3625,process_tree,8.32,process_tree,681.83
20000,10.68,1.2,0.734,19.4125,process_tree,8.61,process_tree,704.97
30000,15.115,1.21,0.718,18.8625,process_tree,8.88,process_tree,727.45
40000,19.264,1.144,0.665,20.025,process_tree,9.15,process_tree,749.48
50000,23.477,1.091,0.638,20.0,process_tree,9.43,process_tree,772.2
60000,27.628,1.078,0.672,19.8,process_tree,9.69,process_tree,793.92
70000,31.814,1.129,0.68,19.525,process_tree,9.94,process_tree,813.97
80000,35.904,1.175,0.734,19.674999999999997,process_tree,10.17,process_tree,832.84
90000,40.16,1.15,0.711,19.5625,process_tree,10.42,process_tree,853.38
100000,44.257,1.138,0.746,19.875,process_tree,10.73,process_tree,879.33
110000,48.404,1.104,0.667,19.575000000000003,process_tree,11.01,process_tree,901.58
120000,52.623,1.131,0.695,19.9625,process_tree,11.25,process_tree,921.95
130000,56.743,1.166,0.751,20.05,process_tree,11.48,process_tree,940.38
140000,60.918,1.151,0.754,20.175,process_tree,11.74,process_tree,962.0
150000,65.024,1.173,0.764,19.5375,process_tree,11.97,process_tree,980.44
160000,69.32,1.102,0.697,19.95,process_tree,12.33,process_tree,1010.03
170000,73.458,1.17,0.738,20.05,process_tree,12.56,process_tree,1028.83
180000,77.621,1.069,0.63,19.8875,process_tree,12.74,process_tree,1043.89
190000,81.722,1.162,0.735,19.8375,process_tree,12.97,process_tree,1062.42
200000,86.068,1.15,0.747,19.7375,process_tree,13.03,process_tree,1067.72
210000,90.221,1.132,0.655,19.7,process_tree,13.21,process_tree,1082.36
220000,94.324,1.127,0.689,19.85,process_tree,13.7,process_tree,1122.47
230000,98.465,1.145,0.707,19.799999999999997,process_tree,13.42,process_tree,1099.44
240000,102.657,1.134,0.68,17.45,process_tree,13.63,process_tree,1116.22
250000,107.111,1.117,0.702,19.5125,process_tree,13.46,process_tree,1102.78
260000,111.297,1.158,0.726,19.725,process_tree,13.35,process_tree,1093.78
270000,115.397,1.15,0.699,10.1375,process_tree,13.61,process_tree,1115.05
280000,164.532,1.395,0.908,19.725,process_tree,9.44,process_tree,773.39
290000,168.6,1.338,0.866,19.2125,process_tree,9.4,process_tree,770.11
300000,172.715,1.362,0.878,19.9125,process_tree,9.41,process_tree,770.61
310000,176.789,1.44,0.961,20.0625,process_tree,9.42,process_tree,771.38
320000,180.933,1.315,0.8,19.8125,process_tree,9.39,process_tree,769.41
330000,185.022,1.313,0.807,17.05,process_tree,9.39,process_tree,769.41
340000,189.219,1.318,0.923,19.7375,process_tree,9.4,process_tree,769.98
350000,193.304,1.306,0.895,19.7125,process_tree,9.4,process_tree,770.08
360000,197.5,1.39,0.973,19.9875,process_tree,9.5,process_tree,778.41
370000,201.558,1.366,0.86,19.875,process_tree,9.69,process_tree,793.45
380000,205.656,1.322,0.791,19.85,process_tree,9.87,process_tree,808.61
390000,209.853,1.443,0.902,19.6625,process_tree,10.06,process_tree,823.84
400000,213.931,1.381,0.905,19.65,process_tree,10.24,process_tree,839.08
410000,217.994,1.318,0.849,19.55,process_tree,10.43,process_tree,854.42
420000,222.289,1.401,0.845,19.8625,process_tree,10.62,process_tree,869.75
430000,226.352,1.438,0.904,19.6875,process_tree,10.82,process_tree,886.48
440000,230.447,1.342,0.895,19.725,process_tree,11.04,process_tree,904.36
450000,234.557,1.329,0.845,19.875,process_tree,11.26,process_tree,922.34
460000,238.851,1.355,0.883,21.4875,process_tree,11.48,process_tree,940.33
470000,242.987,1.331,0.857,19.975,process_tree,11.7,process_tree,958.5
480000,247.091,1.371,0.864,19.8,process_tree,11.92,process_tree,976.64
490000,251.199,1.382,0.811,19.5125,process_tree,12.14,process_tree,994.83
500000,255.232,1.466,0.985,16.25,process_tree,11.58,process_tree,949.0
