step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,60.9,system,
10000,5.17,0.872,0.574,16.79,process_tree,3.92,process_tree,642.25
20000,9.186,0.986,0.611,17.6,process_tree,3.94,process_tree,645.62
30000,12.828,1.264,0.82,5.33,process_tree,3.94,process_tree,645.8
40000,16.772,1.433,0.916,17.23,process_tree,3.95,process_tree,647.22
50000,20.378,1.544,1.052,11.07,process_tree,3.95,process_tree,647.34
60000,24.346,1.7,1.044,17.47,process_tree,3.95,process_tree,647.61
70000,28.204,2.404,1.698,17.44,process_tree,3.95,process_tree,647.8
80000,31.718,2.617,1.854,11.41,process_tree,3.95,process_tree,647.91
90000,35.6,3.0,2.237,17.689999999999998,process_tree,3.96,process_tree,648.11
100000,39.088,3.666,2.807,5.18,process_tree,3.96,process_tree,648.45
110000,42.883,4.232,3.981,17.02,process_tree,3.96,process_tree,648.5
120000,46.732,4.531,3.827,17.51,process_tree,3.96,process_tree,648.67
130000,50.21,4.863,4.915,12.200000000000001,process_tree,3.96,process_tree,648.67
140000,53.974,7.176,8.258,18.5,process_tree,3.96,process_tree,648.83
150000,57.431,7.46,9.595,5.220000000000001,process_tree,3.96,process_tree,648.83
160000,61.215,7.568,6.915,17.93,process_tree,3.96,process_tree,648.83
170000,64.649,7.11,7.04,12.08,process_tree,3.96,process_tree,648.88
180000,68.489,7.102,7.102,16.4,process_tree,3.96,process_tree,648.88
190000,72.242,6.902,6.091,16.57,process_tree,3.96,process_tree,648.91
200000,75.688,8.028,7.295,9.35,process_tree,3.96,process_tree,648.91
210000,79.422,9.462,8.956,18.28,process_tree,3.96,process_tree,648.94
220000,82.881,14.992,16.446,8.52,process_tree,3.96,process_tree,648.97
230000,86.666,17.823,18.24,18.06,process_tree,3.96,process_tree,648.97
240000,90.373,22.57,21.906,17.77,process_tree,3.96,process_tree,648.97
250000,93.797,10.391,9.977,12.16,process_tree,3.96,process_tree,649.05
260000,97.552,11.658,9.297,18.009999999999998,process_tree,3.96,process_tree,649.05
270000,100.948,15.622,13.13,5.1,process_tree,3.96,process_tree,649.05
