step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,59.8,system,
10000,5.445,1.64,1.212,10.18,process_tree,3.89,process_tree,637.66
20000,9.282,5.378,4.684,12.1,process_tree,3.9,process_tree,639.75
30000,13.038,36.608,28.897,14.87,process_tree,3.91,process_tree,640.05
40000,17.029,74.462,38.25,15.5,process_tree,3.91,process_tree,640.41
50000,20.851,95.985,13.91,10.370000000000001,process_tree,3.91,process_tree,640.55
60000,24.657,62.907,45.942,9.1,process_tree,3.92,process_tree,642.59
70000,28.421,89.044,30.987,9.35,process_tree,3.92,process_tree,642.64
80000,32.232,100.0,0.0,15.16,process_tree,3.92,process_tree,642.66
90000,36.026,64.7,40.694,21.78,process_tree,3.92,process_tree,642.66
100000,39.879,94.331,19.639,16.68,process_tree,3.92,process_tree,642.84
110000,43.658,94.0,19.9,13.059999999999999,process_tree,3.92,process_tree,642.92
120000,47.503,73.725,37.943,9.34,process_tree,3.92,process_tree,643.05
130000,51.266,58.267,43.591,10.73,process_tree,3.92,process_tree,643.06
140000,54.99,71.408,39.665,13.209999999999999,process_tree,3.93,process_tree,643.16
150000,58.802,48.356,39.243,20.66,process_tree,3.93,process_tree,643.17
160000,62.789,100.0,0.0,16.53,process_tree,3.93,process_tree,643.17
170000,66.615,100.0,0.0,11.15,process_tree,3.93,process_tree,643.48
180000,70.418,100.0,0.0,9.1,process_tree,3.93,process_tree,643.52
190000,74.179,100.0,0.0,8.879999999999999,process_tree,3.93,process_tree,643.55
200000,77.964,100.0,0.0,9.18,process_tree,3.93,process_tree,643.62
