step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.2,system,
10000,5.462,1.116,0.594,17.2,process_tree,3.94,process_tree,645.05
20000,9.161,1.33,0.755,18.189999999999998,process_tree,3.96,process_tree,648.0
30000,12.819,1.593,0.95,5.26,process_tree,3.97,process_tree,650.58
40000,16.755,1.823,1.118,17.360000000000003,process_tree,3.97,process_tree,651.19
50000,20.359,2.503,1.473,17.43,process_tree,3.98,process_tree,651.55
60000,23.955,2.936,2.17,10.43,process_tree,3.98,process_tree,651.75
70000,27.487,4.625,3.065,16.95,process_tree,4.0,process_tree,655.66
80000,31.271,5.768,4.969,19.21,process_tree,4.0,process_tree,656.11
90000,34.738,9.676,11.349,17.740000000000002,process_tree,4.01,process_tree,656.3
100000,38.18,10.535,12.048,6.33,process_tree,4.01,process_tree,656.3
110000,41.971,16.397,18.203,17.65,process_tree,4.01,process_tree,656.92
120000,45.397,20.491,20.09,16.9,process_tree,4.01,process_tree,656.89
130000,48.906,26.603,24.351,16.99,process_tree,4.02,process_tree,659.05
140000,52.411,29.91,28.096,6.470000000000001,process_tree,4.02,process_tree,659.23
150000,56.118,26.218,21.088,17.759999999999998,process_tree,4.02,process_tree,659.23
160000,59.449,23.273,15.475,18.43,process_tree,4.03,process_tree,659.62
170000,62.932,28.33,19.077,17.39,process_tree,4.03,process_tree,659.7
180000,66.356,25.362,12.653,5.16,process_tree,4.03,process_tree,659.69
190000,70.039,43.472,28.331,17.8,process_tree,4.03,process_tree,659.89
200000,73.541,32.368,17.402,18.990000000000002,process_tree,4.03,process_tree,660.02
210000,76.947,31.172,29.985,11.94,process_tree,4.03,process_tree,660.11
220000,80.347,30.691,22.716,9.48,process_tree,4.03,process_tree,660.11
230000,84.152,25.703,12.526,18.2,process_tree,4.03,process_tree,660.17
240000,87.47,30.211,19.74,17.73,process_tree,4.03,process_tree,660.17
250000,90.943,17.708,8.405,12.219999999999999,process_tree,4.03,process_tree,660.2
260000,94.669,38.133,21.309,17.990000000000002,process_tree,4.03,process_tree,660.2
270000,98.077,24.209,20.04,16.3,process_tree,4.03,process_tree,660.23
280000,101.467,23.347,18.859,18.75,process_tree,4.03,process_tree,660.28
290000,105.003,24.738,17.328,6.0600000000000005,process_tree,4.03,process_tree,660.3
300000,108.723,28.383,15.409,18.28,process_tree,4.03,process_tree,660.27
310000,112.08,48.995,33.583,16.22,process_tree,4.03,process_tree,660.34
320000,115.509,29.189,20.574,18.27,process_tree,4.03,process_tree,660.34
330000,119.001,10.881,5.296,5.3,process_tree,4.03,process_tree,660.36
