step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,64.6,system,
10000,4.477,1.177,0.721,17.57,process_tree,3.95,process_tree,647.2
20000,7.506,1.166,0.725,17.14,process_tree,4.09,process_tree,670.34
30000,10.53,1.104,0.649,17.330000000000002,process_tree,4.22,process_tree,691.5
40000,13.534,1.14,0.698,17.59,process_tree,4.37,process_tree,715.97
50000,16.484,1.171,0.731,13.540000000000001,process_tree,4.5,process_tree,737.97
60000,19.532,1.089,0.651,17.34,process_tree,4.65,process_tree,761.8
70000,22.494,1.156,0.667,21.52,process_tree,4.78,process_tree,783.14
80000,25.545,1.174,0.698,16.78,process_tree,4.9,process_tree,802.69
90000,28.515,1.143,0.732,16.95,process_tree,5.04,process_tree,825.09
100000,31.563,1.204,0.666,17.4,process_tree,5.17,process_tree,846.64
110000,34.527,1.162,0.682,17.22,process_tree,5.28,process_tree,865.88
120000,37.465,1.184,0.743,16.03,process_tree,5.44,process_tree,891.52
130000,40.586,1.156,0.656,17.18,process_tree,5.59,process_tree,915.45
140000,43.547,1.144,0.654,17.36,process_tree,5.7,process_tree,934.14
150000,46.488,1.145,0.628,16.979999999999997,process_tree,5.86,process_tree,959.64
160000,49.581,1.219,0.709,17.4,process_tree,5.97,process_tree,978.36
170000,52.54,1.147,0.692,16.860000000000003,process_tree,6.13,process_tree,1004.73
180000,55.522,1.222,0.751,17.509999999999998,process_tree,6.25,process_tree,1023.66
190000,58.479,1.198,0.727,16.76,process_tree,6.38,process_tree,1044.92
200000,61.446,1.135,0.749,19.52,process_tree,6.49,process_tree,1063.17
210000,64.571,1.106,0.633,17.490000000000002,process_tree,6.71,process_tree,1099.58
220000,67.5,1.215,0.762,17.76,process_tree,6.83,process_tree,1118.62
230000,70.492,1.103,0.65,17.630000000000003,process_tree,6.94,process_tree,1137.8
240000,73.462,1.137,0.709,17.25,process_tree,7.12,process_tree,1165.8
250000,76.406,1.204,0.758,17.380000000000003,process_tree,7.23,process_tree,1184.52
260000,79.648,1.152,0.743,17.16,process_tree,7.34,process_tree,1203.12
270000,82.607,1.185,0.734,17.59,process_tree,7.46,process_tree,1221.72
280000,85.578,1.13,0.64,16.919999999999998,process_tree,7.57,process_tree,1240.09
290000,88.551,1.173,0.702,17.43,process_tree,7.68,process_tree,1258.67
300000,91.484,1.102,0.688,17.119999999999997,process_tree,7.8,process_tree,1277.25
310000,94.457,1.125,0.704,17.45,process_tree,7.91,process_tree,1295.97
320000,97.654,1.166,0.725,17.619999999999997,process_tree,8.1,process_tree,1327.19
330000,100.635,1.12,0.718,17.369999999999997,process_tree,8.21,process_tree,1345.88
340000,103.596,1.185,0.719,17.29,process_tree,8.33,process_tree,1364.36
350000,106.543,1.132,0.674,17.169999999999998,process_tree,8.44,process_tree,1382.78
360000,109.589,1.184,0.712,17.410000000000004,process_tree,8.55,process_tree,1401.19
370000,112.507,1.221,0.728,17.1,process_tree,8.66,process_tree,1419.53
380000,115.486,1.142,0.728,17.47,process_tree,8.78,process_tree,1438.41
390000,118.477,1.122,0.661,17.15,process_tree,8.9,process_tree,1457.36
400000,121.731,1.161,0.668,17.21,process_tree,9.2,process_tree,1507.64
410000,124.683,1.182,0.733,17.419999999999998,process_tree,9.32,process_tree,1526.61
420000,127.618,1.142,0.667,5.16,process_tree,9.43,process_tree,1545.59
430000,182.193,1.427,0.987,17.28,process_tree,6.45,process_tree,1057.31
440000,185.163,1.439,0.959,17.5,process_tree,6.43,process_tree,1053.92
450000,188.051,1.435,0.912,16.939999999999998,process_tree,6.43,process_tree,1054.11
460000,190.985,1.506,0.969,16.259999999999998,process_tree,6.44,process_tree,1054.66
470000,193.972,1.383,0.84,17.86,process_tree,6.44,process_tree,1054.7
480000,196.879,1.547,0.894,17.18,process_tree,6.44,process_tree,1054.7
490000,199.785,1.485,0.887,17.36,process_tree,6.44,process_tree,1054.7
500000,202.769,1.477,0.905,17.9,process_tree,6.44,process_tree,1055.83
510000,205.783,1.524,1.024,17.66,process_tree,6.44,process_tree,1055.83
520000,208.791,1.445,0.936,17.509999999999998,process_tree,6.44,process_tree,1055.83
530000,211.692,1.596,1.024,15.88,process_tree,6.44,process_tree,1055.83
540000,214.649,1.413,0.963,16.919999999999998,process_tree,6.45,process_tree,1057.3
550000,217.703,1.492,0.977,17.47,process_tree,6.55,process_tree,1072.67
560000,220.641,1.555,1.026,16.93,process_tree,6.64,process_tree,1087.8
570000,223.852,1.427,0.824,17.03,process_tree,6.73,process_tree,1103.17
580000,226.984,1.426,0.911,17.29,process_tree,6.83,process_tree,1118.25
590000,229.958,1.37,0.863,17.41,process_tree,6.98,process_tree,1143.75
600000,232.998,1.508,0.989,17.59,process_tree,7.08,process_tree,1159.58
610000,236.133,1.359,0.83,16.2,process_tree,7.17,process_tree,1175.41
620000,239.333,1.419,0.866,11.71,process_tree,7.28,process_tree,1193.0
630000,242.462,1.445,0.968,16.73,process_tree,7.39,process_tree,1210.94
640000,245.454,1.487,0.933,17.369999999999997,process_tree,7.5,process_tree,1229.23
650000,248.387,1.41,0.914,17.29,process_tree,7.61,process_tree,1247.42
660000,251.366,1.421,0.904,17.220000000000002,process_tree,7.73,process_tree,1265.78
670000,254.255,1.438,0.89,17.61,process_tree,7.84,process_tree,1283.7
680000,257.401,1.4,0.94,17.3,process_tree,7.95,process_tree,1301.91
690000,260.332,1.433,0.858,17.580000000000002,process_tree,8.06,process_tree,1320.08
700000,263.251,1.485,0.971,17.79,process_tree,8.17,process_tree,1338.34
710000,266.257,1.433,0.916,17.3,process_tree,8.28,process_tree,1356.55
720000,269.166,1.399,0.854,17.619999999999997,process_tree,8.39,process_tree,1374.59
730000,272.095,1.519,1.001,17.03,process_tree,8.5,process_tree,1392.83
740000,275.314,1.449,0.946,17.29,process_tree,8.61,process_tree,1411.0
750000,278.246,1.492,1.058,17.05,process_tree,8.72,process_tree,1429.25
760000,281.184,1.509,0.946,17.34,process_tree,8.83,process_tree,1447.25
770000,284.111,1.454,0.886,17.509999999999998,process_tree,8.94,process_tree,1465.39
780000,287.031,1.485,0.897,17.41,process_tree,9.06,process_tree,1483.58
790000,289.983,1.434,0.873,17.53,process_tree,9.16,process_tree,1501.55
800000,292.938,1.434,0.941,18.03,process_tree,9.28,process_tree,1519.86
810000,295.907,1.381,0.826,17.53,process_tree,9.39,process_tree,1538.08
820000,299.078,1.496,0.927,16.82,process_tree,9.51,process_tree,1558.59
830000,302.011,1.466,0.947,15.95,process_tree,9.62,process_tree,1576.92
840000,304.933,1.526,0.905,14.3,process_tree,9.73,process_tree,1594.94
850000,359.866,2.413,1.978,17.72,process_tree,6.87,process_tree,1126.12
860000,362.697,2.858,2.447,17.04,process_tree,6.83,process_tree,1119.12
870000,365.594,2.726,2.356,17.630000000000003,process_tree,6.83,process_tree,1118.23
880000,368.425,2.574,1.854,17.56,process_tree,6.82,process_tree,1117.59
890000,371.293,2.734,2.459,16.56,process_tree,6.82,process_tree,1117.77
900000,374.173,2.609,1.845,17.52,process_tree,6.82,process_tree,1118.2
910000,377.068,2.643,1.958,17.229999999999997,process_tree,6.81,process_tree,1116.25
920000,379.893,2.499,1.829,16.78,process_tree,6.81,process_tree,1116.25
930000,382.857,2.666,2.152,17.49,process_tree,6.81,process_tree,1116.27
940000,385.692,2.51,1.991,17.54,process_tree,6.81,process_tree,1116.27
950000,388.624,2.795,2.336,17.9,process_tree,6.81,process_tree,1115.27
960000,391.515,2.575,1.762,17.910000000000004,process_tree,6.81,process_tree,1115.31
970000,394.338,2.904,2.051,17.35,process_tree,6.81,process_tree,1115.31
980000,397.311,2.847,2.097,17.8,process_tree,6.82,process_tree,1116.91
990000,400.152,2.481,1.745,17.4,process_tree,6.91,process_tree,1131.88
1000000,402.988,2.666,1.889,16.68,process_tree,7.0,process_tree,1146.94
1010000,405.958,2.424,1.982,17.439999999999998,process_tree,7.09,process_tree,1162.28
1020000,408.971,2.656,2.148,17.6,process_tree,7.19,process_tree,1177.33
1030000,411.818,2.898,2.184,17.3,process_tree,7.28,process_tree,1192.45
1040000,414.62,2.619,1.882,17.06,process_tree,7.37,process_tree,1207.38
1050000,417.508,2.552,1.828,17.630000000000003,process_tree,7.46,process_tree,1222.59
1060000,420.516,2.747,2.141,17.66,process_tree,7.56,process_tree,1237.81
1070000,423.384,2.769,2.387,17.740000000000002,process_tree,7.65,process_tree,1253.3
1080000,426.236,2.596,1.964,17.34,process_tree,7.76,process_tree,1270.64
1090000,429.147,2.597,1.977,17.67,process_tree,7.87,process_tree,1289.08
1100000,431.954,2.666,2.285,17.65,process_tree,7.98,process_tree,1306.67
1110000,434.991,2.649,2.015,17.39,process_tree,8.08,process_tree,1324.59
1120000,437.869,2.629,1.657,17.72,process_tree,8.2,process_tree,1342.92
1130000,440.682,2.615,2.011,17.79,process_tree,8.31,process_tree,1361.09
1140000,443.563,3.065,2.61,17.48,process_tree,8.42,process_tree,1379.44
1150000,446.397,2.66,2.043,17.14,process_tree,8.53,process_tree,1397.89
1160000,449.243,2.578,2.094,17.99,process_tree,8.64,process_tree,1416.22
1170000,452.407,2.638,2.138,17.64,process_tree,8.83,process_tree,1446.19
1180000,455.211,2.558,2.087,17.5,process_tree,8.94,process_tree,1464.5
1190000,458.049,2.858,2.315,17.330000000000002,process_tree,9.05,process_tree,1482.91
1200000,460.901,2.639,2.106,17.78,process_tree,9.16,process_tree,1501.0
1210000,463.761,2.68,2.095,17.78,process_tree,9.27,process_tree,1519.27
1220000,466.592,2.767,2.251,17.27,process_tree,9.38,process_tree,1537.47
1230000,469.46,2.305,1.903,17.8,process_tree,9.49,process_tree,1555.42
1240000,472.363,2.552,1.795,17.79,process_tree,9.61,process_tree,1573.98
1250000,475.468,2.744,2.092,18.01,process_tree,9.85,process_tree,1613.72
1260000,478.325,2.449,1.958,17.419999999999998,process_tree,9.96,process_tree,1631.92
1270000,533.227,5.773,7.089,17.79,process_tree,7.21,process_tree,1181.38
1280000,535.957,9.248,9.465,18.05,process_tree,7.18,process_tree,1176.38
1290000,538.746,6.734,5.792,18.0,process_tree,7.16,process_tree,1172.38
1300000,541.488,7.817,7.049,17.98,process_tree,7.15,process_tree,1171.38
1310000,544.213,7.691,7.271,15.75,process_tree,7.15,process_tree,1171.53
1320000,547.062,8.321,7.713,18.25,process_tree,7.15,process_tree,1172.17
