step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,71.8,system,
10000,6.367,1.053,0.596,19.55,process_tree,8.22,process_tree,673.5
20000,10.543,1.073,0.641,20.1625,process_tree,8.51,process_tree,697.12
30000,14.652,1.067,0.615,19.3625,process_tree,8.81,process_tree,722.05
40000,18.728,1.092,0.664,19.075,process_tree,9.09,process_tree,744.53
50000,22.891,1.091,0.624,19.425,process_tree,9.35,process_tree,765.64
60000,27.291,1.049,0.603,19.6375,process_tree,8.03,process_tree,657.92
70000,31.499,1.036,0.629,19.6125,process_tree,8.47,process_tree,693.61
80000,35.552,1.097,0.673,16.4375,process_tree,8.7,process_tree,712.88
90000,39.888,1.11,0.635,19.775,process_tree,9.07,process_tree,742.7
100000,44.012,1.048,0.59,19.6,process_tree,9.32,process_tree,763.83
110000,48.093,1.027,0.57,20.0125,process_tree,9.62,process_tree,788.34
120000,52.307,1.025,0.573,18.0625,process_tree,9.85,process_tree,807.16
130000,56.408,1.077,0.66,19.4125,process_tree,10.09,process_tree,826.59
140000,60.467,1.059,0.627,20.05,process_tree,10.34,process_tree,847.03
150000,64.512,1.101,0.7,19.675,process_tree,10.54,process_tree,863.36
160000,68.732,1.053,0.637,19.8125,process_tree,10.82,process_tree,886.69
170000,72.824,1.101,0.648,19.5875,process_tree,11.04,process_tree,904.36
180000,76.913,1.109,0.728,20.087500000000002,process_tree,11.25,process_tree,921.72
190000,107.59,1.119,0.631,20.0375,process_tree,9.4,process_tree,769.75
200000,111.686,1.22,0.749,19.7625,process_tree,9.12,process_tree,747.41
210000,115.835,1.232,0.68,19.7375,process_tree,9.1,process_tree,745.25
220000,119.848,1.235,0.827,19.9375,process_tree,9.09,process_tree,744.67
230000,123.962,1.193,0.662,19.8375,process_tree,9.08,process_tree,743.67
240000,128.002,1.215,0.732,13.825000000000001,process_tree,9.09,process_tree,744.27
250000,132.176,1.233,0.724,18.8625,process_tree,9.23,process_tree,756.36
260000,136.248,1.208,0.703,20.3375,process_tree,9.45,process_tree,774.05
270000,140.397,1.194,0.688,20.025,process_tree,9.66,process_tree,791.36
280000,144.434,1.202,0.707,19.95,process_tree,9.9,process_tree,811.06
290000,148.604,1.21,0.675,21.6,process_tree,10.06,process_tree,824.47
300000,152.706,1.142,0.629,19.7625,process_tree,10.27,process_tree,841.56
310000,156.737,1.164,0.674,19.825,process_tree,10.47,process_tree,857.56
320000,160.968,1.188,0.671,20.225,process_tree,10.67,process_tree,874.17
330000,165.05,1.243,0.78,18.5375,process_tree,10.87,process_tree,890.42
340000,169.134,1.23,0.736,20.0625,process_tree,11.19,process_tree,916.59
350000,173.17,1.189,0.653,20.1875,process_tree,11.31,process_tree,926.64
360000,177.421,1.158,0.719,19.8875,process_tree,11.56,process_tree,947.36
370000,181.444,1.253,0.712,19.7125,process_tree,11.79,process_tree,965.58
380000,212.394,1.226,0.736,19.8,process_tree,10.0,process_tree,819.19
390000,216.408,1.443,0.835,20.099999999999998,process_tree,9.92,process_tree,812.38
400000,220.442,1.522,0.841,20.15,process_tree,9.85,process_tree,806.56
410000,224.506,1.464,0.921,20.112499999999997,process_tree,9.82,process_tree,804.56
420000,228.483,1.459,0.831,19.775,process_tree,9.82,process_tree,804.56
430000,232.57,1.468,0.906,19.8,process_tree,9.82,process_tree,804.56
440000,236.566,1.486,0.879,19.8625,process_tree,9.82,process_tree,804.56
450000,240.663,1.407,0.8,20.2375,process_tree,9.85,process_tree,806.86
460000,244.691,1.41,0.787,18.125,process_tree,10.0,process_tree,819.58
470000,248.817,1.562,0.918,20.2,process_tree,10.19,process_tree,834.73
480000,252.818,1.554,0.904,19.9875,process_tree,10.38,process_tree,849.98
490000,256.824,1.517,0.901,19.6375,process_tree,10.56,process_tree,865.28
500000,260.929,1.54,0.861,14.5125,process_tree,9.21,process_tree,754.77
510000,268.395,1.499,0.871,18.990000000000002,process_tree,3.97,process_tree,650.75
520000,273.544,1.522,0.885,17.73,process_tree,4.14,process_tree,677.61
530000,278.62899999999996,1.505,0.917,17.04,process_tree,4.29,process_tree,703.2
540000,283.5,1.479,0.896,18.45,process_tree,4.44,process_tree,728.25
550000,288.50199999999995,1.511,0.918,20.87,process_tree,4.57,process_tree,749.06
560000,293.54299999999995,1.501,0.95,20.619999999999997,process_tree,4.72,process_tree,773.89
570000,298.479,1.531,0.913,19.8,process_tree,4.86,process_tree,796.16
580000,303.268,1.427,0.756,18.669999999999998,process_tree,4.99,process_tree,817.91
590000,308.097,1.535,0.942,20.580000000000002,process_tree,5.13,process_tree,840.22
600000,312.996,1.454,0.811,19.44,process_tree,5.26,process_tree,862.31
610000,317.84499999999997,1.47,0.869,20.24,process_tree,5.39,process_tree,883.39
620000,322.655,1.449,0.895,19.380000000000003,process_tree,5.54,process_tree,907.38
630000,327.503,1.419,0.813,19.919999999999998,process_tree,5.68,process_tree,931.11
640000,332.30199999999996,1.487,0.852,19.94,process_tree,5.8,process_tree,949.89
650000,337.00699999999995,1.456,0.818,20.21,process_tree,5.94,process_tree,973.03
660000,341.90299999999996,1.472,0.946,19.68,process_tree,6.05,process_tree,991.73
670000,346.70399999999995,1.477,0.883,20.8,process_tree,6.19,process_tree,1014.02
680000,351.47999999999996,1.579,1.047,20.29,process_tree,6.3,process_tree,1032.48
690000,379.64099999999996,1.612,0.999,19.889999999999997,process_tree,5.57,process_tree,912.09
700000,384.46299999999997,2.141,1.356,19.98,process_tree,5.46,process_tree,894.47
710000,389.22399999999993,2.027,1.394,20.32,process_tree,5.46,process_tree,893.95
720000,393.86199999999997,2.143,1.34,19.619999999999997,process_tree,5.45,process_tree,893.36
730000,398.568,2.24,1.443,20.15,process_tree,5.45,process_tree,892.38
740000,403.43399999999997,2.149,1.395,20.02,process_tree,5.45,process_tree,892.67
750000,408.176,2.067,1.377,20.01,process_tree,5.46,process_tree,894.55
760000,412.74299999999994,2.111,1.286,20.02,process_tree,5.46,process_tree,894.64
770000,417.53,2.128,1.373,20.23,process_tree,5.5,process_tree,900.81
780000,422.36899999999997,2.04,1.268,20.119999999999997,process_tree,5.62,process_tree,920.72
790000,426.955,2.195,1.312,16.04,process_tree,5.71,process_tree,935.89
800000,431.84,2.255,1.536,19.35,process_tree,5.8,process_tree,950.17
810000,436.45899999999995,2.14,1.377,19.630000000000003,process_tree,5.94,process_tree,972.81
820000,441.22799999999995,2.138,1.345,9.39,process_tree,6.03,process_tree,988.58
830000,446.097,2.068,1.362,19.919999999999998,process_tree,6.13,process_tree,1004.05
840000,450.686,2.105,1.335,19.880000000000003,process_tree,6.23,process_tree,1020.44
850000,455.46,2.074,1.196,20.04,process_tree,6.38,process_tree,1044.58
860000,460.41099999999994,2.027,1.287,19.77,process_tree,6.49,process_tree,1062.98
870000,464.93499999999995,2.077,1.202,19.490000000000002,process_tree,6.63,process_tree,1086.53
880000,493.00399999999996,2.583,1.819,19.84,process_tree,5.94,process_tree,973.5
890000,497.577,3.747,2.902,17.78,process_tree,5.91,process_tree,968.5
900000,502.30199999999996,3.61,2.479,20.33,process_tree,5.87,process_tree,961.56
910000,506.69999999999993,3.664,3.004,17.45,process_tree,5.86,process_tree,960.56
920000,511.49,3.49,2.49,20.94,process_tree,5.86,process_tree,960.61
930000,516.239,3.48,2.727,20.52,process_tree,5.86,process_tree,960.22
940000,520.882,3.521,2.554,18.64,process_tree,5.87,process_tree,961.31
950000,525.357,3.892,3.078,20.47,process_tree,5.87,process_tree,961.31
960000,530.132,3.687,2.875,18.830000000000002,process_tree,5.87,process_tree,961.31
970000,536.03,3.346,2.529,18.36,process_tree,5.87,process_tree,961.55
980000,541.153,3.558,2.812,20.28,process_tree,5.9,process_tree,966.33
990000,545.9839999999999,3.917,2.866,19.02,process_tree,5.99,process_tree,981.66
1000000,550.972,3.835,2.956,21.28,process_tree,6.08,process_tree,996.64
1010000,555.8879999999999,3.544,2.795,20.69,process_tree,6.17,process_tree,1011.64
1020000,561.0039999999999,3.689,2.702,20.4,process_tree,6.27,process_tree,1026.95
1030000,565.491,4.11,2.984,20.54,process_tree,6.36,process_tree,1042.14
1040000,570.1949999999999,3.16,2.61,19.96,process_tree,6.46,process_tree,1059.05
1050000,574.9159999999999,3.783,3.186,20.2,process_tree,6.57,process_tree,1077.17
1060000,579.7629999999999,3.739,2.826,19.94,process_tree,6.69,process_tree,1095.41
1070000,607.928,6.505,7.049,20.509999999999998,process_tree,6.05,process_tree,991.31
1080000,612.473,8.79,7.05,21.880000000000003,process_tree,6.02,process_tree,986.36
1090000,617.098,7.668,7.117,20.360000000000003,process_tree,6.01,process_tree,984.48
1100000,621.569,9.202,8.903,19.0,process_tree,5.99,process_tree,981.48
1110000,626.266,9.727,9.083,21.05,process_tree,5.99,process_tree,981.48
1120000,630.6759999999999,10.841,10.614,18.79,process_tree,5.99,process_tree,982.08
1130000,635.241,9.838,8.435,20.33,process_tree,5.99,process_tree,981.42
1140000,639.785,8.946,7.491,20.630000000000003,process_tree,5.99,process_tree,981.42
1150000,644.3499999999999,10.31,9.296,18.380000000000003,process_tree,5.99,process_tree,981.42
