step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,66.7,system,
10000,4.517,1.235,0.719,17.48,process_tree,3.95,process_tree,646.83
20000,7.526,1.205,0.723,17.25,process_tree,4.09,process_tree,670.42
30000,10.561,1.185,0.71,17.45,process_tree,4.23,process_tree,693.33
40000,13.531,1.294,0.749,17.63,process_tree,4.37,process_tree,715.31
50000,16.44,1.269,0.769,14.069999999999999,process_tree,4.5,process_tree,737.84
60000,19.436,1.262,0.714,16.96,process_tree,4.65,process_tree,762.41
70000,22.411,1.26,0.727,20.82,process_tree,4.8,process_tree,787.08
80000,25.453,1.318,0.797,17.0,process_tree,4.95,process_tree,811.2
90000,28.4,1.29,0.737,17.080000000000002,process_tree,5.08,process_tree,832.91
100000,31.478,1.265,0.702,17.39,process_tree,5.21,process_tree,853.75
110000,34.416,1.238,0.736,17.4,process_tree,5.32,process_tree,872.3
120000,37.339,1.293,0.764,17.47,process_tree,5.47,process_tree,896.28
130000,40.472,1.203,0.704,17.42,process_tree,5.62,process_tree,920.81
140000,43.409,1.291,0.754,17.1,process_tree,5.74,process_tree,939.72
150000,46.34,1.276,0.716,17.139999999999997,process_tree,5.89,process_tree,965.03
160000,49.555,1.212,0.714,17.54,process_tree,6.06,process_tree,992.31
170000,52.481,1.232,0.775,17.41,process_tree,6.17,process_tree,1011.17
180000,55.393,1.348,0.765,17.07,process_tree,6.3,process_tree,1032.77
190000,58.312,1.271,0.769,15.989999999999998,process_tree,6.42,process_tree,1051.12
200000,61.613,1.278,0.743,16.9,process_tree,6.53,process_tree,1069.56
210000,64.548,1.212,0.769,17.34,process_tree,6.73,process_tree,1102.42
220000,67.438,1.285,0.745,17.279999999999998,process_tree,6.85,process_tree,1121.5
230000,70.421,1.289,0.806,17.32,process_tree,6.98,process_tree,1143.98
240000,73.398,1.243,0.742,17.490000000000002,process_tree,7.09,process_tree,1162.39
250000,76.317,1.348,0.869,16.979999999999997,process_tree,7.21,process_tree,1180.98
260000,79.543,1.223,0.735,17.52,process_tree,7.39,process_tree,1211.3
270000,82.482,1.265,0.751,17.15,process_tree,7.51,process_tree,1230.19
280000,85.402,1.278,0.724,17.35,process_tree,7.62,process_tree,1248.8
290000,88.346,1.298,0.732,17.45,process_tree,7.74,process_tree,1267.8
300000,91.27,1.262,0.725,17.119999999999997,process_tree,7.85,process_tree,1286.72
310000,94.248,1.267,0.772,17.05,process_tree,7.97,process_tree,1305.81
320000,97.49,1.205,0.703,17.11,process_tree,8.21,process_tree,1344.48
330000,100.466,1.218,0.758,17.65,process_tree,8.33,process_tree,1363.97
340000,103.395,1.257,0.701,11.22,process_tree,8.44,process_tree,1383.16
350000,142.263,1.414,0.887,17.36,process_tree,6.41,process_tree,1049.98
360000,145.243,1.398,0.892,17.35,process_tree,6.41,process_tree,1050.16
370000,148.136,1.488,0.875,17.389999999999997,process_tree,6.41,process_tree,1049.8
380000,151.025,1.483,0.869,17.84,process_tree,6.4,process_tree,1049.39
390000,153.931,1.423,0.877,17.21,process_tree,6.41,process_tree,1049.88
400000,156.933,1.37,0.79,17.4,process_tree,6.41,process_tree,1049.42
410000,159.855,1.432,0.837,17.05,process_tree,6.41,process_tree,1049.42
420000,162.843,1.463,0.904,17.39,process_tree,6.39,process_tree,1046.42
430000,165.77,1.403,0.92,17.770000000000003,process_tree,6.39,process_tree,1046.44
440000,168.862,1.362,0.804,17.07,process_tree,6.39,process_tree,1046.44
450000,171.768,1.365,0.732,17.41,process_tree,6.39,process_tree,1046.47
460000,174.721,1.412,0.843,17.4,process_tree,6.39,process_tree,1046.47
470000,177.728,1.475,0.923,17.69,process_tree,6.48,process_tree,1061.64
480000,180.606,1.42,0.897,17.24,process_tree,6.57,process_tree,1076.62
490000,183.523,1.426,0.877,16.919999999999998,process_tree,6.66,process_tree,1091.84
