step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,68.0,system,
10000,6.352,1.233,0.751,19.4875,process_tree,8.3,process_tree,679.73
20000,10.504,1.209,0.742,19.65,process_tree,8.56,process_tree,701.48
30000,14.627,1.236,0.762,19.55,process_tree,8.83,process_tree,723.56
40000,18.762,1.205,0.737,19.6375,process_tree,9.09,process_tree,744.78
50000,22.918,1.248,0.754,20.1,process_tree,9.36,process_tree,766.77
60000,26.99,1.263,0.815,19.7375,process_tree,9.66,process_tree,791.55
70000,31.187,1.226,0.711,19.7375,process_tree,9.91,process_tree,811.88
80000,35.288,1.252,0.755,19.525,process_tree,10.18,process_tree,833.86
90000,39.521,1.211,0.72,19.3625,process_tree,10.44,process_tree,855.17
100000,43.662,1.272,0.774,19.512500000000003,process_tree,10.78,process_tree,883.33
110000,47.742,1.235,0.786,19.7,process_tree,11.05,process_tree,905.56
120000,51.954,1.23,0.788,21.099999999999998,process_tree,11.36,process_tree,930.56
130000,56.06,1.267,0.785,19.3375,process_tree,11.59,process_tree,949.3
140000,60.139,1.291,0.805,19.6,process_tree,11.91,process_tree,975.33
150000,64.198,1.224,0.713,19.6375,process_tree,12.21,process_tree,999.84
160000,68.475,1.228,0.782,19.55,process_tree,12.38,process_tree,1014.41
170000,101.359,1.299,0.782,19.725,process_tree,7.73,process_tree,632.91
180000,105.347,1.536,1.036,20.3625,process_tree,7.63,process_tree,625.16
190000,109.384,1.647,1.127,19.625,process_tree,7.52,process_tree,615.7
200000,113.494,1.608,1.015,20.0375,process_tree,8.19,process_tree,670.97
210000,117.606,1.677,1.069,19.0375,process_tree,8.22,process_tree,673.55
220000,121.595,1.593,1.034,19.737499999999997,process_tree,8.24,process_tree,674.64
230000,125.736,1.514,0.953,19.85,process_tree,8.26,process_tree,676.81
240000,129.784,1.496,0.989,19.7,process_tree,8.45,process_tree,692.16
250000,133.915,1.525,0.925,21.3,process_tree,8.63,process_tree,707.06
260000,137.932,1.714,1.128,19.825,process_tree,8.82,process_tree,722.44
270000,141.963,1.557,0.98,19.625,process_tree,9.01,process_tree,737.89
280000,146.224,1.509,1.0,19.6125,process_tree,9.22,process_tree,755.64
290000,150.271,1.572,0.996,19.35,process_tree,9.52,process_tree,779.8
300000,154.302,1.724,1.253,19.725,process_tree,9.75,process_tree,798.44
310000,158.489,1.612,1.043,19.925,process_tree,9.97,process_tree,816.8
320000,162.55,1.594,1.079,19.625,process_tree,10.26,process_tree,840.55
330000,166.561,1.597,1.041,19.3375,process_tree,10.48,process_tree,858.88
340000,199.173,2.118,1.678,20.35,process_tree,9.04,process_tree,740.45
350000,203.134,2.781,2.204,19.7125,process_tree,8.92,process_tree,730.45
360000,207.099,2.592,1.864,19.775,process_tree,8.88,process_tree,727.47
370000,211.081,2.638,1.945,23.625,process_tree,8.88,process_tree,727.5
380000,215.044,2.606,1.825,19.25,process_tree,8.85,process_tree,724.7
390000,219.067,2.592,1.952,20.0125,process_tree,8.85,process_tree,725.33
400000,222.983,2.881,2.219,18.0625,process_tree,8.86,process_tree,725.42
410000,227.121,2.644,2.03,19.8375,process_tree,8.86,process_tree,725.55
420000,231.057,2.838,1.984,19.1875,process_tree,9.02,process_tree,738.89
430000,235.176,2.735,1.89,19.9375,process_tree,9.21,process_tree,754.08
440000,239.118,2.46,1.848,18.8125,process_tree,9.39,process_tree,769.19
450000,243.13,2.573,1.945,20.212500000000002,process_tree,9.59,process_tree,785.44
460000,247.257,2.99,2.316,19.55,process_tree,9.78,process_tree,800.83
470000,251.172,2.635,1.734,19.875,process_tree,9.97,process_tree,816.45
480000,255.15,2.605,1.841,19.475,process_tree,10.19,process_tree,834.58
490000,259.071,2.669,1.945,19.725,process_tree,10.41,process_tree,852.88
500000,263.283,2.634,1.993,17.525,process_tree,9.8,process_tree,802.88
510000,270.159,2.675,2.227,20.09,process_tree,3.99,process_tree,653.69
520000,274.84000000000003,2.663,1.913,20.03,process_tree,4.15,process_tree,680.09
530000,279.67400000000004,2.919,2.227,19.99,process_tree,4.29,process_tree,702.58
540000,284.437,2.77,1.948,19.65,process_tree,4.43,process_tree,726.56
550000,289.257,2.615,1.918,19.98,process_tree,4.59,process_tree,751.59
560000,294.017,2.532,1.949,20.1,process_tree,4.73,process_tree,774.34
570000,298.747,2.58,1.923,19.71,process_tree,4.86,process_tree,796.0
580000,303.522,2.56,1.914,20.09,process_tree,5.0,process_tree,819.03
590000,308.298,2.79,2.035,20.51,process_tree,5.12,process_tree,839.31
600000,313.159,2.696,1.958,20.2,process_tree,5.24,process_tree,857.94
610000,317.964,2.662,2.028,20.2,process_tree,5.37,process_tree,880.61
620000,322.72900000000004,2.811,2.322,20.79,process_tree,5.52,process_tree,903.73
630000,327.343,2.692,2.122,20.419999999999998,process_tree,5.68,process_tree,930.48
640000,332.00100000000003,2.706,2.125,21.36,process_tree,5.79,process_tree,949.42
650000,336.86400000000003,2.559,1.927,19.509999999999998,process_tree,5.94,process_tree,972.61
660000,341.406,2.789,2.275,19.95,process_tree,6.05,process_tree,991.14
670000,371.603,3.006,2.272,21.43,process_tree,5.53,process_tree,905.52
680000,376.35,5.876,5.454,20.03,process_tree,5.45,process_tree,892.72
690000,380.786,6.488,6.331,19.91,process_tree,5.45,process_tree,893.25
700000,385.382,6.487,5.094,20.580000000000002,process_tree,5.45,process_tree,893.36
710000,389.858,7.083,5.266,20.22,process_tree,5.45,process_tree,892.44
720000,394.372,6.051,5.749,20.89,process_tree,5.45,process_tree,892.78
730000,398.81,6.15,6.192,20.490000000000002,process_tree,5.45,process_tree,892.78
740000,403.206,7.159,6.855,20.99,process_tree,5.45,process_tree,892.78
750000,407.627,6.464,6.393,19.86,process_tree,5.46,process_tree,894.7
760000,412.135,6.097,5.434,20.18,process_tree,5.5,process_tree,900.81
770000,416.56100000000004,5.96,5.148,20.740000000000002,process_tree,5.59,process_tree,915.89
780000,421.01,5.56,5.644,19.93,process_tree,5.72,process_tree,937.91
790000,426.163,6.013,6.389,20.21,process_tree,5.82,process_tree,953.78
800000,430.57000000000005,5.955,5.219,20.05,process_tree,5.92,process_tree,970.16
810000,434.88,5.807,5.336,19.880000000000003,process_tree,6.04,process_tree,989.92
820000,439.396,6.076,6.25,19.64,process_tree,6.15,process_tree,1008.14
830000,444.04600000000005,5.887,4.804,20.1,process_tree,6.29,process_tree,1030.25
840000,475.284,8.169,8.593,20.419999999999998,process_tree,5.86,process_tree,960.89
850000,479.822,27.178,24.956,20.910000000000004,process_tree,5.83,process_tree,954.89
860000,484.504,32.248,24.485,21.34,process_tree,5.81,process_tree,952.02
870000,489.13,34.036,31.163,18.6,process_tree,5.8,process_tree,949.61
880000,493.627,37.212,34.36,19.81,process_tree,5.8,process_tree,949.61
890000,498.036,30.924,27.198,17.080000000000002,process_tree,5.79,process_tree,949.03
900000,502.53000000000003,30.722,24.407,20.119999999999997,process_tree,5.79,process_tree,949.41
910000,506.843,37.461,26.885,20.880000000000003,process_tree,5.8,process_tree,949.89
920000,511.39300000000003,33.292,30.928,20.04,process_tree,5.8,process_tree,949.91
930000,515.719,33.32,28.86,20.4,process_tree,5.8,process_tree,949.91
940000,520.236,29.559,30.816,20.29,process_tree,5.8,process_tree,949.91
950000,524.629,34.358,28.277,20.759999999999998,process_tree,5.84,process_tree,957.05
960000,529.005,33.708,30.222,11.48,process_tree,5.96,process_tree,977.11
