step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,64.6,system,
10000,6.882,1.026,0.634,17.580000000000002,process_tree,3.95,process_tree,647.11
20000,11.661,1.046,0.639,21.29,process_tree,4.11,process_tree,673.53
30000,16.656,1.077,0.689,19.589999999999996,process_tree,4.25,process_tree,696.98
40000,21.419,1.082,0.674,18.1,process_tree,4.38,process_tree,717.42
50000,26.086,1.049,0.676,20.07,process_tree,4.52,process_tree,739.97
60000,30.82,1.117,0.705,19.46,process_tree,4.66,process_tree,763.36
70000,35.626,1.088,0.731,19.68,process_tree,4.79,process_tree,785.17
80000,40.384,1.075,0.675,20.240000000000002,process_tree,4.95,process_tree,810.72
90000,44.976,1.064,0.657,18.32,process_tree,5.08,process_tree,832.56
100000,49.803,1.049,0.66,19.73,process_tree,5.2,process_tree,851.34
110000,54.558,1.027,0.64,17.839999999999996,process_tree,5.32,process_tree,871.61
120000,59.347,1.039,0.649,20.1,process_tree,5.45,process_tree,892.47
130000,64.111,1.079,0.665,19.22,process_tree,5.59,process_tree,915.27
140000,68.784,1.084,0.685,19.880000000000003,process_tree,5.7,process_tree,934.17
150000,73.489,1.082,0.651,19.98,process_tree,5.86,process_tree,959.83
160000,78.252,1.108,0.735,13.1,process_tree,5.98,process_tree,979.03
170000,83.329,1.126,0.685,19.740000000000002,process_tree,6.15,process_tree,1008.27
180000,88.022,1.053,0.692,20.23,process_tree,6.27,process_tree,1027.5
190000,92.717,1.121,0.712,20.25,process_tree,6.4,process_tree,1048.98
200000,97.522,1.076,0.67,20.910000000000004,process_tree,6.52,process_tree,1067.78
210000,102.762,1.095,0.682,19.94,process_tree,6.71,process_tree,1099.47
220000,107.377,1.089,0.695,18.009999999999998,process_tree,6.83,process_tree,1118.69
230000,112.118,1.056,0.649,19.89,process_tree,7.0,process_tree,1146.94
240000,150.403,1.177,0.771,18.740000000000002,process_tree,5.79,process_tree,947.98
250000,155.116,1.309,0.843,19.85,process_tree,5.69,process_tree,932.98
260000,159.841,1.428,1.028,20.5,process_tree,5.66,process_tree,928.02
270000,164.375,1.313,0.839,18.05,process_tree,5.66,process_tree,927.14
280000,169.177,1.344,0.862,20.39,process_tree,5.65,process_tree,926.22
290000,173.922,1.301,0.841,19.64,process_tree,5.65,process_tree,926.22
300000,178.608,1.358,0.939,20.27,process_tree,5.65,process_tree,926.22
310000,183.231,1.341,0.939,19.139999999999997,process_tree,5.65,process_tree,925.22
320000,187.973,1.322,0.866,17.4,process_tree,5.65,process_tree,925.92
330000,192.772,1.415,0.982,20.21,process_tree,5.69,process_tree,932.02
340000,197.453,1.326,0.824,19.71,process_tree,5.78,process_tree,947.14
350000,202.036,1.35,0.867,20.27,process_tree,5.87,process_tree,962.42
360000,206.94,1.234,0.746,20.3,process_tree,6.01,process_tree,984.19
370000,211.614,1.37,0.906,21.32,process_tree,6.1,process_tree,999.94
380000,216.429,1.35,0.895,19.55,process_tree,6.2,process_tree,1015.31
390000,221.173,1.319,0.863,19.46,process_tree,6.29,process_tree,1030.66
400000,225.917,1.332,0.888,20.09,process_tree,6.39,process_tree,1046.25
410000,230.63,1.293,0.829,19.61,process_tree,6.49,process_tree,1063.67
420000,235.323,1.365,0.893,20.27,process_tree,6.6,process_tree,1081.8
430000,239.953,1.323,0.921,22.669999999999998,process_tree,6.71,process_tree,1099.69
440000,244.855,1.316,0.824,19.61,process_tree,6.86,process_tree,1124.33
450000,249.606,1.329,0.894,20.0,process_tree,6.98,process_tree,1143.08
460000,254.138,1.348,0.873,19.57,process_tree,7.14,process_tree,1170.0
470000,258.782,1.302,0.841,20.32,process_tree,7.26,process_tree,1188.73
480000,299.088,2.034,1.487,19.8,process_tree,6.14,process_tree,1006.11
490000,303.889,2.011,1.514,20.169999999999998,process_tree,6.1,process_tree,1000.11
500000,308.379,2.051,1.586,15.919999999999998,process_tree,6.11,process_tree,1000.56
510000,313.109,2.077,1.641,19.74,process_tree,6.1,process_tree,999.56
520000,317.974,2.238,1.644,20.19,process_tree,6.11,process_tree,1000.41
530000,322.488,2.233,1.589,19.65,process_tree,6.11,process_tree,1000.44
540000,327.118,2.201,1.643,17.27,process_tree,6.11,process_tree,1000.45
550000,331.826,2.16,1.544,20.82,process_tree,6.11,process_tree,1000.45
560000,336.412,2.237,1.541,18.32,process_tree,6.11,process_tree,1000.45
570000,341.038,2.179,1.523,20.18,process_tree,6.11,process_tree,1000.45
580000,345.583,2.165,1.504,20.39,process_tree,6.11,process_tree,1000.45
590000,350.274,2.096,1.515,20.39,process_tree,6.11,process_tree,1000.5
600000,354.875,2.27,1.818,19.8,process_tree,6.19,process_tree,1013.95
610000,359.592,2.216,1.651,16.0,process_tree,6.28,process_tree,1029.09
620000,364.13,2.08,1.543,19.95,process_tree,6.37,process_tree,1044.22
630000,368.786,2.229,1.734,18.04,process_tree,6.46,process_tree,1059.17
640000,373.579,2.198,1.602,20.25,process_tree,6.56,process_tree,1075.58
650000,378.119,2.217,1.525,19.4,process_tree,6.68,process_tree,1093.7
660000,382.68,2.291,1.819,20.25,process_tree,6.79,process_tree,1111.72
670000,387.347,2.169,1.517,19.93,process_tree,6.9,process_tree,1129.83
680000,392.1,2.133,1.64,19.98,process_tree,7.01,process_tree,1148.08
690000,396.602,2.387,1.839,19.240000000000002,process_tree,7.12,process_tree,1166.41
700000,401.242,2.074,1.539,20.03,process_tree,7.23,process_tree,1184.33
710000,439.475,2.413,1.912,19.82,process_tree,6.24,process_tree,1022.72
720000,444.153,4.715,4.349,20.48,process_tree,6.13,process_tree,1003.89
730000,448.645,5.415,4.889,20.82,process_tree,6.1,process_tree,998.89
740000,453.078,4.618,3.994,19.130000000000003,process_tree,6.08,process_tree,996.64
750000,457.653,4.505,3.913,20.11,process_tree,6.09,process_tree,996.97
760000,462.265,5.489,5.497,20.29,process_tree,6.08,process_tree,995.97
770000,466.583,4.839,4.408,20.139999999999997,process_tree,6.07,process_tree,995.05
780000,471.059,4.915,4.862,20.689999999999998,process_tree,6.07,process_tree,995.05
790000,475.718,4.724,4.338,19.98,process_tree,6.07,process_tree,995.05
800000,480.084,4.755,4.823,18.490000000000002,process_tree,6.07,process_tree,995.05
810000,484.525,4.941,4.287,20.74,process_tree,6.07,process_tree,995.05
820000,489.129,4.135,3.767,18.4,process_tree,6.11,process_tree,1000.84
830000,493.65,4.756,4.655,18.78,process_tree,6.2,process_tree,1016.28
840000,498.049,4.179,3.931,19.619999999999997,process_tree,6.29,process_tree,1031.22
850000,502.522,5.07,4.453,19.58,process_tree,6.39,process_tree,1046.31
860000,507.055,5.011,4.322,17.759999999999998,process_tree,6.48,process_tree,1061.25
870000,511.516,4.557,3.96,20.07,process_tree,6.57,process_tree,1076.55
880000,516.054,4.083,3.818,19.02,process_tree,6.66,process_tree,1091.72
890000,520.478,4.375,3.876,22.33,process_tree,6.76,process_tree,1106.89
900000,524.969,4.534,4.161,17.119999999999997,process_tree,6.86,process_tree,1124.25
910000,529.364,5.656,4.763,19.889999999999997,process_tree,6.97,process_tree,1142.45
920000,534.14,5.781,5.681,19.439999999999998,process_tree,7.08,process_tree,1160.47
930000,539.055,5.729,6.059,19.330000000000002,process_tree,7.21,process_tree,1181.8
940000,543.361,4.977,4.446,20.05,process_tree,7.32,process_tree,1199.72
950000,581.118,7.233,7.282,18.91,process_tree,6.38,process_tree,1045.61
960000,586.439,17.086,22.396,19.169999999999998,process_tree,6.28,process_tree,1028.55
970000,591.878,18.738,19.495,20.94,process_tree,6.26,process_tree,1025.69
980000,596.373,14.658,13.947,20.330000000000002,process_tree,6.25,process_tree,1023.92
990000,601.002,18.115,18.713,20.560000000000002,process_tree,6.25,process_tree,1024.44
1000000,605.834,17.076,17.047,22.770000000000003,process_tree,6.25,process_tree,1024.66
1010000,610.505,18.622,17.876,20.85,process_tree,6.26,process_tree,1025.28
1020000,614.901,15.855,14.825,19.8,process_tree,6.25,process_tree,1024.36
1030000,619.377,17.3,18.664,19.66,process_tree,6.25,process_tree,1023.44
1040000,623.909,16.539,16.135,19.07,process_tree,6.25,process_tree,1023.52
1050000,628.146,16.04,16.117,17.84,process_tree,6.25,process_tree,1023.58
1060000,632.758,19.378,17.131,20.68,process_tree,6.25,process_tree,1023.39
1070000,637.165,16.584,15.23,20.759999999999998,process_tree,6.34,process_tree,1038.38
1080000,641.654,19.116,16.654,22.18,process_tree,6.43,process_tree,1053.56
1090000,645.978,14.586,17.111,20.22,process_tree,6.52,process_tree,1068.52
1100000,650.51,21.304,19.924,20.619999999999997,process_tree,6.62,process_tree,1083.91
1110000,654.901,14.794,18.767,19.54,process_tree,6.71,process_tree,1098.98
1120000,659.264,17.119,16.588,19.61,process_tree,6.8,process_tree,1114.12
1130000,663.726,16.582,16.922,18.47,process_tree,6.89,process_tree,1129.41
1140000,668.121,16.581,13.536,18.880000000000003,process_tree,6.98,process_tree,1144.28
1150000,672.561,19.986,18.381,19.169999999999998,process_tree,7.08,process_tree,1160.75
1160000,676.875,19.115,19.049,19.5,process_tree,7.19,process_tree,1178.45
1170000,681.375,13.97,13.059,20.18,process_tree,7.37,process_tree,1206.94
1180000,719.24,16.149,16.456,20.619999999999997,process_tree,6.65,process_tree,1088.8
1190000,723.67,58.082,35.778,20.52,process_tree,6.5,process_tree,1064.47
1200000,728.044,75.9,25.658,20.74,process_tree,6.47,process_tree,1059.47
1210000,732.317,83.291,29.656,17.509999999999998,process_tree,6.44,process_tree,1054.73
1220000,736.84,65.7,34.659,20.28,process_tree,6.44,process_tree,1054.47
1230000,741.228,79.55,30.667,18.259999999999998,process_tree,6.43,process_tree,1053.73
1240000,745.464,77.68,32.74,17.919999999999998,process_tree,6.44,process_tree,1054.41
1250000,749.945,65.675,35.196,20.41,process_tree,6.43,process_tree,1053.41
1260000,754.336,65.593,38.069,20.689999999999998,process_tree,6.43,process_tree,1053.41
1270000,758.648,73.879,37.025,19.28,process_tree,6.43,process_tree,1053.41
1280000,763.111,72.25,35.755,21.389999999999997,process_tree,6.43,process_tree,1053.41
1290000,767.517,85.73,21.223,20.189999999999998,process_tree,6.43,process_tree,1053.41
1300000,771.782,71.894,37.683,19.73,process_tree,6.43,process_tree,1053.41
