step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,61.5,system,
10000,5.256,0.947,0.649,18.169999999999998,process_tree,3.89,process_tree,636.59
20000,9.12,1.695,1.05,9.940000000000001,process_tree,3.9,process_tree,638.78
30000,12.9,2.612,1.713,7.360000000000001,process_tree,3.9,process_tree,639.41
40000,16.562,4.579,3.739,16.29,process_tree,3.91,process_tree,640.2
50000,20.156,7.623,7.078,22.630000000000003,process_tree,3.92,process_tree,642.08
60000,23.8,31.935,36.222,9.6,process_tree,3.92,process_tree,642.44
70000,27.36,76.836,38.259,15.8,process_tree,3.92,process_tree,642.53
80000,30.95,100.0,0.0,16.509999999999998,process_tree,3.92,process_tree,642.92
90000,34.45,100.0,0.0,16.26,process_tree,3.93,process_tree,643.28
100000,38.062,100.0,0.0,13.49,process_tree,3.93,process_tree,643.33
110000,41.702,100.0,0.0,18.23,process_tree,3.93,process_tree,643.38
120000,45.191,100.0,0.0,21.07,process_tree,3.93,process_tree,643.41
130000,48.77,100.0,0.0,8.309999999999999,process_tree,3.93,process_tree,643.42
140000,52.345,92.323,26.594,17.419999999999998,process_tree,3.93,process_tree,643.48
150000,55.8,100.0,0.0,23.02,process_tree,3.93,process_tree,643.5
160000,59.404,100.0,0.0,7.709999999999999,process_tree,3.93,process_tree,643.52
170000,62.969,100.0,0.0,15.960000000000003,process_tree,3.93,process_tree,643.52
180000,66.623,100.0,0.0,18.21,process_tree,3.93,process_tree,643.53
190000,70.045,91.733,27.417,12.65,process_tree,3.93,process_tree,643.53
200000,73.596,100.0,0.0,11.319999999999999,process_tree,3.93,process_tree,643.53
210000,77.228,100.0,0.0,16.55,process_tree,3.93,process_tree,643.55
220000,80.59,100.0,0.0,19.689999999999998,process_tree,3.93,process_tree,643.56
230000,84.242,100.0,0.0,8.059999999999999,process_tree,3.93,process_tree,643.56
240000,87.823,81.936,38.319,15.959999999999999,process_tree,3.93,process_tree,643.56
250000,91.253,91.692,27.556,22.51,process_tree,3.93,process_tree,643.64
260000,94.855,100.0,0.0,10.36,process_tree,3.93,process_tree,643.59
270000,98.501,100.0,0.0,9.219999999999999,process_tree,3.93,process_tree,643.69
