step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.9,system,
10000,6.957,0.997,0.604,19.619999999999997,process_tree,3.94,process_tree,646.31
20000,12.035,0.992,0.591,20.54,process_tree,4.1,process_tree,671.28
30000,16.928,1.078,0.668,20.21,process_tree,4.23,process_tree,692.88
40000,21.652,1.015,0.65,17.25,process_tree,4.38,process_tree,718.17
50000,26.511,1.122,0.701,20.43,process_tree,4.53,process_tree,742.41
60000,31.398,0.989,0.672,20.0,process_tree,4.67,process_tree,764.75
70000,36.278,1.037,0.677,18.34,process_tree,4.82,process_tree,789.53
80000,41.141,1.009,0.64,19.43,process_tree,4.95,process_tree,811.44
90000,45.918,1.084,0.708,20.25,process_tree,5.09,process_tree,833.42
100000,50.888,1.101,0.68,20.380000000000003,process_tree,5.22,process_tree,855.0
110000,55.736,1.006,0.63,20.56,process_tree,5.36,process_tree,877.81
120000,60.45,1.029,0.62,18.93,process_tree,5.47,process_tree,896.58
130000,65.357,1.09,0.653,20.1,process_tree,5.63,process_tree,922.05
140000,70.249,0.973,0.598,19.509999999999998,process_tree,5.78,process_tree,946.22
150000,75.077,1.029,0.686,19.6,process_tree,5.89,process_tree,964.94
160000,80.007,1.013,0.623,19.529999999999998,process_tree,6.03,process_tree,988.47
170000,84.783,1.111,0.715,19.71,process_tree,6.15,process_tree,1007.17
180000,89.657,1.057,0.659,19.830000000000002,process_tree,6.33,process_tree,1036.53
190000,94.478,1.038,0.609,19.16,process_tree,6.44,process_tree,1055.48
200000,99.228,0.994,0.612,18.830000000000002,process_tree,6.61,process_tree,1083.3
210000,104.212,1.043,0.704,18.16,process_tree,6.73,process_tree,1102.25
220000,109.035,0.979,0.629,19.66,process_tree,6.84,process_tree,1121.16
230000,113.866,1.021,0.677,19.75,process_tree,7.08,process_tree,1160.52
240000,118.701,1.038,0.643,19.04,process_tree,7.2,process_tree,1179.88
250000,123.419,1.047,0.69,18.990000000000002,process_tree,7.36,process_tree,1206.66
260000,164.327,1.115,0.719,19.91,process_tree,5.9,process_tree,966.09
270000,169.222,1.171,0.691,17.39,process_tree,5.84,process_tree,956.09
280000,174.012,1.225,0.729,20.339999999999996,process_tree,5.83,process_tree,955.62
290000,178.678,1.206,0.733,17.0,process_tree,5.84,process_tree,956.03
300000,183.567,1.223,0.787,19.73,process_tree,5.84,process_tree,957.64
310000,188.364,1.197,0.752,19.619999999999997,process_tree,5.85,process_tree,957.72
320000,193.189,1.2,0.726,20.36,process_tree,5.85,process_tree,957.72
330000,197.969,1.231,0.781,19.35,process_tree,5.85,process_tree,957.73
340000,202.671,1.171,0.724,19.66,process_tree,5.85,process_tree,957.73
350000,207.63,1.218,0.718,19.97,process_tree,5.84,process_tree,956.77
360000,213.233,1.126,0.694,17.380000000000003,process_tree,5.89,process_tree,965.3
370000,219.356,1.179,0.769,19.28,process_tree,5.98,process_tree,980.58
380000,224.188,1.198,0.759,17.85,process_tree,6.08,process_tree,995.8
390000,229.162,1.212,0.792,20.44,process_tree,6.17,process_tree,1010.97
400000,234.37,1.173,0.693,19.740000000000002,process_tree,6.26,process_tree,1026.09
410000,239.513,1.218,0.722,17.97,process_tree,6.36,process_tree,1041.61
420000,244.472,1.106,0.674,20.21,process_tree,6.47,process_tree,1059.5
430000,249.071,1.21,0.815,17.22,process_tree,6.58,process_tree,1077.56
440000,253.973,1.193,0.756,19.830000000000002,process_tree,6.69,process_tree,1095.73
450000,258.998,1.177,0.828,20.42,process_tree,6.8,process_tree,1113.8
460000,263.883,1.165,0.709,20.14,process_tree,6.91,process_tree,1132.06
470000,268.541,1.233,0.802,18.85,process_tree,7.07,process_tree,1158.34
480000,273.316,1.2,0.739,19.880000000000003,process_tree,7.18,process_tree,1176.75
490000,278.135,1.226,0.761,19.29,process_tree,7.32,process_tree,1198.86
500000,283.149,1.202,0.749,20.160000000000004,process_tree,7.46,process_tree,1222.92
510000,287.845,1.225,0.808,19.5,process_tree,7.57,process_tree,1240.98
520000,328.562,1.492,1.012,19.93,process_tree,6.32,process_tree,1035.88
530000,333.302,1.914,1.37,19.360000000000003,process_tree,6.3,process_tree,1032.97
540000,338.037,1.732,1.143,20.259999999999998,process_tree,6.31,process_tree,1033.09
550000,342.932,1.908,1.468,19.660000000000004,process_tree,6.3,process_tree,1032.38
560000,347.662,1.697,1.144,20.03,process_tree,6.28,process_tree,1029.38
570000,352.548,1.759,1.178,17.490000000000002,process_tree,6.28,process_tree,1029.25
580000,357.187,1.762,1.26,20.160000000000004,process_tree,6.28,process_tree,1029.58
590000,361.837,1.887,1.22,17.8,process_tree,6.28,process_tree,1029.58
600000,366.633,1.801,1.151,17.94,process_tree,6.28,process_tree,1029.58
610000,371.396,1.865,1.237,13.2,process_tree,6.28,process_tree,1029.59
620000,376.223,1.891,1.357,20.1,process_tree,6.28,process_tree,1028.59
630000,380.756,1.759,1.212,19.089999999999996,process_tree,6.28,process_tree,1028.59
640000,385.652,1.836,1.164,20.3,process_tree,6.29,process_tree,1030.55
650000,390.373,1.731,1.13,19.589999999999996,process_tree,6.38,process_tree,1045.59
660000,395.044,1.885,1.369,20.46,process_tree,6.47,process_tree,1060.77
670000,399.67,1.767,1.155,17.85,process_tree,6.57,process_tree,1076.0
680000,404.585,1.806,1.259,20.23,process_tree,6.66,process_tree,1091.0
690000,409.267,1.902,1.28,19.89,process_tree,6.75,process_tree,1106.42
700000,413.873,1.845,1.233,19.32,process_tree,6.86,process_tree,1123.7
710000,418.574,1.749,1.155,19.85,process_tree,6.97,process_tree,1141.88
720000,423.436,1.693,1.07,19.75,process_tree,7.14,process_tree,1169.38
730000,428.196,1.794,1.335,20.54,process_tree,7.25,process_tree,1188.06
740000,432.788,1.951,1.355,19.619999999999997,process_tree,7.38,process_tree,1209.94
750000,437.443,1.891,1.321,19.919999999999998,process_tree,7.5,process_tree,1228.34
760000,442.142,1.734,1.175,18.15,process_tree,7.61,process_tree,1246.47
770000,482.133,2.025,1.634,19.54,process_tree,6.64,process_tree,1088.53
780000,486.717,3.41,2.723,19.330000000000002,process_tree,6.53,process_tree,1069.67
790000,491.465,3.506,3.005,16.07,process_tree,6.49,process_tree,1063.0
800000,495.948,3.591,2.987,20.080000000000002,process_tree,6.49,process_tree,1062.52
810000,500.49,3.588,2.799,19.41,process_tree,6.48,process_tree,1061.52
820000,505.213,3.252,2.618,21.799999999999997,process_tree,6.48,process_tree,1062.27
830000,509.713,3.139,2.664,20.15,process_tree,6.49,process_tree,1062.77
840000,514.364,3.763,2.912,20.130000000000003,process_tree,6.49,process_tree,1063.2
850000,518.981,3.565,2.89,21.18,process_tree,6.49,process_tree,1063.12
860000,523.675,3.366,2.657,19.71,process_tree,6.48,process_tree,1062.22
870000,528.124,3.689,3.071,19.990000000000002,process_tree,6.48,process_tree,1062.22
880000,533.15,3.649,2.854,17.75,process_tree,6.48,process_tree,1062.22
890000,538.771,4.011,3.591,17.61,process_tree,6.48,process_tree,1062.23
900000,543.848,3.526,2.492,20.68,process_tree,6.48,process_tree,1062.23
910000,548.715,3.364,2.848,20.09,process_tree,6.57,process_tree,1076.84
920000,553.464,3.122,1.992,18.47,process_tree,6.66,process_tree,1091.89
930000,558.305,3.73,3.011,20.130000000000003,process_tree,6.76,process_tree,1107.0
940000,563.091,3.404,2.704,20.14,process_tree,6.85,process_tree,1122.05
950000,567.815,3.576,3.13,15.55,process_tree,6.94,process_tree,1137.25
960000,572.332,3.5,2.82,19.79,process_tree,7.04,process_tree,1153.69
970000,577.031,3.654,3.131,19.84,process_tree,7.15,process_tree,1171.66
980000,581.604,3.52,2.922,19.9,process_tree,7.26,process_tree,1189.42
990000,586.265,3.242,2.482,19.73,process_tree,7.37,process_tree,1207.5
1000000,590.849,3.5,3.023,19.520000000000003,process_tree,7.48,process_tree,1225.75
1010000,595.518,3.617,2.996,20.36,process_tree,7.59,process_tree,1243.53
1020000,600.047,3.793,3.64,20.96,process_tree,7.7,process_tree,1261.53
1030000,640.492,5.518,5.678,20.080000000000002,process_tree,6.75,process_tree,1105.98
1040000,645.042,10.348,12.992,19.61,process_tree,6.64,process_tree,1087.98
1050000,649.568,9.774,10.867,18.68,process_tree,6.62,process_tree,1084.98
1060000,654.145,11.309,11.985,19.369999999999997,process_tree,6.62,process_tree,1083.98
1070000,658.715,9.373,10.422,20.03,process_tree,6.62,process_tree,1084.53
1080000,663.264,9.79,9.374,20.98,process_tree,6.62,process_tree,1084.83
1090000,667.748,9.522,8.763,19.16,process_tree,6.62,process_tree,1084.83
1100000,672.198,9.385,9.635,20.24,process_tree,6.62,process_tree,1084.88
1110000,676.892,11.421,14.01,20.48,process_tree,6.62,process_tree,1085.23
1120000,681.342,13.461,13.147,20.77,process_tree,6.62,process_tree,1085.31
1130000,685.845,11.404,10.924,20.59,process_tree,6.62,process_tree,1085.23
1140000,690.4,9.716,9.208,20.330000000000002,process_tree,6.62,process_tree,1085.23
1150000,694.938,10.329,9.823,21.17,process_tree,6.62,process_tree,1085.23
1160000,699.461,11.491,10.4,20.15,process_tree,6.62,process_tree,1085.22
1170000,703.973,8.866,8.145,20.14,process_tree,6.64,process_tree,1087.52
1180000,708.606,8.938,9.178,20.2,process_tree,6.73,process_tree,1102.81
1190000,713.217,11.229,10.426,21.28,process_tree,6.82,process_tree,1117.83
1200000,717.632,12.17,11.858,20.919999999999998,process_tree,6.92,process_tree,1132.97
1210000,722.085,9.662,8.925,21.02,process_tree,7.01,process_tree,1147.88
1220000,726.56,10.206,11.355,20.45,process_tree,7.1,process_tree,1162.88
1230000,731.116,9.735,10.378,18.740000000000002,process_tree,7.19,process_tree,1178.75
1240000,735.615,10.074,9.204,18.99,process_tree,7.3,process_tree,1196.23
1250000,740.121,9.307,9.941,19.910000000000004,process_tree,7.41,process_tree,1213.8
1260000,744.571,7.594,8.268,20.77,process_tree,7.52,process_tree,1231.83
1270000,749.29,10.472,11.545,20.04,process_tree,7.66,process_tree,1255.58
1280000,789.497,10.824,10.805,20.240000000000002,process_tree,6.89,process_tree,1128.86
1290000,793.875,28.589,25.274,19.839999999999996,process_tree,6.75,process_tree,1105.23
1300000,798.312,48.595,39.235,18.24,process_tree,6.71,process_tree,1099.41
1310000,802.735,46.392,41.724,19.54,process_tree,6.7,process_tree,1097.58
1320000,807.259,57.589,35.952,20.04,process_tree,6.69,process_tree,1096.66
1330000,811.797,47.679,36.713,20.74,process_tree,6.68,process_tree,1093.88
1340000,816.208,59.5,37.182,19.330000000000002,process_tree,6.68,process_tree,1095.17
1350000,820.692,33.1,30.09,20.130000000000003,process_tree,6.69,process_tree,1095.34
1360000,825.269,46.429,33.216,20.46,process_tree,6.69,process_tree,1095.42
