step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,57.3,system,
50000,38.569,0.99,0.629,13.779999999999998,process_tree,4.72,process_tree,774.06
100000,80.876,3.333,7.729,11.010000000000002,process_tree,5.44,process_tree,890.53
150000,118.73,100.0,0.0,10.99,process_tree,6.09,process_tree,997.53
200000,156.06,100.0,0.0,11.059999999999999,process_tree,6.72,process_tree,1101.36
250000,194.587,100.0,0.0,10.959999999999999,process_tree,7.33,process_tree,1201.16
300000,232.242,97.696,9.948,10.97,process_tree,7.95,process_tree,1302.92
350000,269.729,100.0,0.0,10.96,process_tree,8.49,process_tree,1391.22
400000,307.397,90.765,25.438,10.97,process_tree,9.2,process_tree,1508.02
450000,347.139,74.206,35.757,10.98,process_tree,9.91,process_tree,1623.03
500000,385.417,94.946,17.728,10.059999999999999,process_tree,10.55,process_tree,1729.19
550000,424.943,92.13,21.748,10.97,process_tree,11.32,process_tree,1854.94
600000,465.364,88.739,25.518,10.97,process_tree,12.14,process_tree,1988.41
650000,504.692,88.97,28.516,10.959999999999999,process_tree,12.19,process_tree,1997.97
700000,542.818,78.684,36.724,10.98,process_tree,12.2,process_tree,1998.89
750000,582.178,77.343,37.175,11.16,process_tree,12.32,process_tree,2017.97
800000,620.464,94.17,18.941,11.03,process_tree,12.33,process_tree,2020.5
850000,660.138,43.993,42.661,10.98,process_tree,12.33,process_tree,2020.53
900000,699.492,54.647,37.199,10.959999999999999,process_tree,12.31,process_tree,2016.16
950000,739.118,54.605,39.201,10.98,process_tree,12.31,process_tree,2016.16
1000000,780.404,46.625,38.901,10.100000000000001,process_tree,12.3,process_tree,2015.39
1050000,820.447,41.491,37.639,10.73,process_tree,12.3,process_tree,2015.42
1100000,860.211,53.254,41.376,10.95,process_tree,12.3,process_tree,2015.42
1150000,900.173,36.699,32.336,15.569999999999999,process_tree,12.26,process_tree,2008.38
1200000,939.978,55.481,35.47,10.889999999999999,process_tree,12.27,process_tree,2009.75
1250000,979.347,60.889,37.394,17.74,process_tree,12.35,process_tree,2023.02
1300000,1018.774,70.343,34.783,10.91,process_tree,12.35,process_tree,2023.05
1350000,1057.536,73.475,35.859,10.74,process_tree,12.35,process_tree,2023.89
1400000,1098.646,47.397,33.997,10.97,process_tree,12.35,process_tree,2024.0
1450000,1136.67,49.611,35.596,10.97,process_tree,12.35,process_tree,2024.12
1500000,1178.189,43.041,36.176,10.07,process_tree,12.36,process_tree,2025.31
1550000,1217.467,58.142,37.252,10.919999999999998,process_tree,12.36,process_tree,2025.8
1600000,1257.274,41.155,32.965,10.459999999999999,process_tree,12.36,process_tree,2025.8
1650000,1298.057,53.092,35.403,10.98,process_tree,12.38,process_tree,2028.14
1700000,1336.426,64.021,38.746,18.770000000000003,process_tree,12.38,process_tree,2028.83
1750000,1378.56,54.322,34.139,10.91,process_tree,12.38,process_tree,2028.94
1800000,1416.193,75.88,31.526,20.9,process_tree,12.39,process_tree,2029.39
1850000,1457.463,81.392,25.418,13.559999999999999,process_tree,12.39,process_tree,2029.41
1900000,1497.729,86.541,28.153,10.99,process_tree,12.39,process_tree,2030.09
1950000,1536.737,91.535,20.02,10.940000000000001,process_tree,12.39,process_tree,2030.03
2000000,1577.069,65.08,33.896,10.209999999999999,process_tree,12.39,process_tree,2030.09
2050000,1616.026,71.929,26.903,15.870000000000001,process_tree,12.39,process_tree,2030.09
2100000,1655.816,71.745,37.388,11.010000000000002,process_tree,12.39,process_tree,2030.09
2150000,1695.856,87.898,25.345,10.790000000000001,process_tree,12.39,process_tree,2030.41
2200000,1736.116,72.585,36.676,10.91,process_tree,12.39,process_tree,2030.45
2250000,1776.258,64.081,40.393,10.97,process_tree,12.39,process_tree,2030.45
2300000,1816.572,83.162,32.402,10.9,process_tree,12.39,process_tree,2030.45
2350000,1854.844,87.711,31.023,11.0,process_tree,12.39,process_tree,2030.48
2400000,1894.575,97.953,11.339,11.0,process_tree,12.39,process_tree,2030.55
2450000,1934.425,95.191,19.694,10.959999999999999,process_tree,12.39,process_tree,2030.55
2500000,1976.072,78.152,33.051,10.17,process_tree,12.4,process_tree,2031.06
2550000,2014.721,81.567,30.333,10.959999999999999,process_tree,12.4,process_tree,2031.06
2600000,2054.798,71.159,32.816,11.7,process_tree,12.41,process_tree,2033.5
