step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,61.4,system,
50000,27.764,0.889,0.539,14.12,process_tree,4.52,process_tree,741.25
100000,56.024,0.997,0.606,14.780000000000001,process_tree,5.11,process_tree,836.83
150000,83.973,1.155,0.73,14.690000000000001,process_tree,5.73,process_tree,938.34
200000,112.385,1.871,1.25,14.3,process_tree,6.33,process_tree,1037.39
250000,139.9,3.766,3.769,12.75,process_tree,7.06,process_tree,1157.45
300000,167.175,21.682,28.502,12.44,process_tree,7.77,process_tree,1272.48
350000,192.934,80.646,36.272,20.0,process_tree,8.32,process_tree,1363.91
400000,219.065,87.157,32.737,20.139999999999997,process_tree,8.93,process_tree,1463.03
450000,244.97,90.944,28.639,20.020000000000003,process_tree,9.57,process_tree,1568.75
500000,270.587,86.271,34.323,18.96,process_tree,10.16,process_tree,1663.97
550000,296.881,89.323,30.821,11.27,process_tree,10.85,process_tree,1777.11
600000,322.428,89.129,31.066,21.3,process_tree,11.35,process_tree,1859.91
650000,348.174,83.405,37.108,20.130000000000003,process_tree,12.07,process_tree,1978.3
700000,375.6,98.041,13.851,19.77,process_tree,12.52,process_tree,2050.53
750000,401.608,82.043,38.285,11.3,process_tree,12.88,process_tree,2109.61
800000,427.003,90.945,28.633,21.0,process_tree,13.65,process_tree,2236.56
850000,454.658,92.626,26.071,20.490000000000002,process_tree,13.59,process_tree,2227.05
900000,480.054,86.3,34.25,20.520000000000003,process_tree,13.59,process_tree,2227.11
950000,506.334,71.613,44.885,21.05,process_tree,13.59,process_tree,2227.14
1000000,532.358,71.22,45.048,19.229999999999997,process_tree,13.62,process_tree,2231.88
1050000,558.458,82.039,38.292,20.25,process_tree,13.21,process_tree,2164.75
1100000,584.869,62.758,47.773,14.12,process_tree,13.22,process_tree,2165.23
1150000,611.124,51.689,49.243,12.56,process_tree,13.41,process_tree,2196.97
1200000,637.891,68.644,46.233,21.26,process_tree,13.41,process_tree,2196.97
1250000,663.827,73.657,43.905,14.14,process_tree,13.41,process_tree,2197.89
1300000,689.833,79.481,40.242,16.479999999999997,process_tree,13.41,process_tree,2197.89
1350000,715.963,79.316,38.724,10.79,process_tree,13.15,process_tree,2154.62
1400000,741.375,72.586,44.473,16.869999999999997,process_tree,13.18,process_tree,2159.75
1450000,767.412,79.535,40.137,20.360000000000003,process_tree,13.18,process_tree,2160.09
1500000,793.614,70.15,45.597,15.540000000000001,process_tree,13.27,process_tree,2173.95
1550000,821.688,66.833,46.906,18.95,process_tree,13.28,process_tree,2175.89
1600000,847.681,74.713,43.366,19.73,process_tree,13.28,process_tree,2175.91
1650000,873.735,75.483,42.905,11.190000000000001,process_tree,13.28,process_tree,2176.59
1700000,899.727,74.76,43.287,11.21,process_tree,13.29,process_tree,2177.08
1750000,924.998,68.678,46.182,15.320000000000002,process_tree,13.29,process_tree,2177.16
1800000,951.886,73.626,43.956,19.880000000000003,process_tree,13.32,process_tree,2181.97
1850000,977.658,64.633,47.646,21.4,process_tree,13.32,process_tree,2182.3
1900000,1004.386,69.439,42.399,12.440000000000001,process_tree,13.33,process_tree,2183.59
1950000,1031.197,79.471,36.749,11.959999999999999,process_tree,13.29,process_tree,2177.34
