step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,67.2,system,
50000,177.598,1.534,2.376,14.15,process_tree,10.06,process_tree,824.14
100000,369.086,97.406,13.345,14.0875,process_tree,10.14,process_tree,830.89
150000,600.657,66.309,39.016,14.825000000000001,process_tree,8.61,process_tree,705.34
200000,884.393,46.945,38.403,14.362499999999999,process_tree,11.21,process_tree,918.7
250000,1161.508,52.302,35.633,14.6375,process_tree,10.84,process_tree,887.62
300000,1442.323,37.76,34.858,14.549999999999999,process_tree,12.98,process_tree,1063.09
350000,1728.444,28.707,31.945,14.462499999999999,process_tree,12.95,process_tree,1061.03
400000,2013.174,27.102,28.203,14.924999999999999,process_tree,12.85,process_tree,1052.48
450000,2296.116,60.446,39.221,14.4,process_tree,12.77,process_tree,1046.08
500000,2576.961,66.952,34.612,18.4,process_tree,13.26,process_tree,1085.91
