step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,69.9,system,
10000,7.82,1.117,0.692,19.5625,process_tree,5.09,process_tree,416.69
20000,12.156,1.179,0.693,20.775,process_tree,5.96,process_tree,488.03
30000,16.672,1.122,0.68,20.1375,process_tree,5.64,process_tree,462.09
40000,20.959,1.192,0.721,19.825,process_tree,5.86,process_tree,480.03
50000,25.227,1.152,0.62,19.5625,process_tree,6.07,process_tree,497.23
60000,29.512,1.241,0.76,19.5125,process_tree,6.41,process_tree,525.12
70000,33.68,1.172,0.695,17.325,process_tree,6.73,process_tree,550.97
80000,37.932,1.177,0.64,19.2,process_tree,6.96,process_tree,570.41
90000,42.114,1.184,0.667,19.5,process_tree,7.21,process_tree,590.25
100000,46.463,1.128,0.612,19.7375,process_tree,7.5,process_tree,614.33
110000,50.629,1.152,0.723,19.6875,process_tree,7.74,process_tree,634.02
120000,54.805,1.168,0.694,19.075,process_tree,7.99,process_tree,654.78
130000,59.153,1.101,0.717,19.0,process_tree,8.22,process_tree,673.61
140000,63.324,1.124,0.651,19.5625,process_tree,8.44,process_tree,691.34
150000,67.519,1.167,0.751,19.625,process_tree,8.57,process_tree,702.19
160000,71.874,1.169,0.699,17.9375,process_tree,8.79,process_tree,720.08
170000,76.103,1.079,0.691,19.5375,process_tree,9.22,process_tree,755.45
180000,80.262,1.216,0.723,19.35,process_tree,9.42,process_tree,771.59
190000,84.424,1.197,0.715,19.275,process_tree,9.74,process_tree,797.84
200000,88.666,1.16,0.773,13.737499999999999,process_tree,9.87,process_tree,808.62
210000,93.038,1.175,0.724,19.2875,process_tree,10.18,process_tree,833.83
220000,97.214,1.117,0.679,19.6125,process_tree,10.41,process_tree,852.81
230000,101.384,1.127,0.677,15.6875,process_tree,10.63,process_tree,870.97
240000,105.677,1.124,0.689,19.4875,process_tree,11.09,process_tree,908.78
250000,109.872,1.157,0.693,19.35,process_tree,11.3,process_tree,925.66
260000,114.311,1.148,0.7,19.1,process_tree,11.48,process_tree,940.73
270000,118.533,1.12,0.67,19.5875,process_tree,11.66,process_tree,955.09
280000,122.719,1.153,0.641,19.3875,process_tree,11.68,process_tree,957.03
290000,126.902,1.117,0.703,19.7375,process_tree,11.27,process_tree,923.52
300000,131.068,1.123,0.685,20.4375,process_tree,11.14,process_tree,912.5
310000,135.304,1.121,0.714,19.225,process_tree,11.17,process_tree,915.2
320000,139.754,1.17,0.731,19.35,process_tree,12.56,process_tree,1028.62
330000,143.9,1.182,0.689,19.4875,process_tree,12.8,process_tree,1048.72
340000,148.112,1.128,0.695,19.4625,process_tree,12.7,process_tree,1040.48
350000,152.295,1.153,0.662,19.6625,process_tree,12.09,process_tree,990.62
360000,156.449,1.165,0.733,19.6125,process_tree,12.03,process_tree,985.75
370000,220.827,1.382,0.929,19.45,process_tree,7.75,process_tree,635.28
380000,224.975,1.452,0.944,19.5875,process_tree,7.79,process_tree,638.34
390000,229.066,1.408,0.906,19.725,process_tree,7.82,process_tree,640.45
400000,233.226,1.441,0.918,19.45,process_tree,8.88,process_tree,727.23
410000,237.351,1.383,0.888,19.825,process_tree,8.9,process_tree,728.77
420000,241.508,1.454,1.055,19.8,process_tree,8.92,process_tree,731.05
430000,245.576,1.423,0.972,14.4125,process_tree,8.94,process_tree,731.97
440000,249.793,1.448,0.976,19.6375,process_tree,8.95,process_tree,732.94
450000,253.916,1.409,1.082,19.5125,process_tree,8.95,process_tree,733.47
460000,258.127,1.41,0.979,19.637500000000003,process_tree,9.03,process_tree,739.97
470000,262.195,1.538,1.028,19.275,process_tree,9.14,process_tree,748.34
480000,266.328,1.453,0.886,11.225,process_tree,9.13,process_tree,747.77
490000,270.576,1.479,0.965,19.775,process_tree,9.18,process_tree,752.27
500000,274.63,1.493,0.998,20.6875,process_tree,9.24,process_tree,756.94
510000,278.811,1.4,0.811,19.4625,process_tree,9.36,process_tree,766.83
520000,283.113,1.331,0.865,19.5,process_tree,9.57,process_tree,783.7
530000,287.262,1.353,0.934,20.0375,process_tree,9.8,process_tree,803.02
540000,291.334,1.446,1.02,18.7625,process_tree,9.98,process_tree,817.42
550000,295.47,1.457,0.946,19.5375,process_tree,10.28,process_tree,841.88
560000,299.806,1.416,1.01,19.45,process_tree,10.5,process_tree,860.52
570000,303.91,1.435,0.891,16.4,process_tree,10.68,process_tree,874.98
580000,308.095,1.402,0.988,19.3125,process_tree,10.84,process_tree,887.95
590000,312.21,1.432,0.981,19.45,process_tree,10.98,process_tree,899.12
600000,316.812,1.487,0.965,19.4125,process_tree,4.85,process_tree,397.48
610000,321.37,1.479,0.914,19.8625,process_tree,10.47,process_tree,858.08
620000,325.5,1.542,1.124,20.1375,process_tree,10.73,process_tree,879.19
630000,329.6,1.364,0.859,18.95,process_tree,11.14,process_tree,912.98
640000,333.681,1.454,0.984,19.7125,process_tree,11.33,process_tree,928.08
650000,337.823,1.404,0.886,19.4125,process_tree,11.45,process_tree,938.2
660000,341.957,1.495,1.011,20.025,process_tree,11.47,process_tree,939.38
670000,346.417,1.447,0.963,19.987499999999997,process_tree,12.14,process_tree,994.27
680000,350.578,1.457,0.895,19.9125,process_tree,12.36,process_tree,1012.78
690000,354.679,1.46,1.031,19.787499999999998,process_tree,12.51,process_tree,1024.48
700000,358.812,1.524,0.968,19.6,process_tree,12.6,process_tree,1032.09
710000,362.955,1.46,1.012,19.5375,process_tree,11.52,process_tree,944.09
720000,367.074,1.511,0.955,19.4875,process_tree,10.45,process_tree,855.66
730000,432.14,1.891,1.416,20.0625,process_tree,8.13,process_tree,666.23
740000,436.151,2.527,1.927,19.8625,process_tree,8.16,process_tree,668.44
750000,440.184,2.5,2.154,19.35,process_tree,9.13,process_tree,748.05
760000,444.27,2.374,1.729,20.4375,process_tree,9.13,process_tree,748.33
770000,448.324,2.486,1.864,19.0875,process_tree,9.17,process_tree,751.31
780000,452.334,2.477,1.901,19.85,process_tree,9.19,process_tree,752.64
790000,456.375,2.66,2.11,19.3,process_tree,9.22,process_tree,754.97
800000,460.434,2.691,1.971,19.6,process_tree,9.25,process_tree,757.42
810000,464.476,2.697,1.976,19.7,process_tree,9.25,process_tree,757.84
820000,468.48,2.465,1.834,20.15,process_tree,9.27,process_tree,759.03
830000,472.577,2.51,1.934,19.7125,process_tree,9.29,process_tree,760.83
840000,476.571,2.4,1.579,19.8375,process_tree,9.29,process_tree,761.06
850000,480.538,2.695,2.143,19.775,process_tree,9.32,process_tree,763.19
860000,484.68,2.671,2.442,19.6875,process_tree,9.56,process_tree,783.39
870000,488.729,2.677,1.923,18.6625,process_tree,9.66,process_tree,791.44
880000,492.791,2.613,1.899,19.8625,process_tree,9.82,process_tree,804.64
890000,496.94,2.626,1.927,19.725,process_tree,9.8,process_tree,803.09
900000,500.975,2.618,2.101,19.5875,process_tree,9.93,process_tree,813.31
910000,504.924,2.549,1.863,20.0375,process_tree,10.11,process_tree,828.59
920000,508.942,2.675,1.892,20.0375,process_tree,10.14,process_tree,830.38
930000,513.133,2.568,2.022,20.225,process_tree,10.33,process_tree,846.0
940000,517.118,2.502,1.958,19.7375,process_tree,10.51,process_tree,861.0
950000,521.099,2.598,2.191,19.1625,process_tree,10.73,process_tree,878.72
960000,525.176,2.352,1.817,20.0,process_tree,10.96,process_tree,897.55
970000,529.148,2.628,1.991,19.85,process_tree,11.14,process_tree,912.5
980000,533.42,2.554,1.817,19.7125,process_tree,11.18,process_tree,916.27
990000,537.387,2.602,1.939,19.8625,process_tree,11.24,process_tree,921.09
1000000,541.397,2.691,1.906,20.675,process_tree,10.49,process_tree,859.62
1010000,545.425,2.418,1.836,20.0,process_tree,10.66,process_tree,872.91
1020000,549.47,2.563,2.049,19.775,process_tree,10.84,process_tree,887.92
1030000,553.467,2.425,1.831,20.3375,process_tree,10.89,process_tree,892.38
1040000,557.822,2.39,1.917,20.075,process_tree,12.35,process_tree,1011.47
1050000,561.841,2.415,1.672,20.1625,process_tree,12.53,process_tree,1026.62
1060000,565.847,2.643,1.915,19.825,process_tree,12.7,process_tree,1040.23
1070000,569.84,2.644,2.034,19.8625,process_tree,12.47,process_tree,1021.58
1080000,573.91,2.483,1.916,19.8375,process_tree,12.29,process_tree,1006.95
1090000,638.087,2.909,3.405,20.1875,process_tree,8.27,process_tree,677.45
1100000,641.99,5.613,5.129,20.4125,process_tree,8.3,process_tree,680.3
1110000,645.926,6.734,6.065,20.0375,process_tree,9.31,process_tree,762.47
1120000,649.887,6.051,5.343,20.0375,process_tree,9.31,process_tree,762.72
1130000,653.837,6.652,5.557,21.95,process_tree,9.37,process_tree,767.25
1140000,657.702,6.342,7.674,20.1125,process_tree,9.38,process_tree,768.81
1150000,661.692,6.723,5.593,19.9625,process_tree,9.39,process_tree,769.44
1160000,665.524,6.057,4.839,21.0375,process_tree,9.44,process_tree,773.14
1170000,669.566,6.425,6.807,20.325,process_tree,9.36,process_tree,766.47
1180000,673.408,6.408,6.465,19.5625,process_tree,9.32,process_tree,763.58
1190000,677.419,7.514,6.119,19.5375,process_tree,9.33,process_tree,764.23
1200000,681.326,5.913,5.914,20.325,process_tree,9.33,process_tree,764.66
1210000,685.112,6.316,6.086,16.5,process_tree,9.38,process_tree,768.23
1220000,689.279,6.689,6.565,19.974999999999998,process_tree,9.03,process_tree,740.14
1230000,693.135,5.873,5.456,19.775,process_tree,9.15,process_tree,749.34
1240000,697.02,5.499,4.813,19.9625,process_tree,9.23,process_tree,756.5
1250000,701.066,5.416,4.767,19.5625,process_tree,9.39,process_tree,769.47
1260000,704.984,5.619,4.749,19.9125,process_tree,9.61,process_tree,786.91
1270000,708.811,5.884,4.694,17.8125,process_tree,9.77,process_tree,800.39
1280000,712.769,5.608,6.617,12.1,process_tree,10.04,process_tree,822.66
1290000,716.843,6.591,6.399,20.2,process_tree,10.25,process_tree,840.0
1300000,720.742,4.974,4.441,20.4875,process_tree,10.46,process_tree,857.08
1310000,724.632,5.899,5.706,20.4125,process_tree,10.67,process_tree,874.2
1320000,728.52,5.637,5.078,19.9125,process_tree,10.66,process_tree,872.86
1330000,732.684,5.943,5.631,20.25,process_tree,10.7,process_tree,876.95
1340000,736.55,6.367,5.432,19.9125,process_tree,10.91,process_tree,894.12
1350000,740.395,5.418,5.016,19.2125,process_tree,10.96,process_tree,897.48
1360000,744.251,6.366,6.47,20.3625,process_tree,9.98,process_tree,817.36
1370000,748.159,5.275,4.928,20.5875,process_tree,10.19,process_tree,834.36
1380000,752.073,5.203,4.79,18.25,process_tree,10.35,process_tree,848.06
1390000,756.286,6.716,6.011,19.8875,process_tree,12.11,process_tree,991.86
1400000,760.205,6.509,5.752,20.2125,process_tree,12.16,process_tree,995.98
1410000,764.036,6.513,6.007,21.5625,process_tree,12.35,process_tree,1011.36
1420000,768.054,6.608,6.392,19.85,process_tree,10.57,process_tree,865.94
1430000,771.965,6.169,6.22,20.4,process_tree,9.7,process_tree,794.23
1440000,775.845,6.398,7.056,20.2625,process_tree,9.44,process_tree,773.5
1450000,840.752,7.355,7.399,19.925,process_tree,9.39,process_tree,769.45
1460000,844.527,25.235,24.401,19.925,process_tree,9.37,process_tree,767.25
1470000,848.343,22.016,22.938,19.9,process_tree,9.39,process_tree,768.95
1480000,852.099,23.069,20.789,20.0,process_tree,9.39,process_tree,769.17
1490000,855.872,28.248,25.881,20.1625,process_tree,9.39,process_tree,769.62
