step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,38.0,system,
10000,12.4,1.26,0.799,32.291666666666664,process_tree,1.42,process_tree,580.32
20000,21.059,1.733,1.216,33.141666666666666,process_tree,1.42,process_tree,582.45
30000,29.603,2.904,2.058,33.141666666666666,process_tree,1.43,process_tree,582.97
40000,37.826,5.136,5.185,33.449999999999996,process_tree,1.42,process_tree,582.61
50000,46.083,8.6,9.303,33.333333333333336,process_tree,1.43,process_tree,583.91
60000,54.164,63.877,37.179,33.449999999999996,process_tree,1.43,process_tree,583.5
70000,62.023,89.7,29.623,33.141666666666666,process_tree,1.43,process_tree,585.13
80000,69.93,100.0,0.0,30.783333333333335,process_tree,1.43,process_tree,584.26
90000,77.91,71.931,42.767,33.15,process_tree,1.43,process_tree,585.29
100000,85.837,100.0,0.0,53.199999999999996,process_tree,1.43,process_tree,585.64
110000,93.788,100.0,0.0,34.641666666666666,process_tree,1.43,process_tree,586.25
120000,101.893,91.027,28.374,41.73333333333333,process_tree,1.43,process_tree,585.39
130000,109.899,100.0,0.0,36.44166666666667,process_tree,1.43,process_tree,586.47
140000,117.958,100.0,0.0,57.15,process_tree,1.43,process_tree,586.44
150000,125.912,71.679,44.78,41.55833333333333,process_tree,1.43,process_tree,585.37
160000,133.737,90.964,28.575,46.574999999999996,process_tree,1.43,process_tree,586.73
170000,141.766,100.0,0.0,41.78333333333333,process_tree,1.43,process_tree,586.68
180000,149.858,100.0,0.0,63.008333333333326,process_tree,1.43,process_tree,585.52
190000,157.663,100.0,0.0,42.974999999999994,process_tree,1.43,process_tree,586.7
200000,165.669,100.0,0.0,50.14166666666667,process_tree,1.43,process_tree,586.96
210000,173.694,100.0,0.0,34.641666666666666,process_tree,1.43,process_tree,586.91
