step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,37.9,system,
10000,12.914,1.229,0.748,35.86666666666667,process_tree,1.46,process_tree,598.18
20000,21.028,1.362,0.885,49.86666666666667,process_tree,1.47,process_tree,600.8
30000,29.102,1.596,1.049,58.225,process_tree,1.47,process_tree,601.37
40000,37.084,2.007,1.339,51.26666666666667,process_tree,1.47,process_tree,602.71
50000,44.883,2.674,1.876,37.03333333333333,process_tree,1.47,process_tree,603.21
60000,52.635,3.806,2.813,46.28333333333333,process_tree,1.48,process_tree,604.04
70000,63.071,7.37,7.233,35.824999999999996,process_tree,1.48,process_tree,603.52
80000,71.001,15.259,14.05,45.291666666666664,process_tree,1.48,process_tree,604.58
90000,78.056,26.948,25.201,47.55833333333334,process_tree,1.48,process_tree,604.43
100000,85.465,56.338,32.39,44.14166666666667,process_tree,1.48,process_tree,605.42
110000,92.663,55.544,42.467,38.20833333333333,process_tree,1.48,process_tree,605.12
120000,99.961,49.788,36.811,44.10833333333333,process_tree,1.48,process_tree,605.51
130000,107.291,47.147,35.715,43.81666666666666,process_tree,1.48,process_tree,605.49
140000,114.647,66.05,36.83,29.59166666666667,process_tree,1.48,process_tree,605.39
150000,124.806,76.8,36.539,56.6,process_tree,1.48,process_tree,605.76
160000,132.242,58.993,35.718,44.17499999999999,process_tree,1.48,process_tree,607.27
170000,139.503,100.0,0.0,42.9,process_tree,1.48,process_tree,605.65
180000,146.555,100.0,0.0,54.48333333333333,process_tree,1.48,process_tree,606.13
190000,154.291,100.0,0.0,36.59166666666667,process_tree,1.48,process_tree,606.2
200000,161.296,85.791,31.343,34.333333333333336,process_tree,1.48,process_tree,606.79
210000,168.607,99.82,0.54,52.25,process_tree,1.48,process_tree,606.41
220000,178.951,100.0,0.0,52.725,process_tree,1.48,process_tree,606.59
230000,186.067,100.0,0.0,42.98333333333333,process_tree,1.48,process_tree,606.6
240000,193.258,90.04,29.88,41.93333333333333,process_tree,1.48,process_tree,606.65
250000,200.841,100.0,0.0,35.96666666666666,process_tree,1.48,process_tree,606.64
260000,207.859,100.0,0.0,33.44166666666667,process_tree,1.48,process_tree,606.93
270000,215.198,83.658,36.541,53.71666666666667,process_tree,1.48,process_tree,607.15
280000,222.648,100.0,0.0,31.958333333333332,process_tree,1.48,process_tree,607.04
290000,232.713,100.0,0.0,47.324999999999996,process_tree,1.48,process_tree,606.45
300000,239.917,100.0,0.0,47.74166666666667,process_tree,1.48,process_tree,606.47
310000,247.446,100.0,0.0,34.475,process_tree,1.48,process_tree,606.46
320000,254.534,91.0,28.461,37.00833333333333,process_tree,1.48,process_tree,606.59
330000,261.843,100.0,0.0,39.391666666666666,process_tree,1.48,process_tree,606.53
340000,269.277,91.0,28.461,51.083333333333336,process_tree,1.48,process_tree,606.59
350000,276.402,85.933,32.037,31.958333333333332,process_tree,1.48,process_tree,606.78
360000,286.505,76.571,35.807,50.04999999999999,process_tree,1.48,process_tree,607.48
370000,293.843,100.0,0.0,38.21666666666666,process_tree,1.48,process_tree,606.94
380000,301.148,100.0,0.0,36.416666666666664,process_tree,1.48,process_tree,607.04
390000,308.505,100.0,0.0,37.00833333333333,process_tree,1.48,process_tree,607.24
400000,315.897,100.0,0.0,45.28333333333333,process_tree,1.48,process_tree,607.11
410000,323.644,100.0,0.0,40.30833333333333,process_tree,1.48,process_tree,607.2
