step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,35.9,system,
10000,14.903,1.175,0.756,63.025,process_tree,1.4,process_tree,570.88
20000,24.809,2.373,1.602,47.68333333333333,process_tree,1.4,process_tree,573.58
30000,34.723,5.865,5.282,35.53333333333333,process_tree,1.41,process_tree,576.48
40000,44.097,14.781,13.057,33.449999999999996,process_tree,1.41,process_tree,578.22
50000,53.521,77.858,36.224,29.866666666666664,process_tree,1.41,process_tree,578.68
60000,62.834,92.162,26.412,44.18333333333334,process_tree,1.41,process_tree,577.29
70000,72.541,57.033,35.968,33.141666666666666,process_tree,1.41,process_tree,578.84
80000,81.721,100.0,0.0,36.725,process_tree,1.41,process_tree,578.47
90000,91.436,79.418,33.305,33.449999999999996,process_tree,1.41,process_tree,578.48
100000,100.955,90.867,20.983,33.141666666666666,process_tree,1.42,process_tree,579.02
110000,110.341,100.0,0.0,44.15833333333333,process_tree,1.41,process_tree,578.49
120000,120.073,100.0,0.0,40.30833333333333,process_tree,1.41,process_tree,577.8
130000,129.587,100.0,0.0,33.449999999999996,process_tree,1.41,process_tree,578.51
140000,138.049,96.573,10.838,33.449999999999996,process_tree,1.42,process_tree,579.02
150000,147.842,100.0,0.0,30.775000000000002,process_tree,1.41,process_tree,577.56
160000,157.963,89.192,25.472,33.449999999999996,process_tree,1.42,process_tree,579.06
170000,167.129,100.0,0.0,45.375,process_tree,1.41,process_tree,578.47
180000,176.528,54.2,44.243,33.141666666666666,process_tree,1.42,process_tree,578.96
190000,186.222,80.86,38.307,38.19166666666667,process_tree,1.41,process_tree,578.76
200000,195.908,100.0,0.0,33.141666666666666,process_tree,1.42,process_tree,579.08
210000,205.138,92.873,22.538,32.25,process_tree,1.41,process_tree,577.85
220000,214.799,91.858,27.003,33.333333333333336,process_tree,1.42,process_tree,579.11
230000,223.687,88.14,29.44,35.84166666666666,process_tree,1.41,process_tree,578.81
240000,233.151,100.0,0.0,47.475,process_tree,1.41,process_tree,578.66
250000,242.763,100.0,0.0,33.449999999999996,process_tree,1.41,process_tree,578.73
260000,252.118,90.09,29.73,33.449999999999996,process_tree,1.41,process_tree,577.99
270000,261.502,91.775,27.279,37.541666666666664,process_tree,1.41,process_tree,577.85
280000,271.071,77.215,41.601,35.53333333333333,process_tree,1.41,process_tree,578.54
290000,280.525,91.683,27.583,30.775000000000002,process_tree,1.42,process_tree,578.98
300000,289.849,71.864,44.49,34.333333333333336,process_tree,1.41,process_tree,578.54
310000,299.397,100.0,0.0,33.449999999999996,process_tree,1.41,process_tree,578.61
320000,308.813,91.355,27.339,34.641666666666666,process_tree,1.42,process_tree,578.89
330000,318.148,71.707,44.736,43.9,process_tree,1.42,process_tree,579.22
340000,327.543,92.783,23.935,56.125,process_tree,1.42,process_tree,578.97
350000,337.053,96.646,7.818,33.449999999999996,process_tree,1.41,process_tree,578.09
360000,346.238,100.0,0.0,42.99166666666667,process_tree,1.42,process_tree,578.97
370000,355.976,100.0,0.0,42.974999999999994,process_tree,1.41,process_tree,578.78
380000,365.453,100.0,0.0,33.141666666666666,process_tree,1.42,process_tree,579.22
390000,374.629,93.225,22.47,58.51666666666667,process_tree,1.41,process_tree,578.78
400000,384.06,97.167,7.493,33.449999999999996,process_tree,1.41,process_tree,578.09
410000,393.676,96.282,7.931,36.983333333333334,process_tree,1.41,process_tree,578.78
420000,403.284,100.0,0.0,43.416666666666664,process_tree,1.42,process_tree,579.26
430000,412.922,100.0,0.0,35.824999999999996,process_tree,1.41,process_tree,578.71
440000,422.38,100.0,0.0,33.449999999999996,process_tree,1.41,process_tree,578.71
450000,431.785,100.0,0.0,46.275,process_tree,1.42,process_tree,579.16
460000,441.176,100.0,0.0,34.63333333333333,process_tree,1.41,process_tree,578.59
